start,end,estimated,cost_usd,service,region
2026-06-01,2026-07-01,False,53.3694951549,Amazon Elastic Container Service,us-west-2
2026-06-01,2026-07-01,False,0.0001175506,Amazon Elastic File System,us-west-2
2026-06-01,2026-07-01,False,16.2,Amazon Elastic Load Balancing,us-east-1
2026-06-01,2026-07-01,False,25.0270875769,Amazon Elastic Load Balancing,us-west-2
2026-06-01,2026-07-01,False,2395.8861627715,Amazon FSx,us-west-2
2026-06-01,2026-07-01,False,1.23e-07,Amazon Glacier,af-south-1
2026-06-01,2026-07-01,False,7.5e-08,Amazon Glacier,ap-east-1
2026-06-01,2026-07-01,False,3e-07,Amazon Glacier,ap-northeast-1
2026-06-01,2026-07-01,False,2.64e-07,Amazon Glacier,ap-northeast-2
2026-06-01,2026-07-01,False,3e-07,Amazon Glacier,ap-northeast-3
2026-06-01,2026-07-01,False,2.88e-07,Amazon Glacier,ap-south-1
2026-06-01,2026-07-01,False,3e-07,Amazon Glacier,ap-southeast-1
2026-06-01,2026-07-01,False,3.24e-07,Amazon Glacier,ap-southeast-2
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,ca-central-1
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,eu-central-1
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,eu-north-1
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,eu-west-1
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,eu-west-2
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,eu-west-3
2026-06-01,2026-07-01,False,4.68e-07,Amazon Glacier,sa-east-1
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,us-east-1
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,us-east-2
2026-06-01,2026-07-01,False,7.2e-08,Amazon Glacier,us-west-1
2026-06-01,2026-07-01,False,0.0046492,Amazon GuardDuty,ap-northeast-1
2026-06-01,2026-07-01,False,0.0045356,Amazon GuardDuty,ap-northeast-2
2026-06-01,2026-07-01,False,0.00485,Amazon GuardDuty,ap-northeast-3
2026-06-01,2026-07-01,False,0.004334,Amazon GuardDuty,ap-south-1
2026-06-01,2026-07-01,False,0.0045402,Amazon GuardDuty,ap-southeast-1
2026-06-01,2026-07-01,False,0.004554,Amazon GuardDuty,ap-southeast-2
2026-06-01,2026-07-01,False,0.004531,Amazon GuardDuty,ca-central-1
2026-06-01,2026-07-01,False,0.0044804,Amazon GuardDuty,eu-central-1
2026-06-01,2026-07-01,False,0.0035994,Amazon GuardDuty,eu-north-1
2026-06-01,2026-07-01,False,0.004334,Amazon GuardDuty,eu-west-1
2026-06-01,2026-07-01,False,0.004334,Amazon GuardDuty,eu-west-2
2026-06-01,2026-07-01,False,0.0043472,Amazon GuardDuty,eu-west-3
2026-06-01,2026-07-01,False,0.006909,Amazon GuardDuty,sa-east-1
2026-06-01,2026-07-01,False,12.75452403,Amazon GuardDuty,us-east-1
2026-06-01,2026-07-01,False,0.00632,Amazon GuardDuty,us-east-2
2026-06-01,2026-07-01,False,0.004268,Amazon GuardDuty,us-west-1
2026-06-01,2026-07-01,False,0.4973224745,Amazon GuardDuty,us-west-2
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,af-south-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-northeast-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-northeast-2
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-northeast-3
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-south-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-south-2
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-southeast-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-southeast-2
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ap-southeast-3
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,ca-central-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,eu-central-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,eu-north-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,eu-west-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,eu-west-2
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,eu-west-3
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,sa-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,us-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,us-east-2
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,us-west-1
2026-06-01,2026-07-01,False,0.0,Amazon Inspector,us-west-2
2026-06-01,2026-07-01,False,997.1030080944,Amazon Relational Database Service,us-east-1
2026-06-01,2026-07-01,False,3482.0979059202,Amazon Relational Database Service,us-west-2
2026-06-01,2026-07-01,False,14.4092564,Amazon Route 53,global
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,af-south-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-northeast-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-northeast-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-northeast-3
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-south-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-south-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-southeast-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-southeast-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,ap-southeast-3
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,ca-central-1
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,eu-central-1
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,eu-north-1
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,eu-west-1
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,eu-west-2
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,eu-west-3
2026-06-01,2026-07-01,False,0.0,Amazon Simple Notification Service,sa-east-1
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,us-east-1
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,us-east-2
2026-06-01,2026-07-01,False,3.84e-07,Amazon Simple Notification Service,us-west-1
2026-06-01,2026-07-01,False,1.2342e-06,Amazon Simple Notification Service,us-west-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,af-south-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-northeast-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-northeast-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-northeast-3
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-south-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-south-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-southeast-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-southeast-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ap-southeast-3
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,ca-central-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,eu-central-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,eu-north-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,eu-west-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,eu-west-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,eu-west-3
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,sa-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,us-east-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,us-east-2
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,us-west-1
2026-06-01,2026-07-01,False,0.0,Amazon Simple Queue Service,us-west-2
2026-06-01,2026-07-01,False,0.00024,Amazon Simple Storage Service,af-south-1
2026-06-01,2026-07-01,False,0.00015,Amazon Simple Storage Service,ap-east-1
2026-06-01,2026-07-01,False,0.000282,Amazon Simple Storage Service,ap-northeast-1
2026-06-01,2026-07-01,False,0.0003,Amazon Simple Storage Service,ap-northeast-2
2026-06-01,2026-07-01,False,0.00027,Amazon Simple Storage Service,ap-northeast-3
2026-06-01,2026-07-01,False,1.3412744531,Amazon Simple Storage Service,ap-south-1
2026-06-01,2026-07-01,False,0.00027,Amazon Simple Storage Service,ap-south-2
2026-06-01,2026-07-01,False,0.00012,Amazon Simple Storage Service,ap-southeast-1
2026-06-01,2026-07-01,False,0.00027,Amazon Simple Storage Service,ap-southeast-2
2026-06-01,2026-07-01,False,0.00024,Amazon Simple Storage Service,ap-southeast-3
2026-06-01,2026-07-01,False,3.120753835,Amazon Simple Storage Service,eu-central-1
2026-06-01,2026-07-01,False,0.00051,Amazon Simple Storage Service,eu-north-1
2026-06-01,2026-07-01,False,0.0003,Amazon Simple Storage Service,eu-west-1
2026-06-01,2026-07-01,False,0.00024,Amazon Simple Storage Service,eu-west-2
2026-06-01,2026-07-01,False,0.00027,Amazon Simple Storage Service,eu-west-3
2026-06-01,2026-07-01,False,0.0,Amazon Simple Storage Service,global
2026-06-01,2026-07-01,False,1.5309477356,Amazon Simple Storage Service,us-east-1
2026-06-01,2026-07-01,False,0.2190765933,Amazon Simple Storage Service,us-east-2
2026-06-01,2026-07-01,False,0.00024,Amazon Simple Storage Service,us-west-1
2026-06-01,2026-07-01,False,7001.8248439363,Amazon Simple Storage Service,us-west-2
2026-06-01,2026-07-01,False,7.2,Amazon Virtual Private Cloud,ap-south-1
2026-06-01,2026-07-01,False,7.2,Amazon Virtual Private Cloud,eu-central-1
2026-06-01,2026-07-01,False,37.790411205,Amazon Virtual Private Cloud,us-east-1
2026-06-01,2026-07-01,False,109.9723020644,Amazon Virtual Private Cloud,us-west-2
2026-06-01,2026-07-01,False,0.0,AmazonCloudWatch,ap-south-1
2026-06-01,2026-07-01,False,0.0,AmazonCloudWatch,eu-central-1
2026-06-01,2026-07-01,False,0.4416718536,AmazonCloudWatch,global
2026-06-01,2026-07-01,False,0.0481349167,AmazonCloudWatch,us-east-1
2026-06-01,2026-07-01,False,0.0,AmazonCloudWatch,us-east-2
2026-06-01,2026-07-01,False,274.9505290758,AmazonCloudWatch,us-west-2
2026-06-01,2026-07-01,False,0.0,CloudWatch Events,us-west-2
2026-06-01,2026-07-01,False,0.0,Tax,NoRegion
2026-07-01,2026-07-15,True,1.1223e-06,AWS Backup,us-west-2
2026-07-01,2026-07-15,True,0.0,AWS Certificate Manager,us-east-1
2026-07-01,2026-07-15,True,0.0,AWS Certificate Manager,us-west-2
2026-07-01,2026-07-15,True,1.9e-05,AWS Cloud Map,us-west-2
2026-07-01,2026-07-15,True,0.0,AWS CloudFormation,us-west-1
2026-07-01,2026-07-15,True,0.0,AWS CloudFormation,us-west-2
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,af-south-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-east-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-northeast-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-northeast-2
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-northeast-3
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-south-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-south-2
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-southeast-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-southeast-2
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ap-southeast-3
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,ca-central-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,eu-central-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,eu-north-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,eu-west-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,eu-west-2
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,eu-west-3
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,sa-east-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,us-east-1
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,us-east-2
2026-07-01,2026-07-15,True,0.0,AWS CloudTrail,us-west-1
2026-07-01,2026-07-15,True,38.914093,AWS CloudTrail,us-west-2
2026-07-01,2026-07-15,True,14.679,AWS Config,us-east-1
2026-07-01,2026-07-15,True,0.48,AWS Config,us-east-2
2026-07-01,2026-07-15,True,214.197,AWS Config,us-west-2
2026-07-01,2026-07-15,True,632.1052009676,AWS Cost Explorer,us-east-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,af-south-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-east-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-northeast-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-northeast-2
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-northeast-3
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-south-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-south-2
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-southeast-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-southeast-2
2026-07-01,2026-07-15,True,0.0,AWS Glue,ap-southeast-3
2026-07-01,2026-07-15,True,0.0,AWS Glue,ca-central-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,eu-central-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,eu-north-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,eu-west-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,eu-west-2
2026-07-01,2026-07-15,True,0.0,AWS Glue,eu-west-3
2026-07-01,2026-07-15,True,0.0,AWS Glue,sa-east-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,us-east-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,us-east-2
2026-07-01,2026-07-15,True,0.0,AWS Glue,us-west-1
2026-07-01,2026-07-15,True,0.0,AWS Glue,us-west-2
2026-07-01,2026-07-15,True,8.4e-05,AWS Key Management Service,af-south-1
2026-07-01,2026-07-15,True,8.4e-05,AWS Key Management Service,ap-east-1
