category,resource,region,july_resource_cost_usd,utilization,state,size_gib
bucket,cdk-hnb659fds-assets-108782052779-us-west-2,us-west-2,0.02,not collected for this resource type,live,0
bucket,cf-templates-pfrobpqqun1c-us-east-2,us-east-2,0.02,not collected for this resource type,live,0
bucket,lsmc-atlas-demo,us-west-2,0.02,not collected for this resource type,live,0
bucket,lsmc-atlas-dev,us-west-2,0.02,not collected for this resource type,live,0
bucket,lsmc-bio-oauth-static-site-108782052779-us-east-1,us-east-1,0.02,not collected for this resource type,live,0
bucket,lsmc-datalake-raw-dev,us-west-2,0.02,not collected for this resource type,live,0
bucket,lsmc-healthomics-failiover,us-west-2,0.02,not collected for this resource type,live,0
bucket,lsmc-healthomics-results,us-west-2,0.02,not collected for this resource type,live,0
bucket,lsmc-meridian-governance-registry,us-west-2,0.02,not collected for this resource type,live,0
bucket,lsmc-mvp-v1-event-sink-raw-108782052779-us-west-2,us-west-2,0.02,not collected for this resource type,live,0
bucket,lsmc-twenty-prod-storage,us-east-1,0.02,not collected for this resource type,live,0
bucket,lsmc-ursa-customers-usw2,us-west-2,0.02,not collected for this resource type,live,0
bucket,parallelcluster-730cb6d53cf2deec-v1-do-not-delete,eu-central-1,0.02,not collected for this resource type,live,0
bucket,parallelcluster-e781c59d26140bab-v1-do-not-delete,ap-south-1,0.02,not collected for this resource type,live,0
bucket,terrarium-tfstate-dev,us-west-2,0.02,not collected for this resource type,live,0
bucket,terrarium-tfstate-prod,us-west-2,0.02,not collected for this resource type,live,0
volume,vol-0746a2cbb0acde1dd,us-west-2,0.0,4 observed hours; idle 87.4% of observed hours,in-use,30
volume,vol-08a142d0b31d6421f,us-west-2,0.0,62 observed hours; idle 99.2% of observed hours,in-use,20
volume,vol-0b481de207f5b19f1,us-west-2,0.0,60 observed hours; idle 99.6% of observed hours,in-use,20
elastic_ip,eipalloc-0dc16bbf830c83d81,ap-south-1,0.0,associated,,0
elastic_ip,eipalloc-033c9e0da1444ac1b,ap-south-1,0.0,associated,,0
elastic_ip,eipalloc-064b4a732e3617a01,eu-central-1,0.0,associated,,0
elastic_ip,eipalloc-0a47cd6baa930d38f,eu-central-1,0.0,associated,,0
elastic_ip,eipalloc-05ec07b8b3f8ab7a0,us-east-1,0.0,associated,,0
elastic_ip,eipalloc-0e23d5a2d6a908513,us-west-2,0.0,associated,,0
elastic_ip,eipalloc-0d243e5344b4f6a39,us-west-2,0.0,associated,,0
elastic_ip,eipalloc-08aa7ee07f8adf8dc,us-west-2,0.0,associated,,0
elastic_ip,eipalloc-0339d3e066d497bad,us-west-2,0.0,associated,,0
elastic_ip,eipalloc-0404170040b2023eb,us-west-2,0.0,associated,,0
elastic_ip,eipalloc-034fe6067ba066271,us-west-2,0.0,associated,,0
elastic_ip,eipalloc-058ea8eee7c041d8a,us-west-2,0.0,associated,,0
elastic_ip,eipalloc-0eba4901f0a660eee,us-west-2,0.0,associated,,0
nat_gateway,nat-0e8d177db491d4430,us-west-2,0.0,110.680 GiB across four byte counters,available,0
db_instance,day-ursa-rehearsal-20260710t0402z-writer,us-west-2,0.0,CPU avg 10.65%; connections avg 0.00,available,0
bucket,dayec-cur-108782052779-us-east-1,us-east-1,0.0,not collected for this resource type,live,0
bucket,lsmc-docs-public-108782052779-us-west-2,us-west-2,0.0,not collected for this resource type,live,0
bucket,lsmc-mvp-v1-labcore-ui-108782052779-us-west-2,us-west-2,0.0,not collected for this resource type,live,0
