service,kind,region,resource_id,arn,name,user_tag_count,untagged,user_tags,all_tags,state,volume_size_gib,start_time,associated,public_ip,instance_type,launch_time,size_gib,volume_type,attached_instance_ids,db_class,engine,allocated_storage_gib,cluster_id,serverless_v2_min_acu,serverless_v2_max_acu,lb_type,fsx_type,storage_capacity_gib,storage_type,creation_date,has_lifecycle
EC2,instance,us-east-1,i-068f3aad2bedb9fa6,arn:aws:ec2:us-east-1:108782052779:instance/i-068f3aad2bedb9fa6,Dayhoff-josh-dev-Compute/Hostprimary,12,False,"CostCenter=platform;Environment=josh-dev;Host=primary;Name=Dayhoff-josh-dev-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,zebra_day,kahlo;System=dayhoff;dayhoff-lock=false;dayhoff-user=jdurham38;lsmc-cost-center=platform;lsmc-project=dayhoff+us-east-1","CostCenter=platform;Environment=josh-dev;Host=primary;Name=Dayhoff-josh-dev-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,zebra_day,kahlo;System=dayhoff;aws:cloudformation:logical-id=Hostprimary8A9E85D2;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-josh-dev-Compute/95cf7420-6143-11f1-954b-0ecbebe41cc7;aws:cloudformation:stack-name=Dayhoff-josh-dev-Compute;dayhoff-lock=false;dayhoff-user=jdurham38;lsmc-cost-center=platform;lsmc-project=dayhoff+us-east-1",stopped,,,,,t3a.2xlarge,2026-06-06T01:06:36.000Z,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-018a4be07f5bdfa49,arn:aws:ec2:us-east-1:108782052779:instance/i-018a4be07f5bdfa49,Dayhoff-jemdev5-Compute/Hostprimary,12,False,"CostCenter=platform;Environment=jemdev5;Host=primary;Name=Dayhoff-jemdev5-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-jemdev5","CostCenter=platform;Environment=jemdev5;Host=primary;Name=Dayhoff-jemdev5-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;aws:cloudformation:logical-id=Hostprimary8A9E85D27585d9d94ebdcc7c;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-jemdev5-Compute/081ffd10-63c4-11f1-aa86-0e4a7d53ffdb;aws:cloudformation:stack-name=Dayhoff-jemdev5-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-jemdev5",stopped,,,,,t3.2xlarge,2026-06-23T11:14:44.000Z,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-02876b4893e5654c2,arn:aws:ec2:us-east-1:108782052779:instance/i-02876b4893e5654c2,Dayhoff-jemdev6-Compute/Hostprimary,12,False,"CostCenter=platform;Environment=jemdev6;Host=primary;Name=Dayhoff-jemdev6-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-jemdev6","CostCenter=platform;Environment=jemdev6;Host=primary;Name=Dayhoff-jemdev6-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;aws:cloudformation:logical-id=Hostprimary8A9E85D221a2e437ccdd0921;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-jemdev6-Compute/fae631b0-74a2-11f1-bc0f-0e255b683dff;aws:cloudformation:stack-name=Dayhoff-jemdev6-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-jemdev6",running,,,,,t3.2xlarge,2026-07-13T22:00:55.000Z,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-0e70fab85d559c615,arn:aws:ec2:us-east-1:108782052779:instance/i-0e70fab85d559c615,Dayhoff-inf-Compute/Hostprimary,12,False,"CostCenter=platform;Environment=inf;Host=primary;Name=Dayhoff-inf-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-inf","CostCenter=platform;Environment=inf;Host=primary;Name=Dayhoff-inf-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;aws:cloudformation:logical-id=Hostprimary8A9E85D235ed93cf8c52e8ca;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-inf-Compute/f4d67950-5f68-11f1-b41b-0affe27bd7f5;aws:cloudformation:stack-name=Dayhoff-inf-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-inf",stopped,,,,,t3.2xlarge,2026-06-03T16:29:09.000Z,,,,,,,,,,,,,,,
EC2,instance,us-east-1,i-05de16a24310099c5,arn:aws:ec2:us-east-1:108782052779:instance/i-05de16a24310099c5,Dayhoff-joshdev-Compute/Hostprimary,12,False,"CostCenter=platform;Environment=joshdev;Host=primary;Name=Dayhoff-joshdev-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;dayhoff-lock=false;dayhoff-user=jdurham38;lsmc-cost-center=platform;lsmc-project=dayhoff-joshdev","CostCenter=platform;Environment=joshdev;Host=primary;Name=Dayhoff-joshdev-Compute/Hostprimary;Owner=platform;Project=LSMC;Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day,kahlo;System=dayhoff;aws:cloudformation:logical-id=Hostprimary8A9E85D2096dd0cf89b0ac96;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-joshdev-Compute/4611c240-620a-11f1-b892-0e43b5d0b09f;aws:cloudformation:stack-name=Dayhoff-joshdev-Compute;dayhoff-lock=false;dayhoff-user=jdurham38;lsmc-cost-center=platform;lsmc-project=dayhoff-joshdev",stopped,,,,,t3.2xlarge,2026-06-07T00:48:50.000Z,,,,,,,,,,,,,,,
EBS,volume,us-east-1,vol-0aa3f5a0f5cdca9a0,arn:aws:ec2:us-east-1:108782052779:volume/vol-0aa3f5a0f5cdca9a0,,0,True,,,in-use,,,,,,,336,gp3,i-05de16a24310099c5,,,,,,,,,,,,
EBS,volume,us-east-1,vol-0dba752186e34e08c,arn:aws:ec2:us-east-1:108782052779:volume/vol-0dba752186e34e08c,,0,True,,,in-use,,,,,,,336,gp3,i-02876b4893e5654c2,,,,,,,,,,,,
EBS,volume,us-east-1,vol-0392bc7824a1e81e8,arn:aws:ec2:us-east-1:108782052779:volume/vol-0392bc7824a1e81e8,,2,False,project=dayhoff-all;project:dayhoff-dev=true,project=dayhoff-all;project:dayhoff-dev=true,in-use,,,,,,,336,gp3,i-0b6713cc15f74d360,,,,,,,,,,,,
EBS,volume,us-east-1,vol-0941af554a7184c73,arn:aws:ec2:us-east-1:108782052779:volume/vol-0941af554a7184c73,,4,False,project=dayhoff-all;project:dayhoff-day=true;project:dayhoff-dev=true;project:dayhoff-inf=true,project=dayhoff-all;project:dayhoff-day=true;project:dayhoff-dev=true;project:dayhoff-inf=true,in-use,,,,,,,8,gp3,i-04d3a8c6aae87f818,,,,,,,,,,,,
EBS,volume,us-east-1,vol-0b99a6dcae2700982,arn:aws:ec2:us-east-1:108782052779:volume/vol-0b99a6dcae2700982,,2,False,project=dayhoff-all;project:dayhoff-dev=true,project=dayhoff-all;project:dayhoff-dev=true,in-use,,,,,,,336,gp3,i-0de9e3f8d3208cf03,,,,,,,,,,,,
EBS,volume,us-east-1,vol-0f2da5c82d0de1378,arn:aws:ec2:us-east-1:108782052779:volume/vol-0f2da5c82d0de1378,,0,True,,,in-use,,,,,,,336,gp3,i-0b13373722116c733,,,,,,,,,,,,
EBS,volume,us-east-1,vol-00cbb7ba932dbd3a4,arn:aws:ec2:us-east-1:108782052779:volume/vol-00cbb7ba932dbd3a4,,0,True,,,in-use,,,,,,,336,gp3,i-0e70fab85d559c615,,,,,,,,,,,,
EBS,volume,us-east-1,vol-09454929e2c583ae7,arn:aws:ec2:us-east-1:108782052779:volume/vol-09454929e2c583ae7,,0,True,,,in-use,,,,,,,8,gp3,i-0ab7116abc8229a16,,,,,,,,,,,,
EBS,volume,us-east-1,vol-0f9efeb41e207d738,arn:aws:ec2:us-east-1:108782052779:volume/vol-0f9efeb41e207d738,,0,True,,,in-use,,,,,,,336,gp3,i-068f3aad2bedb9fa6,,,,,,,,,,,,
EBS,volume,us-east-1,vol-014b3f723fb89dc63,arn:aws:ec2:us-east-1:108782052779:volume/vol-014b3f723fb89dc63,,0,True,,,in-use,,,,,,,336,gp3,i-018a4be07f5bdfa49,,,,,,,,,,,,
EBS,snapshot,us-east-1,snap-07690eaa1400bc7f6,arn:aws:ec2:us-east-1:108782052779:snapshot/snap-07690eaa1400bc7f6,,0,True,,,completed,336,2026-06-19T21:50:37.422Z,,,,,,,,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-05ae2b5e83f6942d5,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-05ae2b5e83f6942d5,,2,False,project=dayhoff-all;project:dayhoff-dev=true,project=dayhoff-all;project:dayhoff-dev=true,,,,True,23.21.163.155,,,,,,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-0b6cc46ecf8c48bd3,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-0b6cc46ecf8c48bd3,Dayhoff-inf-inf-lsmc-bio-eip,13,False,CostCenter=platform;DNSName=inf.lsmc.bio;Environment=inf;Name=Dayhoff-inf-inf-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=inf.lsmc.bio-public-approved-ingress;ServiceNamespace=inf.lsmc.bio;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-inf,CostCenter=platform;DNSName=inf.lsmc.bio;Environment=inf;Name=Dayhoff-inf-inf-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=inf.lsmc.bio-public-approved-ingress;ServiceNamespace=inf.lsmc.bio;System=dayhoff;aws:cloudformation:logical-id=PublicServiceEipprimary;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-inf-Compute/f4d67950-5f68-11f1-b41b-0affe27bd7f5;aws:cloudformation:stack-name=Dayhoff-inf-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-inf,,,,True,3.222.35.189,,,,,,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-0e5344572ea8cc7d0,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-0e5344572ea8cc7d0,Dayhoff-jemdev5-jemdev5-dev-lsmc-bio-eip,13,False,CostCenter=platform;DNSName=jemdev5.dev.lsmc.bio;Environment=jemdev5;Name=Dayhoff-jemdev5-jemdev5-dev-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=jemdev5.dev.lsmc.bio-public-approved-ingress;ServiceNamespace=jemdev5.dev.lsmc.bio;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-jemdev5,CostCenter=platform;DNSName=jemdev5.dev.lsmc.bio;Environment=jemdev5;Name=Dayhoff-jemdev5-jemdev5-dev-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=jemdev5.dev.lsmc.bio-public-approved-ingress;ServiceNamespace=jemdev5.dev.lsmc.bio;System=dayhoff;aws:cloudformation:logical-id=PublicServiceEipprimary;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-jemdev5-Compute/081ffd10-63c4-11f1-aa86-0e4a7d53ffdb;aws:cloudformation:stack-name=Dayhoff-jemdev5-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-jemdev5,,,,True,3.233.72.115,,,,,,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-05f03362c35e913dc,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-05f03362c35e913dc,Dayhoff-jemdev6-jemdev6-dev-lsmc-bio-eip,13,False,CostCenter=platform;DNSName=jemdev6.dev.lsmc.bio;Environment=jemdev6;Name=Dayhoff-jemdev6-jemdev6-dev-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=jemdev6.dev.lsmc.bio-public-approved-ingress;ServiceNamespace=jemdev6.dev.lsmc.bio;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-jemdev6,CostCenter=platform;DNSName=jemdev6.dev.lsmc.bio;Environment=jemdev6;Name=Dayhoff-jemdev6-jemdev6-dev-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=jemdev6.dev.lsmc.bio-public-approved-ingress;ServiceNamespace=jemdev6.dev.lsmc.bio;System=dayhoff;aws:cloudformation:logical-id=PublicServiceEipprimary;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-jemdev6-Compute/fae631b0-74a2-11f1-bc0f-0e255b683dff;aws:cloudformation:stack-name=Dayhoff-jemdev6-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-jemdev6,,,,True,32.194.124.0,,,,,,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-05ec07b8b3f8ab7a0,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-05ec07b8b3f8ab7a0,,0,True,,,,,,True,34.196.251.98,,,,,,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-0004f38c8ac45ff0f,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-0004f38c8ac45ff0f,Dayhoff-dev-dev-lsmc-bio-eip,15,False,CostCenter=platform;DNSName=dev.lsmc.bio;Environment=dev;Name=Dayhoff-dev-dev-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=dev.lsmc.bio-public-approved-ingress;ServiceNamespace=dev.lsmc.bio;System=dayhoff;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-dev;project=dayhoff-all;project:dayhoff-dev=true,CostCenter=platform;DNSName=dev.lsmc.bio;Environment=dev;Name=Dayhoff-dev-dev-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=dev.lsmc.bio-public-approved-ingress;ServiceNamespace=dev.lsmc.bio;System=dayhoff;aws:cloudformation:logical-id=PublicServiceEipprimary;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-dev-Compute/2d6fd9e0-5f0b-11f1-bd99-12de41f84f37;aws:cloudformation:stack-name=Dayhoff-dev-Compute;dayhoff-lock=false;dayhoff-user=jmajor;lsmc-cost-center=platform;lsmc-project=dayhoff-dev;project=dayhoff-all;project:dayhoff-dev=true,,,,True,44.214.9.189,,,,,,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-0b43d16bdf1e9f3df,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-0b43d16bdf1e9f3df,dayhoff-dev-eip-us-east-1a,1,False,Name=dayhoff-dev-eip-us-east-1a,Name=dayhoff-dev-eip-us-east-1a,,,,True,44.221.181.52,,,,,,,,,,,,,,,,,
EC2,elastic_ip,us-east-1,eipalloc-0279920cf8bf8ec52,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-0279920cf8bf8ec52,Dayhoff-joshdev-joshdev-lsmc-bio-eip,13,False,CostCenter=platform;DNSName=joshdev.lsmc.bio;Environment=joshdev;Name=Dayhoff-joshdev-joshdev-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=joshdev.lsmc.bio-public-approved-ingress;ServiceNamespace=joshdev.lsmc.bio;System=dayhoff;dayhoff-lock=false;dayhoff-user=jdurham38;lsmc-cost-center=platform;lsmc-project=dayhoff-joshdev,CostCenter=platform;DNSName=joshdev.lsmc.bio;Environment=joshdev;Name=Dayhoff-joshdev-joshdev-lsmc-bio-eip;Owner=platform;Project=LSMC;Purpose=joshdev.lsmc.bio-public-approved-ingress;ServiceNamespace=joshdev.lsmc.bio;System=dayhoff;aws:cloudformation:logical-id=PublicServiceEipprimary;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/Dayhoff-joshdev-Compute/4611c240-620a-11f1-b892-0e43b5d0b09f;aws:cloudformation:stack-name=Dayhoff-joshdev-Compute;dayhoff-lock=false;dayhoff-user=jdurham38;lsmc-cost-center=platform;lsmc-project=dayhoff-joshdev,,,,True,52.22.132.153,,,,,,,,,,,,,,,,,
