start,end,estimated,cost_usd,service,usage_type
2026-06-01,2026-07-01,False,0.0,AWS CloudTrail,USW2-FreeEventsRecorded
2026-06-01,2026-07-01,False,383.56,AWS Cost Explorer,USE1-APIRequest
2026-06-01,2026-07-01,False,3.2677981398,AWS Cost Explorer,USE1-CostDataStorage
2026-06-01,2026-07-01,False,0.0,AWS Glue,AFS1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APE1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APN1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APN2-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APN3-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APS1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APS2-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APS3-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APS4-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,APS5-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,CAN1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,EU-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,EUC1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,EUN1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,EUW2-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,EUW3-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,SAE1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,USE1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,USE2-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,USW1-Catalog-Request
2026-06-01,2026-07-01,False,0.0,AWS Glue,USW2-Catalog-Request
2026-06-01,2026-07-01,False,0.00042,AWS Key Management Service,af-south-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000417,AWS Key Management Service,ap-east-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,ap-northeast-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,ap-northeast-2-KMS-Requests
2026-06-01,2026-07-01,False,0.000744,AWS Key Management Service,ap-northeast-3-KMS-Requests
2026-06-01,2026-07-01,False,0.001884,AWS Key Management Service,ap-south-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000417,AWS Key Management Service,ap-south-2-KMS-Requests
2026-06-01,2026-07-01,False,0.000753,AWS Key Management Service,ap-southeast-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,ap-southeast-2-KMS-Requests
2026-06-01,2026-07-01,False,0.000417,AWS Key Management Service,ap-southeast-3-KMS-Requests
2026-06-01,2026-07-01,False,0.000732,AWS Key Management Service,ca-central-1-KMS-Requests
2026-06-01,2026-07-01,False,0.001884,AWS Key Management Service,eu-central-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,eu-north-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,eu-west-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,eu-west-2-KMS-Requests
2026-06-01,2026-07-01,False,0.000747,AWS Key Management Service,eu-west-3-KMS-Requests
2026-06-01,2026-07-01,False,0.000753,AWS Key Management Service,sa-east-1-KMS-Requests
2026-06-01,2026-07-01,False,0.9972222302,AWS Key Management Service,us-east-1-KMS-Keys
2026-06-01,2026-07-01,False,0.01131,AWS Key Management Service,us-east-1-KMS-Requests
2026-06-01,2026-07-01,False,0.000735,AWS Key Management Service,us-east-2-KMS-Requests
2026-06-01,2026-07-01,False,0.000741,AWS Key Management Service,us-west-1-KMS-Requests
2026-06-01,2026-07-01,False,3.000000024,AWS Key Management Service,us-west-2-KMS-Keys
2026-06-01,2026-07-01,False,3.192216,AWS Key Management Service,us-west-2-KMS-Requests
2026-06-01,2026-07-01,False,0.0,AWS Lambda,USW2-Lambda-GB-Second
2026-06-01,2026-07-01,False,0.0,AWS Lambda,USW2-Request
2026-06-01,2026-07-01,False,0.0,AWS Lambda,USW2-USE1-AWS-In-Bytes
2026-06-01,2026-07-01,False,7.3937e-06,AWS Lambda,USW2-USE1-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.00073,AWS Secrets Manager,AFS1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.00073,AWS Secrets Manager,APE1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,APN1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,APN2-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.00124,AWS Secrets Manager,APN3-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.00126,AWS Secrets Manager,APS1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,APS2-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,APS3-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.00073,AWS Secrets Manager,APS4-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.00072,AWS Secrets Manager,APS5-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,CAN1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,EU-AWSSecretsManager-APIRequests
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,EUC1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,EUN1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,EUW2-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.00124,AWS Secrets Manager,EUW3-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.00126,AWS Secrets Manager,SAE1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,3.0227714294,AWS Secrets Manager,USE1-AWSSecretsManager-Secrets
2026-06-01,2026-07-01,False,0.017865,AWS Secrets Manager,USE1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.0012,AWS Secrets Manager,USE2-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,0.00122,AWS Secrets Manager,USW1-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,5.7497893012,AWS Secrets Manager,USW2-AWSSecretsManager-Secrets
2026-06-01,2026-07-01,False,0.011095,AWS Secrets Manager,USW2-AWSSecretsManagerAPIRequest
2026-06-01,2026-07-01,False,1.17789,AWS Security Hub,AFS1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,AFS1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,1.22661264,AWS Security Hub,APE1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APE1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.9871172,AWS Security Hub,APN1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,APN1-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APN1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.9620808,AWS Security Hub,APN2-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,APN2-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APN2-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,1.064075,AWS Security Hub,APN3-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,APN3-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APN3-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.9982276,AWS Security Hub,APS1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,APS1-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APS1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.962021,AWS Security Hub,APS2-EventsAnalyzed
2026-06-01,2026-07-01,False,0.121,AWS Security Hub,APS2-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APS2-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,3.1882488,AWS Security Hub,APS3-EventsAnalyzed
2026-06-01,2026-07-01,False,0.00031581,AWS Security Hub,APS3-LogsAnalyzedBytes
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,APS3-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APS3-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,1.0629266,AWS Security Hub,APS4-EventsAnalyzed
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APS4-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.946242,AWS Security Hub,APS5-EventsAnalyzed
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,APS5-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.9613816,AWS Security Hub,CAN1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,CAN1-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,CAN1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.9201764,AWS Security Hub,EU-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,EU-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,EU-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,3.3042536,AWS Security Hub,EUC1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.00054516,AWS Security Hub,EUC1-LogsAnalyzedBytes
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,EUC1-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,EUC1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.8774388,AWS Security Hub,EUN1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,EUN1-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,EUN1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.9193536,AWS Security Hub,EUW2-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,EUW2-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,EUW2-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.9450628,AWS Security Hub,EUW3-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,EUW3-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,EUW3-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,2.59420752,AWS Security Hub,Global-MonitoredIAMRole
2026-06-01,2026-07-01,False,0.46903752,AWS Security Hub,Global-MonitoredIAMUser
2026-06-01,2026-07-01,False,1.519301,AWS Security Hub,SAE1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,SAE1-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,SAE1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,10.006788,AWS Security Hub,USE1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.8210939803,AWS Security Hub,USE1-LogsAnalyzedBytes
2026-06-01,2026-07-01,False,19.6004832,AWS Security Hub,USE1-MonitoredContainerImage
2026-06-01,2026-07-01,False,28.724173883,AWS Security Hub,USE1-MonitoredEC2
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,USE1-OtherProduct:PaidFindingsIngestion
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,USE1-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,USE1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,2.868068,AWS Security Hub,USE2-EventsAnalyzed
2026-06-01,2026-07-01,False,6.6e-06,AWS Security Hub,USE2-LogsAnalyzedBytes
2026-06-01,2026-07-01,False,0.121,AWS Security Hub,USE2-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,USE2-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.935176,AWS Security Hub,USW1-EventsAnalyzed
2026-06-01,2026-07-01,False,0.12,AWS Security Hub,USW1-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,USW1-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,128.740564,AWS Security Hub,USW2-EventsAnalyzed
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,USW2-FreeComplianceCheck
2026-06-01,2026-07-01,False,130.783503125,AWS Security Hub,USW2-LogsAnalyzedBytes
2026-06-01,2026-07-01,False,11.321328,AWS Security Hub,USW2-MonitoredContainerImage
2026-06-01,2026-07-01,False,68.4436684321,AWS Security Hub,USW2-MonitoredEC2
2026-06-01,2026-07-01,False,1.24992,AWS Security Hub,USW2-MonitoredFunction
2026-06-01,2026-07-01,False,1.8,AWS Security Hub,USW2-MonitoredFunctionCode
2026-06-01,2026-07-01,False,0.409,AWS Security Hub,USW2-PaidComplianceCheck
2026-06-01,2026-07-01,False,0.0,AWS Security Hub,USW2-SecurityHubProduct:FreeFindingsIngestion
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,AFS1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APE1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APN1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APN2-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APN3-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APS1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APS2-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APS3-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APS4-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,APS5-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,CAN1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,EU-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,EUC1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,EUN1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,EUW2-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,EUW3-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,SAE1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,USE1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,USE2-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,USW1-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Service Catalog,USW2-SC-API-Calls
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,AFS1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,8.1e-08,AWS Step Functions,AFS1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APE1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,5.1e-08,AWS Step Functions,APE1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APN1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,2.04e-07,AWS Step Functions,APN1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APN2-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,1.8e-07,AWS Step Functions,APN2-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APN3-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,2.04e-07,AWS Step Functions,APN3-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APS1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,2.04e-07,AWS Step Functions,APS1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APS2-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,2.16e-07,AWS Step Functions,APS2-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APS3-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,1.92e-07,AWS Step Functions,APS3-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APS4-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,5.7e-08,AWS Step Functions,APS4-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,APS5-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,APS5-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,CAN1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,CAN1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,DataTransfer-In-Bytes
2026-06-01,2026-07-01,False,1.13e-08,AWS Step Functions,DataTransfer-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,EU-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,EU-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,EUC1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,EUC1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,EUN1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,EUN1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,EUW2-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,EUW2-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,EUW3-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,EUW3-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,SAE1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,3.12e-07,AWS Step Functions,SAE1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,USE1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,USE1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,USE2-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,USE2-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,AWS Step Functions,USW1-USW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,4.8e-08,AWS Step Functions,USW1-USW2-AWS-Out-Bytes
2026-06-01,2026-07-01,False,1407.3498072785,AWS Support (Developer),Dollar
2026-06-01,2026-07-01,False,2.000000016,AWS WAF,Global-RuleV2
2026-06-01,2026-07-01,False,5.00000004,AWS WAF,Global-WebACLV2
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,CA-DataTransfer-Out-Bytes
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,CA-Requests-Tier1
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,CA-Requests-Tier2-HTTPS
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,EU-DataTransfer-Out-Bytes
2026-06-01,2026-07-01,False,3.4e-09,Amazon CloudFront,EU-DataTransfer-Out-OBytes
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,EU-Requests-HTTP-Proxy
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,EU-Requests-HTTPS-Proxy
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,EU-Requests-Tier1
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,EU-Requests-Tier2-HTTPS
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,Executions-CloudFrontFunctions
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,Invalidations
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,US-DataTransfer-Out-Bytes
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,US-Requests-HTTPS-Proxy
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,US-Requests-Tier1
2026-06-01,2026-07-01,False,0.0,Amazon CloudFront,US-Requests-Tier2-HTTPS
2026-06-01,2026-07-01,False,0.0,Amazon Cognito,USE1-CUPM2MAppClientsFull
2026-06-01,2026-07-01,False,0.0,Amazon Cognito,USE1-CognitoEssentialsMAU
2026-06-01,2026-07-01,False,0.0,Amazon Cognito,USW1-CUPM2MAppClientsFull
2026-06-01,2026-07-01,False,0.0,Amazon Cognito,USW2-CUPM2MAppClientsFull
2026-06-01,2026-07-01,False,0.0,Amazon Cognito,USW2-CognitoEssentialsMAU
2026-06-01,2026-07-01,False,0.02466,Amazon DynamoDB,USW2-ReadRequestUnits
2026-06-01,2026-07-01,False,1.1527e-06,Amazon DynamoDB,USW2-TimedPITRStorage-ByteHrs
2026-06-01,2026-07-01,False,0.0,Amazon DynamoDB,USW2-TimedStorage-ByteHrs
2026-06-01,2026-07-01,False,0.0146075,Amazon DynamoDB,USW2-WriteRequestUnits
2026-06-01,2026-07-01,False,8.9915110236,Amazon EC2 Container Registry (ECR),TimedStorage-ByteHrs
2026-06-01,2026-07-01,False,5.866e-07,Amazon EC2 Container Registry (ECR),USW2-DataTransfer-Out-Bytes
2026-06-01,2026-07-01,False,1.3546364416,Amazon EC2 Container Registry (ECR),USW2-TimedStorage-ByteHrs
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-AFS1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APE1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APE2-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APN1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APN2-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APN3-AWS-In-Bytes
2026-06-01,2026-07-01,False,3.2e-09,EC2 - Other,APS3-APN3-AWS-Out-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APS1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APS2-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APS5-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APS8-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-APS9-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-CAN1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-CPH1-AWS-In-Bytes
2026-06-01,2026-07-01,False,7.611e-07,EC2 - Other,APS3-DataTransfer-Regional-Bytes
2026-06-01,2026-07-01,False,2.408471679,EC2 - Other,APS3-EBS:SnapshotUsage
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-EU-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-EUC1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-EUN1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-EUS1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-EUW2-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-EUW3-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-HEL1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-MCI2-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-NYC1-AWS-In-Bytes
2026-06-01,2026-07-01,False,1.38195e-05,EC2 - Other,APS3-NatGateway-Bytes
2026-06-01,2026-07-01,False,80.64,EC2 - Other,APS3-NatGateway-Hours
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-SAE1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-USE1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-USE2-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-USW1-AWS-In-Bytes
2026-06-01,2026-07-01,False,0.0,EC2 - Other,APS3-USW2-AWS-In-Bytes
