cluster,region,july_cost_usd,lifecycle_status,cluster_provider_status,compute_fleet_status,cloudformation_status,cluster_exists,current_tagged_resource_count,classification_evidence
dyec-costacct-005955,us-west-2,30.35,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-07T10:43:01.400Z
ursa-m-rgx-br75,us-west-2,23.41,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-15T06:19:20.680Z
ursa-m-rgx-bk3j,us-west-2,19.48,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-13T08:33:40.453Z
ifx-20260719h,us-west-2,15.4,deleted,absent,,DELETE_COMPLETE,False,1,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-16T00:20:19.043Z
dragain12,us-west-2,13.22,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-11T08:32:32.309Z
ifx-hyb-all,us-west-2,12.84,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T19:45:56.139Z
dragain9b,us-west-2,11.49,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-09T00:58:58.578Z
sentlic-e,us-west-2,9.97,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-13T15:02:06.500Z
preval-hybrid-set2,us-west-2,9.12,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-01T17:13:20.336Z
dragen-fix5-20260708,us-west-2,7.33,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T10:44:53.652Z
dragain11,us-west-2,7.14,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-10T19:52:01.853Z
dragain2,us-west-2,6.61,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T16:58:19.664Z
ifx-sacctoff-1037,us-west-2,2.85,deleted,absent,,DELETE_COMPLETE,False,1,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-16T00:20:19.032Z
dragen-f2-pcimg-nofsx-2c,us-west-2,1.17,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-03T11:52:05.948Z
dragen-f2-native-nofsx-2c,us-west-2,0.5,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-03T09:35:28.861Z
cost-testing,us-west-2,0.49,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-03T06:53:46.683Z
minitest,us-west-2,0.3,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T12:48:30.446Z
tinytst2,us-west-2,0.28,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T13:11:29.371Z
ifx-20260719g,us-west-2,0.26,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-15T18:38:55.126Z
sent-liscC,us-west-2,0.26,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-13T09:54:48.182Z
jly08costck,us-west-2,0.2,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T21:06:21.681Z
dragen-fix4-20260708,us-west-2,0.12,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T17:37:43.286Z
dragen-fix-20260708,us-west-2,0.1,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T03:31:35.265Z
dragen-fix2-20260708,us-west-2,0.1,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T03:31:32.863Z
dragen-fix3-20260708,us-west-2,0.1,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T03:31:34.147Z
dragen-103-pg-20260707,us-west-2,0.08,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-08T03:31:36.525Z
drg-na19235-pg,us-west-2,0.08,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-07T11:02:57.417Z
dragen-f2-native-2c,us-west-2,0.07,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-03T11:02:16.636Z
dragen-f2-pcimg-fsx-2c,us-west-2,0.07,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-03T22:10:03.077Z
dragain10,us-west-2,0.05,deleted,absent,,DELETE_COMPLETE,False,0,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-10T22:41:56.651Z
ifx-p2-1000-120-0715,us-west-2,0.0,active,UPDATE_COMPLETE,RUNNING,UPDATE_COMPLETE,True,16,live ParallelCluster list-clusters result
ifx-p2-250-0714,us-west-2,0.0,deleted,absent,,DELETE_COMPLETE,False,1,ParallelCluster absent; CloudFormation DELETE_COMPLETE at 2026-07-16T00:20:19.378Z
tst-10315g,us-west-2,0.0,provisioning_or_updating,CREATE_IN_PROGRESS,not queried while cluster is CREATE_IN_PROGRESS,CREATE_IN_PROGRESS,True,1,live ParallelCluster list-clusters result
