rank,instance_id,july_cost_usd,region,cluster,instance_type,vcpus,market,queue,compute_resource,launch_time,cpu_avg_pct,cpu_p95_pct,cpu_max_pct,metric_datapoints,measured_hours,measured_vcpu_hours,busy_vcpu_hours,idle_vcpu_hours,busy_share_pct
17,i-05de2b02daac7a9fc,80.2601,us-west-2,preval-hybrid-set3,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-06-30T20:33:45Z,16.15,59.4,71.8,134,11.167,2144.0,346.155,1797.845,16.15
18,i-0a6ae478eb4d8fc0d,77.7277,us-west-2,preval-hybrid-set3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-06-30T20:53:20Z,17.64,58.8,90.2,134,11.167,2144.0,378.101,1765.899,17.64
19,i-0e851e4dc6ad5ee5a,68.2053,us-west-2,preval-segdups-and-eh,m8idb.96xlarge,384,spot,i384nvme,mem384nvme,2026-07-02T17:35:22Z,6.51,33.45,38.07,74,6.167,2368.0,154.077,2213.923,6.51
20,i-06a253165b3804f50,66.5463,us-west-2,preval-segdups-and-eh,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T17:35:19Z,6.33,32.92,41.22,73,6.083,2336.0,147.883,2188.117,6.33
21,i-0655e1a29634ade1d,65.796,us-west-2,preval-hybrid-set3,i7ie.metal-48xl,192,spot,i192nvme,bigmem192nvme,2026-06-30T20:33:50Z,19.96,58.2,68.8,112,9.333,1792.0,357.696,1434.304,19.96
22,i-07df3a933e4839f52,55.905,us-west-2,untagged/unattributed,t3.2xlarge,8,on-demand,,,2026-06-02T13:59:00.000Z,2.78,5.92,27.2,4032,336.0,2688.0,74.764,2613.236,2.78
23,i-049554ca1437eb568,52.4485,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-07-02T02:19:31Z,0.11,0.0,4.0,83,6.917,1328.0,1.493,1326.507,0.11
24,i-027a7334aec0f2c53,49.2905,us-west-2,preval-segdups-and-eh,i7ie.metal-48xl,192,spot,i192nvme,bigmem192nvme,2026-07-02T17:22:04Z,11.17,56.0,71.2,77,6.417,1232.0,137.589,1094.411,11.17
25,i-066a7fb40eef06c21,49.0325,us-west-2,preval-segdups-and-eh,i7ie.metal-48xl,192,spot,i192nvme,mem192nvme,2026-07-02T17:22:01Z,12.38,46.8,68.2,77,6.417,1232.0,152.469,1079.531,12.38
26,i-0106649a9db48f1db,48.0692,us-west-2,illumina-94-c02,m8idn.96xlarge,384,spot,i384nvme,mem384nvme,2026-07-07T14:03:21Z,10.92,29.72,32.69,53,4.417,1696.0,185.119,1510.881,10.92
27,i-02ca12737f57cf1f2,47.9548,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T09:32:47Z,5.28,40.55,44.33,53,4.417,1696.0,89.627,1606.373,5.28
28,i-09d0a84379eaa81f8,44.4971,us-west-2,preval-segdups-and-eh,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-07-02T17:57:32Z,4.62,13.2,15.6,70,5.833,1120.0,51.691,1068.309,4.62
29,i-00e48ee087d537f91,43.1535,us-west-2,illumina-94-c01,r7i.8xlarge,32,on-demand,,,2026-07-07T03:36:48Z,0.5,1.05,3.12,261,21.75,696.0,3.51,692.49,0.5
30,i-01bcd3eed23582b61,43.0782,us-west-2,illumina-94-c02,r7i.8xlarge,32,on-demand,,,2026-07-07T03:38:56Z,0.51,0.96,3.17,261,21.75,696.0,3.554,692.446,0.51
31,i-08c9bd2386a37ad5c,41.9082,us-west-2,preval-segdups-and-eh,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-02T18:19:15Z,5.2,13.6,16.6,66,5.5,1056.0,54.88,1001.12,5.2
32,i-02599e9ae3077b80c,40.6037,us-west-2,illumina-94-c01,m8idb.96xlarge,384,spot,i384nvme,mem384nvme,2026-07-07T14:02:50Z,10.71,30.83,36.2,45,3.75,1440.0,154.243,1285.757,10.71
33,i-01550a03f82f2debc,40.2515,us-west-2,illumina-94-c01,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-07T14:02:46Z,7.9,13.16,29.16,45,3.75,1440.0,113.721,1326.279,7.9
34,i-055255e20e6f2e0ff,40.2515,us-west-2,illumina-94-c01,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-07T14:02:47Z,7.93,25.04,29.54,44,3.667,1408.0,111.645,1296.355,7.93
35,i-06a86585113536834,37.3413,us-west-2,cmdcat-103-all-20260707,r8idb.96xlarge,384,spot,i384nvme,mem384nvme,2026-07-07T19:23:23Z,12.21,31.82,50.13,36,3.0,1152.0,140.635,1011.365,12.21
36,i-097ae087d643b18f3,36.983,us-west-2,preval-segdups-and-eh,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T13:09:14Z,22.49,34.13,35.15,42,3.5,1344.0,302.296,1041.704,22.49
37,i-05ac26d9af5908d2e,36.049,us-west-2,jemx3,r8id.metal-96xl,384,spot,i384nvme,price384nvme,2026-07-03T05:28:04Z,8.45,69.8,70.4,44,3.667,1408.0,118.944,1289.056,8.45
38,i-01a4c46317267aa0b,35.6951,us-west-2,ursa-ilmnqc-0703,r7i.4xlarge,16,on-demand,,,2026-07-03T13:50:36Z,0.59,1.38,7.88,405,33.75,540.0,3.182,536.818,0.59
39,i-0d75af02251c65b84,34.9056,us-west-2,untagged/unattributed,f2.6xlarge,24,on-demand,,,2026-07-02T09:27:12Z,4.57,50.96,99.81,461,38.417,922.0,42.158,879.842,4.57
40,i-0972556ef159eea26,34.87,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T18:31:56Z,6.94,26.64,32.44,39,3.25,1248.0,86.606,1161.394,6.94
41,i-0faea82bb0dd57be4,34.8639,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T18:31:56Z,6.65,29.01,31.92,39,3.25,1248.0,83.014,1164.986,6.65
42,i-043958ce0f94bc552,34.5051,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T18:31:56Z,6.76,26.05,33.37,39,3.25,1248.0,84.33,1163.67,6.76
43,i-08f3a111eba2c1dfa,34.4544,us-west-2,illumina-94-c02,i7ie.metal-48xl,192,spot,i192nvme,mem192nvme,2026-07-07T14:03:26Z,29.01,79.8,90.8,56,4.667,896.0,259.936,636.064,29.01
44,i-0419a8088905aad63,34.3084,us-west-2,illumina-94-c02,i7ie.metal-48xl,192,spot,i192nvme,bigmem192nvme,2026-07-07T14:03:34Z,29.35,77.8,88.4,56,4.667,896.0,262.96,633.04,29.35
45,i-000ded0cbf188ee4b,34.1942,us-west-2,preval-segdups-and-eh,m8idn.96xlarge,384,spot,i384nvme,mem384nvme,2026-07-02T13:09:17Z,22.18,36.34,36.71,38,3.167,1216.0,269.728,946.272,22.18
46,i-097a3ea319554f9c4,34.0658,us-west-2,illumina-94-c02,i7ie.metal-48xl,192,spot,i192nvme,mem192nvme,2026-07-07T14:03:28Z,30.25,53.2,61.0,55,4.583,880.0,266.208,613.792,30.25
47,i-00f0a3636d06c3cf1,33.7648,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-03T05:28:03Z,4.92,22.21,28.24,38,3.167,1216.0,59.807,1156.193,4.92
48,i-09e6488f2936505a4,33.5623,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T09:32:47Z,9.26,40.17,40.53,38,3.167,1216.0,112.548,1103.452,9.26
49,i-07da935fb15557038,33.2801,us-west-2,illumina-94-c02,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-07T14:03:31Z,35.86,80.6,92.2,54,4.5,864.0,309.845,554.155,35.86
50,i-03e55e9b3775ff5f3,33.2737,us-west-2,illumina-94-c02,i7ie.metal-48xl,192,spot,i192nvme,bigmem192nvme,2026-07-07T14:03:34Z,14.1,51.0,52.4,54,4.5,864.0,121.813,742.187,14.1
51,i-09fbf7c3e6149bb09,33.0333,us-west-2,illumina-94-c02,i7ie.metal-48xl,192,spot,i192nvme,mem192nvme,2026-07-07T14:03:26Z,29.0,76.2,81.4,54,4.5,864.0,250.576,613.424,29.0
52,i-094c2e5a283854e46,32.9541,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-03T05:28:06Z,3.76,21.87,32.53,37,3.083,1184.0,44.572,1139.428,3.76
53,i-013f01a2b0b6e07fa,32.8994,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-02T10:56:15Z,0.04,0.25,1.5,52,4.333,832.0,0.344,831.656,0.04
54,i-0c965aa3527c63925,32.7723,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-02T09:32:33Z,0.27,2.0,6.25,52,4.333,832.0,2.216,829.784,0.27
55,i-0504cae8310bae312,32.1276,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T18:31:56Z,7.61,32.29,35.23,36,3.0,1152.0,87.698,1064.302,7.61
56,i-088a7bd0e4f42695d,31.7711,us-west-2,untagged/unattributed,f2.6xlarge,24,on-demand,,,2026-07-03T09:46:46Z,0.09,0.24,2.73,171,14.25,342.0,0.309,341.691,0.09
57,i-03685d721dfcc17bf,31.3402,us-west-2,jemx3,i7ie.48xlarge,192,spot,i192hugenvme,price192hugenvme,2026-07-01T18:32:03Z,7.73,53.2,53.41,48,4.0,768.0,59.385,708.615,7.73
58,i-06b8bf78a9f073be0,30.6652,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T18:31:56Z,6.96,29.56,32.78,35,2.917,1120.0,77.97,1042.03,6.96
59,i-01c4becd7e4272030,30.6303,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T11:24:45Z,5.8,21.03,27.17,33,2.75,1056.0,61.202,994.798,5.8
60,i-005099e85867081aa,30.3314,us-west-2,dyec-costacct-005955,r7i.2xlarge,8,on-demand,,,2026-07-05T01:24:11Z,0.73,1.18,7.67,689,57.417,459.333,3.363,455.971,0.73
61,i-01a3abe5ac8f6b4ad,30.0706,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T19:08:06Z,3.44,9.03,9.77,34,2.833,1088.0,37.421,1050.579,3.44
62,i-0453760b2165bcf38,29.0375,us-west-2,preval-hybrid-set3,r7i.2xlarge,8,on-demand,,,2026-06-30T18:22:44Z,2.92,12.13,49.74,659,54.917,439.333,12.823,426.51,2.92
63,i-09f0e9d7e1f3de045,28.4956,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-04T02:45:18Z,10.82,41.14,43.44,31,2.583,992.0,107.355,884.645,10.82
64,i-063fba8956c0bb8f7,28.2528,us-west-2,illumina-94-c01,i7ie.metal-48xl,192,spot,i192nvme,mem192nvme,2026-07-07T14:03:01Z,22.87,79.6,96.0,46,3.833,736.0,168.288,567.712,22.87
65,i-08c6c36bc885fd8da,28.1197,us-west-2,illumina-94-c01,i7ie.metal-48xl,192,spot,i192nvme,mem192nvme,2026-07-07T14:03:01Z,25.81,74.0,79.8,46,3.833,736.0,189.952,546.048,25.81
66,i-0e5a48086f7d157ac,28.0987,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T19:08:08Z,2.38,10.0,10.23,32,2.667,1024.0,24.373,999.627,2.38
67,i-0f4f1f7f87f4e6ae8,28.0606,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T19:08:06Z,3.25,10.72,11.97,32,2.667,1024.0,33.25,990.75,3.25
68,i-0666c139c3accd5a1,28.0509,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T10:58:15Z,4.82,30.83,35.93,31,2.583,992.0,47.767,944.233,4.82
69,i-049024afb473a5519,28.006,us-west-2,illumina-94-c01,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-07T14:02:56Z,21.17,56.6,92.6,46,3.833,736.0,155.808,580.192,21.17
70,i-01db42c813d037c0e,27.9552,unknown,unknown,,0,,,,,,,,0,0.0,0.0,0,0.0,
71,i-0f990d7a37609ef06,27.6783,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T16:56:17Z,3.7,18.67,25.34,31,2.583,992.0,36.666,955.334,3.7
72,i-0b2396f22dba6d521,27.5363,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T19:08:08Z,2.33,8.46,10.18,32,2.667,1024.0,23.844,1000.156,2.33
73,i-0a0f1f64193df9d30,27.1572,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T19:08:06Z,2.3,7.36,14.05,31,2.583,992.0,22.842,969.158,2.3
74,i-022c5dd9a4db2a9d3,27.0814,us-west-2,illumina-94-c01,i7ie.48xlarge,192,spot,i192nvme,mem192nvme,2026-07-07T14:03:00Z,12.92,37.97,44.6,42,3.5,672.0,86.817,585.183,12.92
75,i-08947c710c89d9c83,26.8468,us-west-2,illumina-94-c01,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-07T14:02:56Z,26.19,77.4,80.6,44,3.667,704.0,184.379,519.621,26.19
76,i-021ad0f82f14d8814,26.4432,us-west-2,illumina-94-c01,i7ie.metal-48xl,192,spot,i192nvme,bigmem192nvme,2026-07-07T14:03:04Z,21.2,60.0,79.0,43,3.583,688.0,145.84,542.16,21.2
77,i-0e276912ed83d9fd3,26.0688,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-01T19:08:06Z,2.11,8.75,10.54,30,2.5,960.0,20.301,939.699,2.11
78,i-0005defc9d36b2e03,25.3848,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-03T06:00:05Z,0.57,0.69,0.71,28,2.333,896.0,5.146,890.854,0.57
79,i-045ef3bc664b95cb9,24.6214,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T16:57:50Z,1.78,9.09,26.02,28,2.333,896.0,15.988,880.012,1.78
80,i-08d4f18f7bf85d7fa,24.5164,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-04T03:06:26Z,4.13,20.24,23.81,27,2.25,864.0,35.699,828.301,4.13
81,i-0e68f3455df39c50d,24.311,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-03T06:18:10Z,1.79,12.16,21.54,27,2.25,864.0,15.48,848.52,1.79
82,i-042119ab472dbe9ce,23.9885,us-west-2,preval-segdups-and-eh,i7ie.metal-48xl,192,spot,i192nvme,mem192nvme,2026-07-02T13:09:48Z,62.48,96.6,96.6,38,3.167,608.0,379.872,228.128,62.48
83,i-03383016be5913c31,23.8304,us-west-2,illumina-94-c01,i7ie.48xlarge,192,spot,i192nvme,bigmem192nvme,2026-07-07T14:03:06Z,15.97,61.22,63.75,38,3.167,608.0,97.097,510.903,15.97
84,i-07309e9bc2bf4c9fa,23.161,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T17:13:20Z,0.58,0.69,0.71,26,2.167,832.0,4.843,827.157,0.58
85,i-056247101e07a23f4,23.0559,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-03T10:00:23Z,1.78,7.21,23.96,25,2.083,800.0,14.259,785.741,1.78
86,i-0b923a87775864b3c,22.8585,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T11:58:41Z,0.56,0.7,0.7,26,2.167,832.0,4.668,827.332,0.56
87,i-05b688b01230089dd,22.3598,us-west-2,jemx3,m8idn.96xlarge,384,spot,i384nvme,price384nvme,2026-07-02T17:06:37Z,0.58,0.68,0.7,25,2.083,800.0,4.621,795.379,0.58
88,i-0009c707869491d27,22.3423,us-west-2,jemx3,r8id.96xlarge,384,spot,i384nvme,price384nvme,2026-07-04T03:06:30Z,9.88,41.13,41.51,27,2.25,864.0,85.393,778.607,9.88
89,i-013ceabf53a67dc6a,22.3414,us-west-2,jemx3,m8idb.96xlarge,384,spot,i384nvme,price384nvme,2026-07-03T06:22:49Z,0.59,0.71,0.87,25,2.083,800.0,4.69,795.31,0.59
90,i-0ee3b05ff74876b6b,22.0474,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-07-01T18:57:14Z,19.73,96.4,96.6,36,3.0,576.0,113.632,462.368,19.73
91,i-003ae7e389554bbdb,21.895,us-west-2,preval-segdups-and-eh,i7ie.metal-48xl,192,spot,i192nvme,price192nvme,2026-07-02T13:09:45Z,71.29,96.4,96.6,35,2.917,560.0,399.221,160.779,71.29
92,i-035a24f859e7229c9,21.5629,us-west-2,jemx3,i7ie.48xlarge,192,spot,i192hugenvme,price192hugenvme,2026-07-02T04:04:23Z,4.58,22.01,37.08,32,2.667,512.0,23.441,488.559,4.58
93,i-050a09b3a5a4b2966,21.5629,us-west-2,jemx3,i7ie.48xlarge,192,spot,i192hugenvme,price192hugenvme,2026-07-02T04:04:23Z,4.18,21.81,29.88,32,2.667,512.0,21.403,490.597,4.18
94,i-0fa345052b09dfa12,21.5629,us-west-2,jemx3,i7ie.48xlarge,192,spot,i192hugenvme,price192hugenvme,2026-07-02T04:04:23Z,4.69,30.76,31.42,32,2.667,512.0,24.019,487.981,4.69
95,i-0c2758b0b70d5f155,20.847,us-west-2,preval-hybrid-set3,m8idn.96xlarge,384,spot,i384nvme,mem384nvme,2026-07-01T21:05:46Z,2.29,4.22,5.9,24,2.0,768.0,17.569,750.431,2.29
96,i-0c5e00b4a6c4111a0,20.6682,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-07-01T19:06:33Z,9.14,39.4,44.0,34,2.833,544.0,49.709,494.291,9.14
97,i-00c7b8c86a44529ac,20.528,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-07-02T04:04:25Z,4.96,25.4,56.2,33,2.75,528.0,26.192,501.808,4.96
98,i-031ed137d1b282bf3,20.528,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-07-02T04:04:25Z,5.21,25.6,26.2,34,2.833,544.0,28.341,515.659,5.21
99,i-0570578c91d115936,20.528,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-07-02T04:04:25Z,7.49,40.8,70.6,34,2.833,544.0,40.757,503.243,7.49
100,i-0669b69b5ddfed2cc,20.528,us-west-2,jemx3,i7ie.metal-48xl,192,spot,i192hugenvme,price192hugenvme,2026-07-02T04:04:25Z,4.5,25.4,46.0,33,2.75,528.0,23.76,504.24,4.5
