service,resource_type,region,arn,last_reported_at,source_index_region
ec2,ec2:key-pair,us-east-1,arn:aws:ec2:us-east-1:108782052779:key-pair/key-09703c841089b6e48,2026-07-10T16:52:50Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0eaa01c8abd5d541b,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-01043ece8d4e83565,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-077571f3c40759d56,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0b9deffe74f6a564d,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-02af127acf4bf12b3,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:dhcp-options,us-east-1,arn:aws:ec2:us-east-1:108782052779:dhcp-options/dopt-0e06ee39a57662693,2026-07-12T01:33:55Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0936d07200037e860,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-0a791bd426232def7,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0d18f34fe4a5dba11,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:route-table,us-east-1,arn:aws:ec2:us-east-1:108782052779:route-table/rtb-061493f2f62c6eff5,2026-07-15T18:07:19Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0e2a0962c51983f89,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group/sg-0dfa8994b41fd4c7a,2026-07-13T06:27:57Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-016831a708321f22c,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-02aca4e40c4f68557,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-091d51b9de91bdf43,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:route-table,us-east-1,arn:aws:ec2:us-east-1:108782052779:route-table/rtb-00239a3ae6d3f457e,2026-07-15T18:07:19Z,us-east-1
ec2,ec2:security-group,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group/sg-0f2b247fd8c390f1e,2026-07-13T06:27:57Z,us-east-1
ec2,ec2:volume,us-east-1,arn:aws:ec2:us-east-1:108782052779:volume/vol-0aa3f5a0f5cdca9a0,2026-07-12T22:23:01Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-038a53a8566a5e388,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:volume,us-east-1,arn:aws:ec2:us-east-1:108782052779:volume/vol-0f2da5c82d0de1378,2026-07-12T22:23:01Z,us-east-1
ec2,ec2:route-table,us-east-1,arn:aws:ec2:us-east-1:108782052779:route-table/rtb-01c60e48df4ec1192,2026-07-15T18:07:19Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0fcb21e98d6d04500,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0f42d4f0590928f34,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0b86b006a420c6200,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-05395958a77582f2b,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0e9a39ef9558fec8b,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-03a60bcf21f9cf37b,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:volume,us-east-1,arn:aws:ec2:us-east-1:108782052779:volume/vol-0f9efeb41e207d738,2026-07-12T22:23:01Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-07bea3c8d1a1e3703,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-08c280160fe93863c,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0cd5381c2090837c7,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:subnet,us-east-1,arn:aws:ec2:us-east-1:108782052779:subnet/subnet-095fbf0e56a705a6b,2026-07-15T16:37:46Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-020324fbe65047f4c,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:network-acl,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-acl/acl-09296f77bc40a8af3,2026-07-11T10:10:56Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-06e73bf21a00d71ee,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:elastic-ip,us-east-1,arn:aws:ec2:us-east-1:108782052779:elastic-ip/eipalloc-05ec07b8b3f8ab7a0,2026-07-12T00:53:44Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-01f19953a6605b020,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:volume,us-east-1,arn:aws:ec2:us-east-1:108782052779:volume/vol-09454929e2c583ae7,2026-07-12T22:23:01Z,us-east-1
ec2,ec2:vpc,us-east-1,arn:aws:ec2:us-east-1:108782052779:vpc/vpc-0d6a10a6e09fc5fe6,2026-07-15T23:04:36Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-08997318714e9b90d,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-03a4df6c0a8148735,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0c4cdfa1ed45c7d29,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-08f3c3d9fc586a237,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:network-interface,us-east-1,arn:aws:ec2:us-east-1:108782052779:network-interface/eni-0839ef0196ea9da07,2026-07-11T22:06:18Z,us-east-1
ec2,ec2:volume,us-east-1,arn:aws:ec2:us-east-1:108782052779:volume/vol-014b3f723fb89dc63,2026-07-12T22:23:01Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-01ad4150f514a0569,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:volume,us-east-1,arn:aws:ec2:us-east-1:108782052779:volume/vol-0dba752186e34e08c,2026-07-12T22:23:01Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-072f6ff8b00efd845,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-02f13b3e031720d84,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-05c9f1aec0706349c,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-04ea4431130dcbd09,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-05772c1fce4b3c741,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:volume,us-east-1,arn:aws:ec2:us-east-1:108782052779:volume/vol-00cbb7ba932dbd3a4,2026-07-12T22:23:01Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-01401e1da0422315a,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-00db2e965b3ac5079,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-088423652c3ab23e8,2026-07-14T08:53:29Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-00fd5c7e316cc7e46,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-07096a8a9180fe0c2,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-096091657d6f124cc,2026-07-14T21:35:42Z,us-east-1
ec2,ec2:security-group-rule,us-east-1,arn:aws:ec2:us-east-1:108782052779:security-group-rule/sgr-0536f9abd2690f0ed,2026-07-14T21:35:42Z,us-east-1
rds,rds:cluster-snapshot,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-snapshot:rds:auruse1-2026-07-13-07-34,2026-07-14T06:42:12Z,us-east-1
rds,rds:cluster-snapshot,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-snapshot:rds:dev-2026-07-14-03-59,2026-07-14T06:42:12Z,us-east-1
rds,rds:pg,us-east-1,arn:aws:rds:us-east-1:108782052779:pg:default.aurora-postgresql16,2026-07-13T19:56:33Z,us-east-1
rds,rds:pg,us-east-1,arn:aws:rds:us-east-1:108782052779:pg:default.aurora-postgresql17,2026-07-13T19:56:33Z,us-east-1
rds,rds:og,us-east-1,arn:aws:rds:us-east-1:108782052779:og:default:aurora-postgresql-17,2026-07-12T12:37:42Z,us-east-1
rds,rds:pg,us-east-1,arn:aws:rds:us-east-1:108782052779:pg:default.postgres16,2026-07-13T19:56:33Z,us-east-1
rds,rds:og,us-east-1,arn:aws:rds:us-east-1:108782052779:og:default:postgres-16,2026-07-12T12:37:42Z,us-east-1
rds,rds:cluster-snapshot,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-snapshot:marvain-john-major-dev-snapshot-auroracluster-ctvfy1tkxd1i,2026-07-14T06:42:12Z,us-east-1
rds,rds:cluster-snapshot,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-snapshot:rds:dev-2026-07-11-03-59,2026-07-12T02:59:12Z,us-east-1
rds,rds:cluster-snapshot,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-snapshot:rds:auruse1-2026-07-11-07-34,2026-07-12T02:59:12Z,us-east-1
rds,rds:cluster-pg,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-pg:default.aurora-postgresql17,2026-07-15T19:43:39Z,us-east-1
rds,rds:subgrp,us-east-1,arn:aws:rds:us-east-1:108782052779:subgrp:default,2026-07-14T17:12:21Z,us-east-1
rds,rds:cluster-pg,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-pg:default.aurora-postgresql16,2026-07-15T19:43:39Z,us-east-1
rds,rds:og,us-east-1,arn:aws:rds:us-east-1:108782052779:og:default:aurora-postgresql-16,2026-07-12T12:37:42Z,us-east-1
rds,rds:cluster-snapshot,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-snapshot:day-dr-drill-snap-use1-20260619,2026-07-14T06:42:12Z,us-east-1
rds,rds:cluster-snapshot,us-east-1,arn:aws:rds:us-east-1:108782052779:cluster-snapshot:dayhoff-dr-drill-use1-20260522-snap,2026-07-14T06:42:12Z,us-east-1
s3,s3:bucket,us-east-1,arn:aws:s3:::cdk-hnb659fds-assets-108782052779-us-east-1,2026-07-13T22:06:23Z,us-east-1
s3,s3:bucket,us-east-1,arn:aws:s3:::lsmc-twenty-prod-storage,2026-07-13T22:06:23Z,us-east-1
s3,s3:bucket,us-east-1,arn:aws:s3:::lsmc-bio-oauth-static-site-108782052779-us-east-1,2026-07-13T22:06:23Z,us-east-1
s3,s3:bucket,us-east-1,arn:aws:s3:::dayec-cur-108782052779-us-east-1,2026-07-13T22:06:23Z,us-east-1
s3,s3:storage-lens,us-east-1,arn:aws:s3:us-east-1:108782052779:storage-lens/default-account-dashboard,2026-07-15T07:27:52Z,us-east-1
elasticloadbalancing,elasticloadbalancing:targetgroup,us-east-1,arn:aws:elasticloadbalancing:us-east-1:108782052779:targetgroup/lsmc-pl-atlas/1aa76a2be9c0c091,2026-07-04T03:36:45Z,us-east-1
elasticloadbalancing,elasticloadbalancing:listener/net,us-east-1,arn:aws:elasticloadbalancing:us-east-1:108782052779:listener/net/lsmc-privatelink-nlb/4ead0a65121bd679/a631e0fd9bc693af,2026-06-23T05:07:20Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev5/qeo,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev5/zebra-day,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev5/qeo-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/ddev96/qeo,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/dev/ursa,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/joshdev/dewey-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/joshdev/atlas,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/inf/atlas,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev3/dewey-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev3/bloom-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev2/kahlo-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev2/dewey-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/inf/qeo,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev2/lsmc-oauth-login-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev3/atlas,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev6/qeo,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/joshdev/atlas-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev5/dewey-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev5/ursa,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev6/zebra-day-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/joshdev/qeo-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev2/dewey,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/cdk-hnb659fds-container-assets-108782052779-us-east-1,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev3/kahlo,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/joshdev/kahlo-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev2/ursa-buildcache,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/ddev96/lsmc-oauth-login,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev6/atlas,2026-07-12T08:25:51Z,us-east-1
ecr,ecr:repository,us-east-1,arn:aws:ecr:us-east-1:108782052779:repository/dayhoff/jemdev2/lsmc-oauth-login,2026-07-12T08:25:51Z,us-east-1
