service,kind,region,resource_id,arn,name,user_tag_count,untagged,user_tags,all_tags,state,volume_size_gib,start_time,associated,public_ip,size_gib,volume_type,attached_instance_ids,db_class,engine,allocated_storage_gib,cluster_id,lb_type,creation_date,has_lifecycle
EC2,elastic_ip,us-west-2,eipalloc-034fe6067ba066271,arn:aws:ec2:us-west-2:108782052779:elastic-ip/eipalloc-034fe6067ba066271,,0,True,,,,,,True,54.149.10.166,,,,,,,,,,
EC2,elastic_ip,us-west-2,eipalloc-058ea8eee7c041d8a,arn:aws:ec2:us-west-2:108782052779:elastic-ip/eipalloc-058ea8eee7c041d8a,,0,True,,,,,,True,54.149.212.201,,,,,,,,,,
EC2,elastic_ip,us-west-2,eipalloc-0eba4901f0a660eee,arn:aws:ec2:us-west-2:108782052779:elastic-ip/eipalloc-0eba4901f0a660eee,,0,True,,aws:cloudformation:logical-id=NatGatewayEIP;aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/pcluster-vpc-stack-2d/12bfabe0-ee8f-11ef-91a4-0a3f3530209f;aws:cloudformation:stack-name=pcluster-vpc-stack-2d,,,,True,54.68.16.111,,,,,,,,,,
VPC,nat_gateway,us-west-2,nat-00f3c26e43ede9b10,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00f3c26e43ede9b10,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/pcluster-vpc-stack-2d/12bfabe0-ee8f-11ef-91a4-0a3f3530209f;aws:cloudformation:stack-name=pcluster-vpc-stack-2d,available,,,,,,,,,,,,,,
VPC,nat_gateway,us-west-2,nat-0e8d177db491d4430,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-0e8d177db491d4430,,0,True,,aws:cloudformation:logical-id=NatGateway;aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/pcluster-vpc-stack-2c/55905610-7ac3-11f1-96fd-0a01964deb9d;aws:cloudformation:stack-name=pcluster-vpc-stack-2c,available,,,,,,,,,,,,,,
RDS,db_instance,us-west-2,day-ursa-rehearsal-20260710t0402z-writer,arn:aws:rds:us-west-2:108782052779:db:day-ursa-rehearsal-20260710t0402z-writer,day-ursa-rehearsal-20260710t0402z-writer,0,True,,,available,,,,,,,,db.t4g.medium,aurora-postgresql,1,day-ursa-rehearsal-20260710t0402z,,,
RDS,db_instance,us-west-2,labcore-dev-instance-1,arn:aws:rds:us-west-2:108782052779:db:labcore-dev-instance-1,labcore-dev-instance-1,0,True,,,available,,,,,,,,db.serverless,aurora-postgresql,1,labcore-dev,,,
ELBv2,load_balancer,us-west-2,lsmc-mvp-dev-alb,arn:aws:elasticloadbalancing:us-west-2:108782052779:loadbalancer/app/lsmc-mvp-dev-alb/e86b7b9ac25ed9d8,lsmc-mvp-dev-alb,0,True,,,active,,,,,,,,,,,,application,,
ELBv2,load_balancer,us-west-2,lsmc-mvp-v1-labcore-alb,arn:aws:elasticloadbalancing:us-west-2:108782052779:loadbalancer/app/lsmc-mvp-v1-labcore-alb/b4cb84436abceb38,lsmc-mvp-v1-labcore-alb,0,True,,,active,,,,,,,,,,,,application,,
S3,bucket,us-west-2,aquarium-tfstate-dev,arn:aws:s3:::aquarium-tfstate-dev,aquarium-tfstate-dev,0,True,,,,,,,,,,,,,,,,2026-04-27T16:20:11.000Z,False
S3,bucket,us-west-2,aquarium-tfstate-prod,arn:aws:s3:::aquarium-tfstate-prod,aquarium-tfstate-prod,0,True,,,,,,,,,,,,,,,,2026-04-27T16:20:46.000Z,False
S3,bucket,us-east-1,cdk-hnb659fds-assets-108782052779-us-east-1,arn:aws:s3:::cdk-hnb659fds-assets-108782052779-us-east-1,cdk-hnb659fds-assets-108782052779-us-east-1,0,True,,aws:cloudformation:logical-id=StagingBucket;aws:cloudformation:stack-id=arn:aws:cloudformation:us-east-1:108782052779:stack/CDKToolkit/07fd2860-fe22-11f0-801d-0e746ff49753;aws:cloudformation:stack-name=CDKToolkit,,,,,,,,,,,,,,2026-04-30T02:45:31.000Z,True
S3,bucket,us-west-2,cdk-hnb659fds-assets-108782052779-us-west-2,arn:aws:s3:::cdk-hnb659fds-assets-108782052779-us-west-2,cdk-hnb659fds-assets-108782052779-us-west-2,0,True,,aws:cloudformation:logical-id=StagingBucket;aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/CDKToolkit/cf6ca810-fde8-11f0-8dfc-02fdeda563e9;aws:cloudformation:stack-name=CDKToolkit,,,,,,,,,,,,,,2026-04-24T23:57:33.000Z,True
S3,bucket,us-east-2,cf-templates-pfrobpqqun1c-us-east-2,arn:aws:s3:::cf-templates-pfrobpqqun1c-us-east-2,cf-templates-pfrobpqqun1c-us-east-2,0,True,,,,,,,,,,,,,,,,2026-04-29T04:46:39.000Z,False
S3,bucket,us-east-1,dayec-cur-108782052779-us-east-1,arn:aws:s3:::dayec-cur-108782052779-us-east-1,dayec-cur-108782052779-us-east-1,0,True,,,,,,,,,,,,,,,,2026-07-05T09:36:18.000Z,False
S3,bucket,us-west-2,lsmc-atlas-demo,arn:aws:s3:::lsmc-atlas-demo,lsmc-atlas-demo,0,True,,,,,,,,,,,,,,,,2026-04-09T06:18:59.000Z,False
S3,bucket,us-west-2,lsmc-atlas-dev,arn:aws:s3:::lsmc-atlas-dev,lsmc-atlas-dev,0,True,,,,,,,,,,,,,,,,2026-04-24T20:19:12.000Z,False
S3,bucket,us-west-2,lsmc-aws-config-108782052779,arn:aws:s3:::lsmc-aws-config-108782052779,lsmc-aws-config-108782052779,0,True,,,,,,,,,,,,,,,,2026-07-02T10:03:44.000Z,False
S3,bucket,us-east-1,lsmc-bio-oauth-static-site-108782052779-us-east-1,arn:aws:s3:::lsmc-bio-oauth-static-site-108782052779-us-east-1,lsmc-bio-oauth-static-site-108782052779-us-east-1,0,True,,,,,,,,,,,,,,,,2026-05-31T20:15:11.000Z,False
S3,bucket,us-west-2,lsmc-datalake-raw-dev,arn:aws:s3:::lsmc-datalake-raw-dev,lsmc-datalake-raw-dev,0,True,,,,,,,,,,,,,,,,2026-06-19T17:56:17.000Z,False
S3,bucket,us-west-2,lsmc-docs-public-108782052779-us-west-2,arn:aws:s3:::lsmc-docs-public-108782052779-us-west-2,lsmc-docs-public-108782052779-us-west-2,0,True,,,,,,,,,,,,,,,,2026-07-08T14:34:23.000Z,False
S3,bucket,us-west-2,lsmc-healthomics-failiover,arn:aws:s3:::lsmc-healthomics-failiover,lsmc-healthomics-failiover,0,True,,,,,,,,,,,,,,,,2026-04-26T03:04:41.000Z,False
S3,bucket,us-west-2,lsmc-healthomics-results,arn:aws:s3:::lsmc-healthomics-results,lsmc-healthomics-results,0,True,,,,,,,,,,,,,,,,2026-04-26T15:44:39.000Z,False
S3,bucket,us-west-2,lsmc-illumina-public-data,arn:aws:s3:::lsmc-illumina-public-data,lsmc-illumina-public-data,0,True,,,,,,,,,,,,,,,,2026-04-24T17:51:33.000Z,False
S3,bucket,us-west-2,lsmc-meridian-governance-registry,arn:aws:s3:::lsmc-meridian-governance-registry,lsmc-meridian-governance-registry,0,True,,,,,,,,,,,,,,,,2026-04-28T04:56:01.000Z,False
S3,bucket,us-west-2,lsmc-mvp-v1-event-sink-raw-108782052779-us-west-2,arn:aws:s3:::lsmc-mvp-v1-event-sink-raw-108782052779-us-west-2,lsmc-mvp-v1-event-sink-raw-108782052779-us-west-2,0,True,,,,,,,,,,,,,,,,2026-07-01T19:08:26.000Z,True
S3,bucket,us-west-2,lsmc-mvp-v1-labcore-ui-108782052779-us-west-2,arn:aws:s3:::lsmc-mvp-v1-labcore-ui-108782052779-us-west-2,lsmc-mvp-v1-labcore-ui-108782052779-us-west-2,0,True,,,,,,,,,,,,,,,,2026-07-06T17:36:40.000Z,False
S3,bucket,us-west-2,lsmc-public-ont-data,arn:aws:s3:::lsmc-public-ont-data,lsmc-public-ont-data,0,True,,,,,,,,,,,,,,,,2026-04-26T12:30:48.000Z,False
S3,bucket,us-east-1,lsmc-twenty-prod-storage,arn:aws:s3:::lsmc-twenty-prod-storage,lsmc-twenty-prod-storage,0,True,,,,,,,,,,,,,,,,2026-06-11T01:17:19.000Z,False
S3,bucket,us-west-2,lsmc-ursa-customers-usw2,arn:aws:s3:::lsmc-ursa-customers-usw2,lsmc-ursa-customers-usw2,0,True,,,,,,,,,,,,,,,,2026-04-24T16:53:59.000Z,False
S3,bucket,us-west-2,parallelcluster-4da281c1dc024f1c-v1-do-not-delete,arn:aws:s3:::parallelcluster-4da281c1dc024f1c-v1-do-not-delete,parallelcluster-4da281c1dc024f1c-v1-do-not-delete,0,True,,,,,,,,,,,,,,,,2026-04-27T19:48:23.000Z,False
S3,bucket,eu-central-1,parallelcluster-730cb6d53cf2deec-v1-do-not-delete,arn:aws:s3:::parallelcluster-730cb6d53cf2deec-v1-do-not-delete,parallelcluster-730cb6d53cf2deec-v1-do-not-delete,0,True,,,,,,,,,,,,,,,,2026-04-29T21:20:38.000Z,False
S3,bucket,ap-south-1,parallelcluster-e781c59d26140bab-v1-do-not-delete,arn:aws:s3:::parallelcluster-e781c59d26140bab-v1-do-not-delete,parallelcluster-e781c59d26140bab-v1-do-not-delete,0,True,,,,,,,,,,,,,,,,2026-04-21T22:58:46.000Z,False
S3,bucket,us-west-2,terrarium-tfstate-dev,arn:aws:s3:::terrarium-tfstate-dev,terrarium-tfstate-dev,0,True,,,,,,,,,,,,,,,,2026-04-27T14:15:09.000Z,False
S3,bucket,us-west-2,terrarium-tfstate-prod,arn:aws:s3:::terrarium-tfstate-prod,terrarium-tfstate-prod,0,True,,,,,,,,,,,,,,,,2026-04-27T14:16:16.000Z,False
