ANALYSIS_UNIT_UID	SEQUENCING_INPUT_UID	ROLE	INPUT_ORDINAL
BJUICEPREVAL-COMPLETE-HG006-HIOMRS	HG006-ONT-M-BNQ-149-M-BGS-1BW	lr	4
BJUICEPREVAL-COMPLETE-HG007-HIOMRS	HG007-ILMN-M-BNQ-G9	sr	1
BJUICEPREVAL-COMPLETE-HG007-HIOMRS	HG007-ONT-M-BNQ-157-M-BGS-190	lr	2
BJUICEPREVAL-COMPLETE-HG007-HIOMRS	HG007-ONT-M-BNQ-157-M-BGS-1AY	lr	3
BJUICEPREVAL-COMPLETE-HG007-HIOMRS	HG007-ONT-M-BNQ-157-M-BGS-1BW	lr	4
BJUICEPREVAL-COMPLETE-NA05067-HIOMRS	NA05067-ILMN-M-BNQ-H7	sr	1
BJUICEPREVAL-COMPLETE-NA05067-HIOMRS	NA05067-ONT-M-BNQ-165-M-BGS-YN	lr	2
BJUICEPREVAL-COMPLETE-NA05067-HIOMRS	NA05067-ONT-M-BNQ-165-M-BGS-ZK	lr	3
BJUICEPREVAL-COMPLETE-NA05067-HIOMRS	NA05067-ONT-M-BNQ-165-M-BGS-10J	lr	4
BJUICEPREVAL-COMPLETE-NA10798-HIOMRS	NA10798-ILMN-M-BNQ-J5	sr	1
BJUICEPREVAL-COMPLETE-NA10798-HIOMRS	NA10798-ONT-M-BNQ-173-M-BGS-YN	lr	2
BJUICEPREVAL-COMPLETE-NA10798-HIOMRS	NA10798-ONT-M-BNQ-173-M-BGS-ZK	lr	3
BJUICEPREVAL-COMPLETE-NA10798-HIOMRS	NA10798-ONT-M-BNQ-173-M-BGS-10J	lr	4
BJUICEPREVAL-COMPLETE-NA13189-HIOMRS	NA13189-ILMN-M-BNQ-K3	sr	1
BJUICEPREVAL-COMPLETE-NA13189-HIOMRS	NA13189-ONT-M-BNQ-181-M-BGS-YN	lr	2
BJUICEPREVAL-COMPLETE-NA13189-HIOMRS	NA13189-ONT-M-BNQ-181-M-BGS-ZK	lr	3
BJUICEPREVAL-COMPLETE-NA13189-HIOMRS	NA13189-ONT-M-BNQ-181-M-BGS-10J	lr	4
BJUICEPREVAL-COMPLETE-NA14732-HIOMRS	NA14732-ILMN-M-BNQ-M1	sr	1
BJUICEPREVAL-COMPLETE-NA14732-HIOMRS	NA14732-ONT-M-BNQ-19Z-M-BGS-YN	lr	2
BJUICEPREVAL-COMPLETE-NA14732-HIOMRS	NA14732-ONT-M-BNQ-19Z-M-BGS-ZK	lr	3
BJUICEPREVAL-COMPLETE-NA14732-HIOMRS	NA14732-ONT-M-BNQ-19Z-M-BGS-10J	lr	4
BJUICEPREVAL-COMPLETE-NA14733-HIOMRS	NA14733-ILMN-M-BNQ-NZ	sr	1
BJUICEPREVAL-COMPLETE-NA14733-HIOMRS	NA14733-ONT-M-BNQ-1AX-M-BGS-11G	lr	2
BJUICEPREVAL-COMPLETE-NA14733-HIOMRS	NA14733-ONT-M-BNQ-1AX-M-BGS-12E	lr	3
BJUICEPREVAL-COMPLETE-NA14733-HIOMRS	NA14733-ONT-M-BNQ-1AX-M-BGS-13C	lr	4
BJUICEPREVAL-COMPLETE-NA15603-HIOMRS	NA15603-ILMN-M-BNQ-PX	sr	1
BJUICEPREVAL-COMPLETE-NA15603-HIOMRS	NA15603-ONT-M-BNQ-1BV-M-BGS-11G	lr	2
BJUICEPREVAL-COMPLETE-NA15603-HIOMRS	NA15603-ONT-M-BNQ-1BV-M-BGS-12E	lr	3
BJUICEPREVAL-COMPLETE-NA15603-HIOMRS	NA15603-ONT-M-BNQ-1BV-M-BGS-13C	lr	4
BJUICEPREVAL-COMPLETE-NA15848-HIOMRS	NA15848-ILMN-M-BNQ-QV	sr	1
BJUICEPREVAL-COMPLETE-NA15848-HIOMRS	NA15848-ONT-M-BNQ-1CS-M-BGS-11G	lr	2
BJUICEPREVAL-COMPLETE-NA15848-HIOMRS	NA15848-ONT-M-BNQ-1CS-M-BGS-12E	lr	3
BJUICEPREVAL-COMPLETE-NA15848-HIOMRS	NA15848-ONT-M-BNQ-1CS-M-BGS-13C	lr	4
BJUICEPREVAL-COMPLETE-NA15849-HIOMRS	NA15849-ILMN-M-BNQ-RS	sr	1
BJUICEPREVAL-COMPLETE-NA15849-HIOMRS	NA15849-ONT-M-BNQ-1DQ-M-BGS-11G	lr	2
BJUICEPREVAL-COMPLETE-NA15849-HIOMRS	NA15849-ONT-M-BNQ-1DQ-M-BGS-12E	lr	3
BJUICEPREVAL-COMPLETE-NA15849-HIOMRS	NA15849-ONT-M-BNQ-1DQ-M-BGS-13C	lr	4
BJUICEPREVAL-COMPLETE-NA19235-HIOMRS	NA19235-ILMN-M-BNQ-SQ	sr	1
BJUICEPREVAL-COMPLETE-NA19235-HIOMRS	NA19235-ONT-M-BNQ-1EN-M-BGS-14A	lr	2
BJUICEPREVAL-COMPLETE-NA19235-HIOMRS	NA19235-ONT-M-BNQ-1EN-M-BGS-158	lr	3
BJUICEPREVAL-COMPLETE-NA19235-HIOMRS	NA19235-ONT-M-BNQ-1EN-M-BGS-166	lr	4
BJUICEPREVAL-COMPLETE-NA20027-HIOMRS	NA20027-ILMN-M-BNQ-TN	sr	1
BJUICEPREVAL-COMPLETE-NA20027-HIOMRS	NA20027-ONT-M-BNQ-1FK-M-BGS-14A	lr	2
BJUICEPREVAL-COMPLETE-NA20027-HIOMRS	NA20027-ONT-M-BNQ-1FK-M-BGS-158	lr	3
BJUICEPREVAL-COMPLETE-NA20027-HIOMRS	NA20027-ONT-M-BNQ-1FK-M-BGS-166	lr	4
BJUICEPREVAL-COMPLETE-NA20230-HIOMRS	NA20230-ILMN-M-BNQ-VK	sr	1
BJUICEPREVAL-COMPLETE-NA20230-HIOMRS	NA20230-ONT-M-BNQ-1GG-M-BGS-14A	lr	2
BJUICEPREVAL-COMPLETE-NA20230-HIOMRS	NA20230-ONT-M-BNQ-1GG-M-BGS-158	lr	3
BJUICEPREVAL-COMPLETE-NA20230-HIOMRS	NA20230-ONT-M-BNQ-1GG-M-BGS-166	lr	4
BJUICEPREVAL-COMPLETE-NA20775-HIOMRS	NA20775-ILMN-M-BNQ-WH	sr	1
BJUICEPREVAL-COMPLETE-NA20775-HIOMRS	NA20775-ONT-M-BNQ-1HE-M-BGS-14A	lr	2
BJUICEPREVAL-COMPLETE-NA20775-HIOMRS	NA20775-ONT-M-BNQ-1HE-M-BGS-158	lr	3
BJUICEPREVAL-COMPLETE-NA20775-HIOMRS	NA20775-ONT-M-BNQ-1HE-M-BGS-166	lr	4
BJUICEPREVAL-COMPLETE-NA23687-HIOMRS	NA23687-ILMN-M-BNQ-XF	sr	1
BJUICEPREVAL-COMPLETE-NA23687-HIOMRS	NA23687-ONT-M-BNQ-1JC-M-BGS-174	lr	2
BJUICEPREVAL-COMPLETE-NA23687-HIOMRS	NA23687-ONT-M-BNQ-1JC-M-BGS-182	lr	3
BJUICEPREVAL-COMPLETE-NA23687-HIOMRS	NA23687-ONT-M-BNQ-1JC-M-BGS-1CT	lr	4
