instance_id,host,partition,instance_type,az,state,start,start_source,spot_log_time,end,hours,logged_price_per_hr,avg_price_per_hr,cost_usd,close_source,price_source
i-0742a3bacb747aee0,i128-dy-bigmem128-4,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T17:48:43+00:00,cloudtrail_runinstances,2026-07-08T17:50:11+00:00,2026-07-08T17:59:03+00:00,0.17222222222222222,3.063,3.0630000000000006,0.5275166666666667,cloudtrail_terminate,history
i-06c93063682412df0,i128-dy-bigmem128-4,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:07:20+00:00,cloudtrail_runinstances,2026-07-08T18:08:55+00:00,2026-07-08T18:17:03+00:00,0.16194444444444445,3.063,3.063,0.49603583333333334,cloudtrail_terminate,history
i-00a078c74714c8e86,i128-dy-bigmem128-4,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:29:30+00:00,ec2_launch_time,2026-07-08T18:30:58+00:00,2026-07-08T18:39:03+00:00,0.15916666666666668,3.063,3.063,0.48752750000000006,ec2_state_transition,history
i-04820f1916ace2085,i128-dy-bigmem128-5,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T15:46:15+00:00,cloudtrail_runinstances,2026-07-08T15:47:47+00:00,2026-07-08T15:59:04+00:00,0.2136111111111111,3.063,3.063,0.6542908333333334,cloudtrail_terminate,history
i-0d3f4729f9ab9f62c,i128-dy-bigmem128-5,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T17:48:43+00:00,cloudtrail_runinstances,2026-07-08T17:50:18+00:00,2026-07-08T17:59:03+00:00,0.17222222222222222,3.063,3.0630000000000006,0.5275166666666667,cloudtrail_terminate,history
i-096bb915e3671739a,i128-dy-bigmem128-5,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:07:48+00:00,cloudtrail_runinstances,2026-07-08T18:09:15+00:00,2026-07-08T18:18:03+00:00,0.17083333333333334,3.063,3.063,0.5232625000000001,cloudtrail_terminate,history
i-0692f2291a8ae76b3,i128-dy-bigmem128-5,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:29:30+00:00,ec2_launch_time,2026-07-08T18:31:00+00:00,2026-07-08T18:39:03+00:00,0.15916666666666668,3.063,3.063,0.48752750000000006,ec2_state_transition,history
i-0f334bf06e04d5bc3,i128-dy-bigmem128-6,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T15:46:15+00:00,cloudtrail_runinstances,2026-07-08T15:47:37+00:00,2026-07-08T15:59:04+00:00,0.2136111111111111,3.063,3.063,0.6542908333333334,cloudtrail_terminate,history
i-0406126ca8006c2b3,i128-dy-bigmem128-6,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T17:48:43+00:00,cloudtrail_runinstances,2026-07-08T17:50:18+00:00,2026-07-08T17:59:03+00:00,0.17222222222222222,3.063,3.0630000000000006,0.5275166666666667,cloudtrail_terminate,history
i-01b81252749ac0e3d,i128-dy-bigmem128-6,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:07:48+00:00,cloudtrail_runinstances,2026-07-08T18:09:24+00:00,2026-07-08T18:18:03+00:00,0.17083333333333334,3.063,3.063,0.5232625000000001,cloudtrail_terminate,history
i-04fd989e7fbe297b4,i128-dy-bigmem128-6,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T18:29:30+00:00,ec2_launch_time,2026-07-08T18:31:06+00:00,2026-07-08T18:40:03+00:00,0.17583333333333334,3.063,3.063,0.5385775,ec2_state_transition,history
i-028bde0c1cd59af8a,i128-dy-bigmem128-7,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T15:46:15+00:00,cloudtrail_runinstances,2026-07-08T15:47:33+00:00,2026-07-08T15:59:04+00:00,0.2136111111111111,3.063,3.063,0.6542908333333334,cloudtrail_terminate,history
i-0f2fa7609d1124aea,i128-dy-bigmem128-8,i128,r6id.metal,us-west-2d,terminated,2026-07-08T15:46:50+00:00,cloudtrail_runinstances,2026-07-08T15:48:38+00:00,2026-07-08T15:59:04+00:00,0.2038888888888889,2.858,2.8580000000000005,0.5827144444444445,cloudtrail_terminate,history
i-0ff413f62559a560f,i128-dy-bigmem128-9,i128,r8i.32xlarge,us-west-2d,terminated,2026-07-08T15:46:48+00:00,cloudtrail_runinstances,2026-07-08T15:48:13+00:00,2026-07-08T15:59:04+00:00,0.20444444444444446,3.063,3.063,0.6262133333333334,cloudtrail_terminate,history
i-0b70efc1ac453a14e,i128-dy-price128-1,i128,c6i.metal,us-west-2d,terminated,2026-07-08T15:29:42+00:00,cloudtrail_runinstances,2026-07-08T15:31:17+00:00,2026-07-08T16:04:03+00:00,0.5725,1.4199,1.4199,0.8128927499999999,cloudtrail_terminate,history
i-09ffba0a5c58e545b,i128-dy-price128-1,i128,c8i.32xlarge,us-west-2d,terminated,2026-07-08T17:34:49+00:00,cloudtrail_runinstances,2026-07-08T17:36:12+00:00,2026-07-08T17:50:03+00:00,0.2538888888888889,1.7649,1.7649,0.4480885,cloudtrail_terminate,history
i-0815c1e92c706ba8c,i128-dy-price128-1,i128,c8i.32xlarge,us-west-2d,terminated,2026-07-08T18:29:02+00:00,ec2_launch_time,2026-07-08T18:30:35+00:00,2026-07-08T18:40:03+00:00,0.1836111111111111,1.7649,1.7648999999999997,0.32405524999999996,ec2_state_transition,history
i-0aee2945434dec696,i128-dy-price128-2,i128,c8i.32xlarge,us-west-2d,terminated,2026-07-08T15:40:03+00:00,cloudtrail_runinstances,2026-07-08T15:41:34+00:00,2026-07-08T15:59:04+00:00,0.3169444444444444,1.7664,1.7664,0.5598506666666666,cloudtrail_terminate,history
i-0a848c2b8d96f0840,i128-dy-price128-3,i128,c8i.32xlarge,us-west-2d,terminated,2026-07-08T15:42:06+00:00,cloudtrail_runinstances,2026-07-08T15:43:31+00:00,2026-07-08T16:03:03+00:00,0.3491666666666667,1.7664,1.7664,0.616768,cloudtrail_terminate,history
i-04a2b378fbd72574e,i128-dy-price128-4,i128,c8i.32xlarge,us-west-2d,terminated,2026-07-08T15:42:06+00:00,cloudtrail_runinstances,2026-07-08T15:43:34+00:00,2026-07-08T16:03:03+00:00,0.3491666666666667,1.7664,1.7664,0.616768,cloudtrail_terminate,history
i-048a831de2064b1dc,i128-dy-price128-5,i128,c8i.32xlarge,us-west-2d,terminated,2026-07-08T15:42:38+00:00,cloudtrail_runinstances,2026-07-08T15:44:02+00:00,2026-07-08T15:51:03+00:00,0.14027777777777778,1.7664,1.7664,0.24778666666666666,cloudtrail_terminate,history
i-019530126f81ec840,i192-dy-mem192-1,i192,m7i.metal-48xl,us-west-2d,terminated,2026-07-08T15:51:56+00:00,cloudtrail_runinstances,2026-07-08T15:53:37+00:00,2026-07-08T16:02:03+00:00,0.1686111111111111,2.0479,2.0479,0.3452986944444444,cloudtrail_terminate,history
i-0b423779b7dc74006,i192-dy-mem192-2,i192,m7i.metal-48xl,us-west-2d,terminated,2026-07-08T15:51:58+00:00,cloudtrail_runinstances,2026-07-08T15:53:43+00:00,2026-07-08T16:02:03+00:00,0.16805555555555557,2.0479,2.0479,0.3441609722222222,cloudtrail_terminate,history
i-028c7ee6d0ca499ae,i192-dy-mem192-3,i192,m7i.metal-48xl,us-west-2d,terminated,2026-07-08T15:51:58+00:00,cloudtrail_runinstances,2026-07-08T15:53:46+00:00,2026-07-08T16:02:03+00:00,0.16805555555555557,2.0479,2.0479,0.3441609722222222,cloudtrail_terminate,history
i-055787d12c8b8dd1f,i192-dy-price192-1,i192,m7i.metal-48xl,us-west-2d,terminated,2026-07-08T15:35:55+00:00,cloudtrail_runinstances,2026-07-08T15:37:42+00:00,2026-07-08T15:58:03+00:00,0.3688888888888889,2.0479,2.0479,0.7554475555555554,cloudtrail_terminate,history
i-01e19ecd0ca95ca91,i192-dy-price192-1,i192,m7i.metal-48xl,us-west-2d,terminated,2026-07-08T17:29:03+00:00,cloudtrail_runinstances,2026-07-08T17:30:59+00:00,2026-07-08T17:40:03+00:00,0.18333333333333332,2.0247,2.0247,0.371195,cloudtrail_terminate,history
i-06057ebf1b27d4f40,i192-dy-price192-2,i192,m7i.metal-48xl,us-west-2d,terminated,2026-07-08T15:35:56+00:00,cloudtrail_runinstances,2026-07-08T15:37:46+00:00,2026-07-08T15:48:03+00:00,0.20194444444444445,2.0479,2.0479,0.4135620277777778,cloudtrail_terminate,history
i-040bb81d9cd6eee5c,i192-dy-price192-3,i192,m7i.metal-48xl,us-west-2d,terminated,2026-07-08T15:37:27+00:00,cloudtrail_runinstances,2026-07-08T15:39:11+00:00,2026-07-08T15:48:03+00:00,0.17666666666666667,2.0479,2.0479,0.3617956666666666,cloudtrail_terminate,history
i-05f94baf43c54eea3,i192nvme-dy-price192nvme-1,i192nvme,i7i.48xlarge,us-west-2d,running,2026-07-08T17:19:14+00:00,ec2_launch_time,2026-07-08T17:21:15+00:00,2026-07-08T19:30:43+00:00,2.191388888888889,2.3007,2.3007,5.041728416666667,open_now,history
