time_start,time_end,estimated,amount_usd,tag_aws_parallelcluster_project,tag_aws_parallelcluster_project_value
2026-04-01,2026-05-01,False,143.1968127244,aws-parallelcluster-project$mk-test-202604-cluster,mk-test-202604-cluster
2026-04-01,2026-05-01,False,32.7451569968,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-04-01,2026-05-01,False,33.5036086645,aws-parallelcluster-project$mkdec219,mkdec219
2026-04-01,2026-05-01,False,167.4104765831,aws-parallelcluster-project$test-del-me,test-del-me
2026-05-01,2026-06-01,False,9091.4388359156,aws-parallelcluster-project$,
2026-05-01,2026-06-01,False,648.5846677745,aws-parallelcluster-project$XL-pilot,XL-pilot
2026-05-01,2026-06-01,False,4.6674282895,aws-parallelcluster-project$XLpilot,XLpilot
2026-05-01,2026-06-01,False,87.4345512797,aws-parallelcluster-project$and-again,and-again
2026-05-01,2026-06-01,False,629.3406512312,aws-parallelcluster-project$at-sanity,at-sanity
2026-05-01,2026-06-01,False,89.1435537543,aws-parallelcluster-project$blahab44,blahab44
2026-05-01,2026-06-01,False,0.0002945726,aws-parallelcluster-project$bucketsamok,bucketsamok
2026-05-01,2026-06-01,False,44.9115,aws-parallelcluster-project$da-us-west-2d-XL-pilot,da-us-west-2d-XL-pilot
2026-05-01,2026-06-01,False,327.2992606234,aws-parallelcluster-project$da-us-west-2d-fk-260509-use,da-us-west-2d-fk-260509-use
2026-05-01,2026-06-01,False,1.9953046388,aws-parallelcluster-project$da-us-west-2d-fk-260509-use daylily-global,da-us-west-2d-fk-260509-use daylily-global
2026-05-01,2026-06-01,False,33.6799999968,aws-parallelcluster-project$day-test-uswest2d,day-test-uswest2d
2026-05-01,2026-06-01,False,1.1695257,aws-parallelcluster-project$dayhoff-full-gui,dayhoff-full-gui
2026-05-01,2026-06-01,False,127.4789991123,aws-parallelcluster-project$dayhoff-production-server,dayhoff-production-server
2026-05-01,2026-06-01,False,96.9647840438,aws-parallelcluster-project$daylily-1773057991,daylily-1773057991
2026-05-01,2026-06-01,False,130.646022519,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-05-01,2026-06-01,False,22.6138599602,aws-parallelcluster-project$daylily-demo-cluster,daylily-demo-cluster
2026-05-01,2026-06-01,False,112.654192997,aws-parallelcluster-project$daylily-global,daylily-global
2026-05-01,2026-06-01,False,5.7734,aws-parallelcluster-project$daylily-global may26-d,daylily-global may26-d
2026-05-01,2026-06-01,False,442.7705843874,aws-parallelcluster-project$daylily-omics-analysis-references,daylily-omics-analysis-references
2026-05-01,2026-06-01,False,0.5346094835,aws-parallelcluster-project$dayoa-analysis-results,dayoa-analysis-results
2026-05-01,2026-06-01,False,37.4126991762,aws-parallelcluster-project$dayoa-control-data,dayoa-control-data
2026-05-01,2026-06-01,False,2.6567949904,aws-parallelcluster-project$dayoa-references,dayoa-references
2026-05-01,2026-06-01,False,0.3523016234,aws-parallelcluster-project$dayoa-runtime-assets,dayoa-runtime-assets
2026-05-01,2026-06-01,False,40.2015524453,aws-parallelcluster-project$dayoa-staging,dayoa-staging
2026-05-01,2026-06-01,False,0.0,aws-parallelcluster-project$dec215-0426,dec215-0426
2026-05-01,2026-06-01,False,566.1391136468,aws-parallelcluster-project$dec219-cluster,dec219-cluster
2026-05-01,2026-06-01,False,0.0123522277,aws-parallelcluster-project$dewey-production,dewey-production
2026-05-01,2026-06-01,False,994.4869007998,aws-parallelcluster-project$dra-enabled,dra-enabled
2026-05-01,2026-06-01,False,0.1023229646,aws-parallelcluster-project$dra-test2,dra-test2
2026-05-01,2026-06-01,False,28.8278740925,aws-parallelcluster-project$dra-test4,dra-test4
2026-05-01,2026-06-01,False,50.2184075094,aws-parallelcluster-project$dyec-515,dyec-515
2026-05-01,2026-06-01,False,464.9660565008,aws-parallelcluster-project$dyec-test,dyec-test
2026-05-01,2026-06-01,False,1047.0672665924,aws-parallelcluster-project$fk-260509-use,fk-260509-use
2026-05-01,2026-06-01,False,178.0167763271,aws-parallelcluster-project$fork-fixer,fork-fixer
2026-05-01,2026-06-01,False,144.6789347809,aws-parallelcluster-project$goodole3,goodole3
2026-05-01,2026-06-01,False,1602.7943220906,aws-parallelcluster-project$hyb-hg003,hyb-hg003
2026-05-01,2026-06-01,False,809.338204127,aws-parallelcluster-project$ifx-go,ifx-go
2026-05-01,2026-06-01,False,0.3245564892,aws-parallelcluster-project$jem-bucktst1,jem-bucktst1
2026-05-01,2026-06-01,False,0.3168990601,aws-parallelcluster-project$jem-bucktst2,jem-bucktst2
2026-05-01,2026-06-01,False,41.5523436346,aws-parallelcluster-project$jem-bucktst3,jem-bucktst3
2026-05-01,2026-06-01,False,2.023701266,aws-parallelcluster-project$jemx2,jemx2
2026-05-01,2026-06-01,False,200.6744907908,aws-parallelcluster-project$lsbio-fork-260509-124701,lsbio-fork-260509-124701
2026-05-01,2026-06-01,False,180.6633933265,aws-parallelcluster-project$majors-cluster,majors-cluster
2026-05-01,2026-06-01,False,3208.019923604,aws-parallelcluster-project$may26-d,may26-d
2026-05-01,2026-06-01,False,0.0,aws-parallelcluster-project$mk-gotime,mk-gotime
2026-05-01,2026-06-01,False,567.1078610703,aws-parallelcluster-project$mk-gotime3,mk-gotime3
2026-05-01,2026-06-01,False,0.0,aws-parallelcluster-project$mk426dec215,mk426dec215
2026-05-01,2026-06-01,False,0.0,aws-parallelcluster-project$mkdec219,mkdec219
2026-05-01,2026-06-01,False,474.7814166674,aws-parallelcluster-project$pilot-largecluster,pilot-largecluster
2026-05-01,2026-06-01,False,390.5892564186,aws-parallelcluster-project$pilot-mk,pilot-mk
2026-05-01,2026-06-01,False,127.0684806665,aws-parallelcluster-project$pilot-xfer,pilot-xfer
2026-05-01,2026-06-01,False,660.6134495791,aws-parallelcluster-project$raw-sequence-data,raw-sequence-data
2026-05-01,2026-06-01,False,5.8399172406,aws-parallelcluster-project$splitdra-ref-20260526,splitdra-ref-20260526
2026-05-01,2026-06-01,False,2.939505901,aws-parallelcluster-project$splitdra-smoke-20260526,splitdra-smoke-20260526
2026-05-01,2026-06-01,False,0.260619677,aws-parallelcluster-project$test-clstr,test-clstr
2026-05-01,2026-06-01,False,33.6799999968,aws-parallelcluster-project$test-del-me,test-del-me
2026-05-01,2026-06-01,False,30.4479473597,aws-parallelcluster-project$tstClu-4-1-1c,tstClu-4-1-1c
2026-05-01,2026-06-01,False,16.3482630598,aws-parallelcluster-project$tstVer4-1-1,tstVer4-1-1
2026-05-01,2026-06-01,False,137.6874471528,aws-parallelcluster-project$tstVer4-1-1b,tstVer4-1-1b
2026-05-01,2026-06-01,False,0.7870721838,aws-parallelcluster-project$unknown-project-invalid-project,unknown-project-invalid-project
2026-05-01,2026-06-01,False,49.0874036393,aws-parallelcluster-project$xfer-cluster,xfer-cluster
2026-05-01,2026-06-01,False,29.0336754116,aws-parallelcluster-project$y260609-frz,y260609-frz
2026-06-01,2026-06-14,True,5040.8293114511,aws-parallelcluster-project$,
2026-06-01,2026-06-14,True,682.7855678304,aws-parallelcluster-project$BigB-4-mk,BigB-4-mk
2026-06-01,2026-06-14,True,14.5946666736,aws-parallelcluster-project$day-test-uswest2d,day-test-uswest2d
2026-06-01,2026-06-14,True,192.4924160199,aws-parallelcluster-project$dayhoff-production-server,dayhoff-production-server
2026-06-01,2026-06-14,True,14.5946666736,aws-parallelcluster-project$daylily-1773059211,daylily-1773059211
2026-06-01,2026-06-14,True,735.3593854186,aws-parallelcluster-project$daylily-omics-analysis-references,daylily-omics-analysis-references
2026-06-01,2026-06-14,True,1.5948991,aws-parallelcluster-project$dayoa-analysis-results,dayoa-analysis-results
2026-06-01,2026-06-14,True,102.2722504912,aws-parallelcluster-project$dayoa-control-data,dayoa-control-data
2026-06-01,2026-06-14,True,9.5864856664,aws-parallelcluster-project$dayoa-references,dayoa-references
2026-06-01,2026-06-14,True,0.4649745661,aws-parallelcluster-project$dayoa-runtime-assets,dayoa-runtime-assets
2026-06-01,2026-06-14,True,110.1793470298,aws-parallelcluster-project$dayoa-staging,dayoa-staging
2026-06-01,2026-06-14,True,0.0850914799,aws-parallelcluster-project$dewey-production,dewey-production
2026-06-01,2026-06-14,True,87.2875212947,aws-parallelcluster-project$dhyb-NA03986,dhyb-NA03986
2026-06-01,2026-06-14,True,13.3280093173,aws-parallelcluster-project$dyec-515,dyec-515
2026-06-01,2026-06-14,True,100.8836154797,aws-parallelcluster-project$dyec-test,dyec-test
2026-06-01,2026-06-14,True,47.9002126843,aws-parallelcluster-project$dyec0602bcl,dyec0602bcl
2026-06-01,2026-06-14,True,40.8456521995,aws-parallelcluster-project$dyec5115,dyec5115
2026-06-01,2026-06-14,True,230.5873499375,aws-parallelcluster-project$dyec5117,dyec5117
2026-06-01,2026-06-14,True,37.6167463211,aws-parallelcluster-project$dyec5123,dyec5123
2026-06-01,2026-06-14,True,142.0185869102,aws-parallelcluster-project$dyec5128,dyec5128
2026-06-01,2026-06-14,True,28.1918252264,aws-parallelcluster-project$dyec800,dyec800
2026-06-01,2026-06-14,True,144.5010238948,aws-parallelcluster-project$dyec8c,dyec8c
2026-06-01,2026-06-14,True,46.1359233572,aws-parallelcluster-project$dyec8xxx,dyec8xxx
2026-06-01,2026-06-14,True,644.8629295313,aws-parallelcluster-project$dyecX4,dyecX4
2026-06-01,2026-06-14,True,1.5577190565,aws-parallelcluster-project$dyegotime,dyegotime
2026-06-01,2026-06-14,True,292.0401730458,aws-parallelcluster-project$forked,forked
2026-06-01,2026-06-14,True,1270.0994728556,aws-parallelcluster-project$hyb-only,hyb-only
2026-06-01,2026-06-14,True,14.5946666736,aws-parallelcluster-project$ifx-go,ifx-go
2026-06-01,2026-06-14,True,1466.0196578544,aws-parallelcluster-project$raw-sequence-data,raw-sequence-data
2026-06-01,2026-06-14,True,129.4981581047,aws-parallelcluster-project$sentieon-upgrade,sentieon-upgrade
2026-06-01,2026-06-14,True,14.5946666736,aws-parallelcluster-project$test-del-me,test-del-me
2026-06-01,2026-06-14,True,412.3863709034,aws-parallelcluster-project$test-smn1-case1,test-smn1-case1
2026-06-01,2026-06-14,True,66.1674143099,aws-parallelcluster-project$unknown-project-invalid-project,unknown-project-invalid-project
2026-06-01,2026-06-14,True,0.0,aws-parallelcluster-project$xfer-cluster,xfer-cluster
2026-06-01,2026-06-14,True,15.4713154445,aws-parallelcluster-project$xfer0613,xfer0613
