service,kind,region,id,arn,name,classification,tags,state,size,type,engine,has_lifecycle
EC2,ec2_instance,us-west-2,i-0a70e6af119b993f3,arn:aws:ec2:us-west-2:108782052779:instance/i-0a70e6af119b993f3,Dayhoff-lsmcq7-Compute/Hostprimary,dayhoff,"CostCenter=platform Environment=lsmcq7 Host=primary Name=Dayhoff-lsmcq7-Compute/Hostprimary Owner=platform Project=LSMC Roles=atlas,bloom,ursa,dewey,zebra_day System=dayhoff aws:cloudformation:logical-id=Hostprimary8A9E85D2 aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-lsmcq7-Compute/08ce3790-4f01-11f1-90ac-0a1da76cb771 aws:cloudformation:stack-name=Dayhoff-lsmcq7-Compute dayhoff-lock=false dayhoff-user=ubuntu lsmc-cost-center=platform lsmc-project=dayhoff+us-west-2 project=dayhoff-all project:dayhoff-day=true",running,,t3a.2xlarge,,
EC2,ec2_instance,us-west-2,i-0c0d07d66b039cebe,arn:aws:ec2:us-west-2:108782052779:instance/i-0c0d07d66b039cebe,terrarium-dev-tailscale-router,terrarium,Environment=dev Name=terrarium-dev-tailscale-router Project=terrarium,running,,t3.micro,,
EC2,ec2_instance,us-west-2,i-07df3a933e4839f52,arn:aws:ec2:us-west-2:108782052779:instance/i-07df3a933e4839f52,Dayhoff-day-Compute/Hostprimary,dayhoff,"CostCenter=platform Environment=day Host=primary Name=Dayhoff-day-Compute/Hostprimary Owner=platform Project=LSMC Roles=lsmc-oauth-login,atlas,bloom,ursa,dewey,qeo,zebra_day System=dayhoff aws:cloudformation:logical-id=Hostprimary8A9E85D20db1f345cfb64f91 aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-day-Compute/d3d6e610-5e8a-11f1-b6e4-02f97802c06b aws:cloudformation:stack-name=Dayhoff-day-Compute dayhoff-lock=false dayhoff-user=jmajor lsmc-cost-center=platform lsmc-project=dayhoff-day project=dayhoff-all project:dayhoff-day=true",running,,t3.2xlarge,,
EC2,ec2_instance,us-west-2,i-0fec5d1a28b6d27aa,arn:aws:ec2:us-west-2:108782052779:instance/i-0fec5d1a28b6d27aa,dayec-slurm-accounting-us-west-2d-mariadb,unallocated,Name=dayec-slurm-accounting-us-west-2d-mariadb aws:cloudformation:logical-id=AccountingDbHost aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/dayec-slurm-accounting-us-west-2d/6b46e130-5cfb-11f1-b170-06b46de19d01 aws:cloudformation:stack-name=dayec-slurm-accounting-us-west-2d daylily-ec:component=slurm-accounting-mysql daylily-ec:managed-by=daylily-ephemeral-cluster daylily-ec:region-az=us-west-2d daylily-ec:vpc-id=vpc-06b01782f2abece1c,running,,t4g.micro,,
EC2,ec2_instance,us-west-2,i-05815cdeec4a6dad8,arn:aws:ec2:us-west-2:108782052779:instance/i-05815cdeec4a6dad8,HeadNode,dyec_cluster,"Name=HeadNode aws-parallelcluster-clustername=dyecX4 aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-references-usw2/runtime_assets/cluster_boot_config aws-parallelcluster-project=dyecX4 aws-parallelcluster-username=jmajor-root aws:cloudformation:logical-id=HeadNode aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/dyecX4/aa2b72b0-63c4-11f1-add4-0a91d4575483 aws:cloudformation:stack-name=dyecX4 aws:ec2launchtemplate:id=lt-0a950e9370e5ed35a aws:ec2launchtemplate:version=1 parallelcluster:attributes=ubuntu2204, slurm, 3.15.0, x86_64 parallelcluster:cluster-name=dyecX4 parallelcluster:filesystem=efs=0, multiebs=0, raid=0, fsx=1 parallelcluster:networking=EFA=NONE parallelcluster:node-type=HeadNode parallelcluster:version=3.15.0",running,,r7i.8xlarge,,
EBS,ebs_volume,us-west-2,vol-02caa6b741e86c280,arn:aws:ec2:us-west-2:108782052779:volume/vol-02caa6b741e86c280,,unallocated,,in-use,20,gp3,,
EBS,ebs_volume,us-west-2,vol-0725e7ce2db54e386,arn:aws:ec2:us-west-2:108782052779:volume/vol-0725e7ce2db54e386,,unallocated,,in-use,30,gp3,,
EBS,ebs_volume,us-west-2,vol-0c69ba6b467620e14,arn:aws:ec2:us-west-2:108782052779:volume/vol-0c69ba6b467620e14,,dayhoff,project=dayhoff-all project:dayhoff-day=true,in-use,336,gp3,,
EBS,ebs_volume,us-west-2,vol-0bff19625e45e6e4c,arn:aws:ec2:us-west-2:108782052779:volume/vol-0bff19625e45e6e4c,,unallocated,,in-use,30,gp3,,
EBS,ebs_volume,us-west-2,vol-0ea36895cc2b979ac,arn:aws:ec2:us-west-2:108782052779:volume/vol-0ea36895cc2b979ac,,dyec_cluster,aws-parallelcluster-project=dayhoff-production-server project=dayhoff-all project:dayhoff-day=true,in-use,336,gp3,,
EBS,ebs_volume,us-west-2,vol-067169329e7a92af1,arn:aws:ec2:us-west-2:108782052779:volume/vol-067169329e7a92af1,,dyec_cluster,aws-parallelcluster-clustername=day-test-uswest2d aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=true aws-parallelcluster-jobid=aws_profile-daylily-service-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-omics-analysis-us-west-2 aws-parallelcluster-project=day-test-uswest2d aws-parallelcluster-username=jmajor-daylily-service parallelcluster:cluster-name=day-test-uswest2d parallelcluster:node-type=HeadNode parallelcluster:version=3.13.2,available,421,gp3,,
EBS,ebs_volume,us-west-2,vol-0f5e5d7eec5982fa8,arn:aws:ec2:us-west-2:108782052779:volume/vol-0f5e5d7eec5982fa8,,dyec_cluster,aws-parallelcluster-clustername=test-del-me aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-omics-analysis-us-west-2 aws-parallelcluster-project=test-del-me aws-parallelcluster-username=jmajor-root parallelcluster:cluster-name=test-del-me parallelcluster:node-type=HeadNode parallelcluster:version=3.13.2,available,421,gp3,,
EBS,ebs_volume,us-west-2,vol-04646998d6f1fd325,arn:aws:ec2:us-west-2:108782052779:volume/vol-04646998d6f1fd325,,dayhoff,project=dayhoff-all project:dayhoff-day=true,in-use,336,gp3,,
EBS,ebs_volume,us-west-2,vol-0c26833469cf6995a,arn:aws:ec2:us-west-2:108782052779:volume/vol-0c26833469cf6995a,,unallocated,,in-use,234,gp3,,
EBS,ebs_volume,us-west-2,vol-0c90d4fbaada3820a,arn:aws:ec2:us-west-2:108782052779:volume/vol-0c90d4fbaada3820a,,dyec_cluster,aws-parallelcluster-clustername=ifx-go aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-daylily-service-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-omics-analysis-us-west-2 aws-parallelcluster-project=ifx-go aws-parallelcluster-username=jmajor-daylily-service parallelcluster:cluster-name=ifx-go parallelcluster:node-type=HeadNode parallelcluster:version=3.13.2,available,421,gp3,,
EBS,ebs_volume,us-west-2,vol-042a5f5daead20490,arn:aws:ec2:us-west-2:108782052779:volume/vol-042a5f5daead20490,,dyec_cluster,aws-parallelcluster-clustername=daylily-1773059211 aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-omics-analysis-us-west-2 aws-parallelcluster-project=daylily-1773059211 aws-parallelcluster-username=jmajor-root parallelcluster:cluster-name=daylily-1773059211 parallelcluster:node-type=HeadNode parallelcluster:version=3.13.2,available,421,gp3,,
EBS,ebs_volume,us-west-2,vol-0af8f94e0cd058ddf,arn:aws:ec2:us-west-2:108782052779:volume/vol-0af8f94e0cd058ddf,,unallocated,,in-use,8,gp3,,
EBS,ebs_volume,us-west-2,vol-0f9ef75ea2bd0c8f8,arn:aws:ec2:us-west-2:108782052779:volume/vol-0f9ef75ea2bd0c8f8,HeadNode,dyec_cluster,"Name=HeadNode aws-parallelcluster-clustername=dyecX4 aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-references-usw2/runtime_assets/cluster_boot_config aws-parallelcluster-project=dyecX4 aws-parallelcluster-username=jmajor-root aws:cloudformation:logical-id=HeadNode aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/dyecX4/aa2b72b0-63c4-11f1-add4-0a91d4575483 aws:cloudformation:stack-name=dyecX4 parallelcluster:attributes=ubuntu2204, slurm, 3.15.0, x86_64 parallelcluster:cluster-name=dyecX4 parallelcluster:filesystem=efs=0, multiebs=0, raid=0, fsx=1 parallelcluster:networking=EFA=NONE parallelcluster:node-type=HeadNode parallelcluster:version=3.15.0",in-use,421,gp3,,
EC2,eip,us-west-2,eipalloc-067f0cbee9744a997,,,unallocated,,,,,,
EC2,eip,us-west-2,eipalloc-0afac19bd56e88559,,,unallocated,,,,,,
EC2,eip,us-west-2,eipalloc-0cdb6bbf96e46e997,,terrarium-prod-us-west-2a,terrarium,Environment=prod Name=terrarium-prod-us-west-2a Project=terrarium,,,,,
EC2,eip,us-west-2,eipalloc-02ef5760f8f8700fd,,,unallocated,aws:cloudformation:logical-id=NatGatewayEIP aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/pcluster-vpc-stack-2c/11672150-35cb-11f0-846b-068dd27e67c7 aws:cloudformation:stack-name=pcluster-vpc-stack-2c,,,,,
EC2,eip,us-west-2,eipalloc-0f161b935ca179087,,Dayhoff-aws3041-Network/Vpc/publicSubnet1,dayhoff,CostCenter=platform Environment=aws3041 Name=Dayhoff-aws3041-Network/Vpc/publicSubnet1 Owner=platform Project=LSMC System=dayhoff aws:cloudformation:logical-id=VpcpublicSubnet1EIP411541E6 aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-aws3041-Network/f3c44510-4d98-11f1-8609-02caba97073f aws:cloudformation:stack-name=Dayhoff-aws3041-Network dayhoff-lock=false dayhoff-user=jmajor lsmc-cost-center=platform lsmc-project=dayhoff+us-west-2 project=dayhoff-all project:dayhoff-day=true,,,,,
EC2,eip,us-west-2,eipalloc-08c21fdc4e4f6bf6c,,terrarium-dev-us-west-2a,terrarium,Environment=dev Name=terrarium-dev-us-west-2a Project=terrarium,,,,,
EC2,eip,us-west-2,eipalloc-06c2ff8cb4315bbd2,,,dyec_cluster,aws-parallelcluster-clustername=dyecX4 aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-references-usw2/runtime_assets/cluster_boot_config aws-parallelcluster-project=dyecX4 aws-parallelcluster-username=jmajor-root aws:cloudformation:logical-id=HeadNodeEIP aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/dyecX4/aa2b72b0-63c4-11f1-add4-0a91d4575483 aws:cloudformation:stack-name=dyecX4 parallelcluster:cluster-name=dyecX4 parallelcluster:version=3.15.0,,,,,
EC2,eip,us-west-2,eipalloc-08aa7ee07f8adf8dc,,,unallocated,,,,,,
EC2,eip,us-west-2,eipalloc-0404170040b2023eb,,,unallocated,,,,,,
EC2,eip,us-west-2,eipalloc-04969423b36b3de9b,,Dayhoff-lsmcok1-day-lsmc-bio-eip,dayhoff,DNSName=day.lsmc.bio Environment=lsmcok1 Name=Dayhoff-lsmcok1-day-lsmc-bio-eip Owner=platform Project=LSMC PublicService=day.lsmc.bio Purpose=day.lsmc.bio-public-approved-ingress ServiceNamespace=day.lsmc.bio System=dayhoff project=dayhoff-all project:dayhoff-day=true,,,,,
EC2,eip,us-west-2,eipalloc-0bb7dbe25d9396012,,,dyec_cluster,aws-parallelcluster-clustername=altairval aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-references-usw2/runtime_assets/cluster_boot_config aws-parallelcluster-project=altairval aws-parallelcluster-username=jmajor-root aws:cloudformation:logical-id=HeadNodeEIP aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/altairval/aa874660-683a-11f1-b510-062b536bb711 aws:cloudformation:stack-name=altairval parallelcluster:cluster-name=altairval parallelcluster:version=3.15.0,,,,,
EC2,eip,us-west-2,eipalloc-0eba4901f0a660eee,,,unallocated,aws:cloudformation:logical-id=NatGatewayEIP aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/pcluster-vpc-stack-2d/12bfabe0-ee8f-11ef-91a4-0a3f3530209f aws:cloudformation:stack-name=pcluster-vpc-stack-2d,,,,,
VPC,nat_gateway,us-west-2,nat-00f3c26e43ede9b10,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00f3c26e43ede9b10,,unallocated,aws:cloudformation:logical-id=NatGateway aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/pcluster-vpc-stack-2d/12bfabe0-ee8f-11ef-91a4-0a3f3530209f aws:cloudformation:stack-name=pcluster-vpc-stack-2d,available,,,,
VPC,nat_gateway,us-west-2,nat-00246c8ef3b9087f1,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00246c8ef3b9087f1,Dayhoff-aws3041-Network/Vpc/publicSubnet1,dayhoff,CostCenter=platform Environment=aws3041 Name=Dayhoff-aws3041-Network/Vpc/publicSubnet1 Owner=platform Project=LSMC System=dayhoff aws:cloudformation:logical-id=VpcpublicSubnet1NATGatewayA036E8A6 aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-aws3041-Network/f3c44510-4d98-11f1-8609-02caba97073f aws:cloudformation:stack-name=Dayhoff-aws3041-Network dayhoff-lock=false dayhoff-user=jmajor lsmc-cost-center=platform lsmc-project=dayhoff+us-west-2 project=dayhoff-all project:dayhoff-day=true,available,,,,
VPC,nat_gateway,us-west-2,nat-00ac08b685fea726f,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-00ac08b685fea726f,terrarium-prod-us-west-2a,terrarium,Environment=prod Name=terrarium-prod-us-west-2a Project=terrarium,available,,,,
VPC,nat_gateway,us-west-2,nat-0234e77781575cced,arn:aws:ec2:us-west-2:108782052779:natgateway/nat-0234e77781575cced,terrarium-dev-us-west-2a,terrarium,Environment=dev Name=terrarium-dev-us-west-2a Project=terrarium,available,,,,
FSx,fsx_file_system,us-west-2,fs-04960a3a07c091cf3,arn:aws:fsx:us-west-2:108782052779:file-system/fs-04960a3a07c091cf3,fsx-dyecX4,dyec_cluster,Name=fsx-dyecX4 aws-parallelcluster-clustername=dyecX4 aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-references-usw2/runtime_assets/cluster_boot_config aws-parallelcluster-project=dyecX4 aws-parallelcluster-username=jmajor-root aws:cloudformation:logical-id=FSX0e52fd3766b8488d aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/dyecX4/aa2b72b0-63c4-11f1-add4-0a91d4575483 aws:cloudformation:stack-name=dyecX4 parallelcluster:cluster-name=dyecX4 parallelcluster:version=3.15.0,AVAILABLE,7200,,,
FSx,fsx_file_system,us-west-2,fs-057cbee5401ac88aa,arn:aws:fsx:us-west-2:108782052779:file-system/fs-057cbee5401ac88aa,fsx-altairval,dyec_cluster,Name=fsx-altairval aws-parallelcluster-clustername=altairval aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-references-usw2/runtime_assets/cluster_boot_config aws-parallelcluster-project=altairval aws-parallelcluster-username=jmajor-root aws:cloudformation:logical-id=FSX4721a131eda8bef6 aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/altairval/aa874660-683a-11f1-b510-062b536bb711 aws:cloudformation:stack-name=altairval parallelcluster:cluster-name=altairval parallelcluster:version=3.15.0,CREATING,7200,,,
FSx,fsx_dra,us-west-2,dra-021b674814a92ea8f,arn:aws:fsx:us-west-2:108782052779:association/fs-04960a3a07c091cf3/dra-021b674814a92ea8f,,unallocated,lsmc:purpose=control-data-30x lsmc:readonly=true,AVAILABLE,,,,
FSx,fsx_dra,us-west-2,dra-0d7c2f7e65eecadb6,arn:aws:fsx:us-west-2:108782052779:association/fs-04960a3a07c091cf3/dra-0d7c2f7e65eecadb6,,unallocated,lsmc:purpose=pangenome-control-data,AVAILABLE,,,,
FSx,fsx_dra,us-west-2,dra-025df65da949d4968,arn:aws:fsx:us-west-2:108782052779:association/fs-04960a3a07c091cf3/dra-025df65da949d4968,,unallocated,lsmc:purpose=pangenome-control-data,AVAILABLE,,,,
FSx,fsx_dra,us-west-2,dra-09a619392c7f2bdc0,arn:aws:fsx:us-west-2:108782052779:association/fs-04960a3a07c091cf3/dra-09a619392c7f2bdc0,,unallocated,lsmc:purpose=run-dir-mount,AVAILABLE,,,,
FSx,fsx_dra,us-west-2,dra-0c94f040d9917cdf4,arn:aws:fsx:us-west-2:108782052779:association/fs-04960a3a07c091cf3/dra-0c94f040d9917cdf4,,unallocated,lsmc:purpose=run-dir-mount,AVAILABLE,,,,
FSx,fsx_dra,us-west-2,dra-0a0713fd9cfac78c7,arn:aws:fsx:us-west-2:108782052779:association/fs-04960a3a07c091cf3/dra-0a0713fd9cfac78c7,,unallocated,,AVAILABLE,,,,
FSx,fsx_dra,us-west-2,dra-0b33dfe0885363e1c,arn:aws:fsx:us-west-2:108782052779:association/fs-04960a3a07c091cf3/dra-0b33dfe0885363e1c,reference-data,dyec_cluster,Name=reference-data aws-parallelcluster-clustername=dyecX4 aws-parallelcluster-daylily-git-deets=none aws-parallelcluster-enforce-budget=skip aws-parallelcluster-jobid=aws_profile-lsmc aws-parallelcluster-monitor-bucket=s3://lsmc-dayoa-references-usw2/runtime_assets/cluster_boot_config aws-parallelcluster-project=dyecX4 aws-parallelcluster-username=jmajor-root aws:cloudformation:logical-id=referencedataD48241ae41bef295 aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/dyecX4/aa2b72b0-63c4-11f1-add4-0a91d4575483 aws:cloudformation:stack-name=dyecX4 parallelcluster:cluster-name=dyecX4 parallelcluster:version=3.15.0,AVAILABLE,,,,
RDS,rds_instance,us-west-2,aquarium-dev-db,arn:aws:rds:us-west-2:108782052779:db:aquarium-dev-db,aquarium-dev-db,aquarium,Environment=dev Project=aquarium,available,,db.t4g.micro,postgres,
RDS,rds_instance,us-west-2,dayhoff-dr-drill-20260521-instance-1,arn:aws:rds:us-west-2:108782052779:db:dayhoff-dr-drill-20260521-instance-1,dayhoff-dr-drill-20260521-instance-1,dayhoff,,available,,db.r5.large,aurora-postgresql,
RDS,rds_instance,us-west-2,dayhoff-dr-drill-20260521-reader-api,arn:aws:rds:us-west-2:108782052779:db:dayhoff-dr-drill-20260521-reader-api,dayhoff-dr-drill-20260521-reader-api,dayhoff,,available,,db.r5.large,aurora-postgresql,
RDS,rds_instance,us-west-2,dayhoff-dr-drill-20260521-reader-ha,arn:aws:rds:us-west-2:108782052779:db:dayhoff-dr-drill-20260521-reader-ha,dayhoff-dr-drill-20260521-reader-ha,dayhoff,,available,,db.r5.large,aurora-postgresql,
RDS,rds_instance,us-west-2,dayhoff-lsmcok1-tapdb-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcok1-tapdb-writer,dayhoff-lsmcok1-tapdb-writer,dyec_cluster,Environment=lsmcok1 Owner=platform Project=LSMC System=dayhoff aws-parallelcluster-project=dayhoff-production-server aws:cloudformation:logical-id=WriterInstance aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-lsmcok1-Data/80940010-5353-11f1-84e9-0679063ee0d5 aws:cloudformation:stack-name=Dayhoff-lsmcok1-Data project=dayhoff-all project:dayhoff-day=true,available,,db.r8g.large,aurora-postgresql,
RDS,rds_instance,us-west-2,dayhoff-lsmcq7-tapdb-reader-api,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcq7-tapdb-reader-api,dayhoff-lsmcq7-tapdb-reader-api,dayhoff,CostCenter=platform Environment=lsmcq7 Owner=platform Project=LSMC Role=reader-api System=dayhoff aws:cloudformation:logical-id=ApiReaderInstance aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-lsmcq7-Data/c931b3a0-51ee-11f1-835f-061daeca8d2f aws:cloudformation:stack-name=Dayhoff-lsmcq7-Data lsmc-cost-center=platform lsmc-project=dayhoff+us-west-2 project=dayhoff-all project:dayhoff-day=true,available,,db.r8g.xlarge,aurora-postgresql,
RDS,rds_instance,us-west-2,dayhoff-lsmcq7-tapdb-reader-ha,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcq7-tapdb-reader-ha,dayhoff-lsmcq7-tapdb-reader-ha,dayhoff,CostCenter=platform Environment=lsmcq7 Owner=platform Project=LSMC Role=reader-ha System=dayhoff aws:cloudformation:logical-id=HaReaderInstance aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-lsmcq7-Data/c931b3a0-51ee-11f1-835f-061daeca8d2f aws:cloudformation:stack-name=Dayhoff-lsmcq7-Data lsmc-cost-center=platform lsmc-project=dayhoff+us-west-2 project=dayhoff-all project:dayhoff-day=true,available,,db.r8g.xlarge,aurora-postgresql,
RDS,rds_instance,us-west-2,dayhoff-lsmcq7-tapdb-writer,arn:aws:rds:us-west-2:108782052779:db:dayhoff-lsmcq7-tapdb-writer,dayhoff-lsmcq7-tapdb-writer,dayhoff,CostCenter=platform Environment=lsmcq7 Owner=platform Project=LSMC Role=writer System=dayhoff aws:cloudformation:logical-id=WriterInstance aws:cloudformation:stack-id=arn:aws:cloudformation:us-west-2:108782052779:stack/Dayhoff-lsmcq7-Data/c931b3a0-51ee-11f1-835f-061daeca8d2f aws:cloudformation:stack-name=Dayhoff-lsmcq7-Data lsmc-cost-center=platform lsmc-project=dayhoff+us-west-2 project=dayhoff-all project:dayhoff-day=true,available,,db.r8g.2xlarge,aurora-postgresql,
