RUN_ID	SAMPLE_ID	EXPERIMENTID	SAMPLESOURCE	SAMPLECLASS	BIOLOGICAL_SEX	SAMPLE_TYPE	LIB_PREP	SEQ_VENDOR	SEQ_PLATFORM	LANE	SEQBC_ID	PATH_TO_CONCORDANCE_DATA_DIR	CONCORDANCE_CONTROL_PATH	TRUTH_DATA_DIR	R1_FQ	R2_FQ	ILMN_R1_FQ	ILMN_R2_FQ	CG_R1_FQ	CG_R2_FQ	PACBIO_R1_FQ	PACBIO_R2_FQ	ONT_R1_FQ	ONT_R2_FQ	ONT_FASTQ_PREFIX	ONT_FLOWCELL_ID	UG_R1_FQ	UG_R2_FQ	ULTIMA_CRAM	ULTIMA_CRAM_ALIGNER	ULTIMA_CRAM_SNV_CALLER	ULTIMA_SUBSAMPLE_PCT	ONT_CRAM	ONT_CRAM_ALIGNER	ONT_CRAM_SNV_CALLER	ONT_SUBSAMPLE_PCT	PB_BAM	PB_BAM_ALIGNER	PB_BAM_SNV_CALLER	ONT_BAM	ONT_BAM_ALIGNER	ONT_BAM_SNV_CALLER	ROCHE_BAM	ROCHE_BAM_ALIGNER	ROCHE_BAM_SNV_CALLER	ROCHE_DOWNSAMPLE_RATIO	STAGE_DIRECTIVE	STAGE_TARGET	SUBSAMPLE_PCT	ILMN_TRIM_READ_LENGTH	LONGREADTRIM_READ_LENGTH	LONGREADTRIM_MODE	SAMPLEUSE	BWA_KMER	DEEP_MODEL	IS_POS_CTRL	IS_NEG_CTRL	TUM_NRM_SAMPLEID_MATCH	N_X	N_Y	EXTERNAL_SAMPLE_ID
hyb-only-platform-solo	HG004	Altair-HG004-b_S11	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--b_S11	na	na	na			/fsx/scratch/ILMN/Altair-HG004-b_S11_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG004-b_S11_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG004
hyb-only-platform-solo	HG004	Altair-HG004-c_S12	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--c_S12	na	na	na			/fsx/scratch/ILMN/Altair-HG004-c_S12_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG004-c_S12_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG004
hyb-only-platform-solo	HG005	Altair-HG005-a_S13	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--a_S13	na	na	na			/fsx/scratch/ILMN/Altair-HG005-a_S13_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG005-a_S13_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG005
hyb-only-platform-solo	HG005	Altair-HG005-b_S14	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--b_S14	na	na	na			/fsx/scratch/ILMN/Altair-HG005-b_S14_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG005-b_S14_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG005
hyb-only-platform-solo	HG005	Altair-HG005-c_S15	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--c_S15	na	na	na			/fsx/scratch/ILMN/Altair-HG005-c_S15_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG005-c_S15_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG005
hyb-only-platform-solo	HG006	Altair-HG006-a_S16	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--a_S16	na	na	na			/fsx/scratch/ILMN/Altair-HG006-a_S16_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG006-a_S16_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG006
hyb-only-platform-solo	HG006	Altair-HG006-b_S17	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--b_S17	na	na	na			/fsx/scratch/ILMN/Altair-HG006-b_S17_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG006-b_S17_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG006
hyb-only-platform-solo	HG006	Altair-HG006-c_S18	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--c_S18	na	na	na			/fsx/scratch/ILMN/Altair-HG006-c_S18_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG006-c_S18_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG006
hyb-only-platform-solo	HG007	Altair-HG007-a_S19	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--a_S19	na	na	na			/fsx/scratch/ILMN/Altair-HG007-a_S19_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG007-a_S19_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG007
hyb-only-platform-solo	HG007	Altair-HG007-b_S20	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--b_S20	na	na	na			/fsx/scratch/ILMN/Altair-HG007-b_S20_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG007-b_S20_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG007
hyb-only-platform-solo	HG007	Altair-HG007-c_S21	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	Altair--c_S21	na	na	na			/fsx/scratch/ILMN/Altair-HG007-c_S21_R1_001.fastq.gz	/fsx/scratch/ILMN/Altair-HG007-c_S21_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	HG007
hyb-only-platform-solo	NA00232	NA00232-SMN_S46	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	SMN_S46	na	na	na			/fsx/scratch/ILMN/NA00232-SMN_S46_R1_001.fastq.gz	/fsx/scratch/ILMN/NA00232-SMN_S46_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	NA00232
hyb-only-platform-solo	NA03986	NA03986-DMPK_S48	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	DMPK_S48	na	na	na			/fsx/scratch/ILMN/NA03986-DMPK_S48_R1_001.fastq.gz	/fsx/scratch/ILMN/NA03986-DMPK_S48_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	NA03986
hyb-only-platform-solo	NA05164	NA05164-DMPK_S49	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	DMPK_S49	na	na	na			/fsx/scratch/ILMN/NA05164-DMPK_S49_R1_001.fastq.gz	/fsx/scratch/ILMN/NA05164-DMPK_S49_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	NA05164
hyb-only-platform-solo	NA09677	NA09677-SMN_S47	gdna	research	na	gdna	PF	ILMN	NOVASEQ	0	SMN_S47	na	na	na			/fsx/scratch/ILMN/NA09677-SMN_S47_R1_001.fastq.gz	/fsx/scratch/ILMN/NA09677-SMN_S47_R2_001.fastq.gz																													pass_through		na				research	19	WGS	false	false	na	0	0	NA09677
