idx	label	start	end	rc	stdout	stderr	command
11	launch_002_illumina_snv_alignstats	2026-05-31T16:12:46Z	2026-05-31T16:13:05Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0011_launch_002_illumina_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0011_launch_002_illumina_snv_alignstats.stderr.txt	dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_002_illumina_snv_alignstats --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_sent_align produce_dmd_dedup_cram produce_sentd_snv_vcf produce_snv_concordances produce_alignstats -p -k -j 20 -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_002_illumina_snv_alignstats --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/illumina_hg003_5x/20260531T161010Z_91db1e5f_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/illumina_hg003_5x/20260531T161010Z_91db1e5f_units.tsv --dry-run
12	launch_003_illumina_snv_alignstats_relatedness_vep_multiqc	2026-05-31T16:13:05Z	2026-05-31T16:13:23Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0012_launch_003_illumina_snv_alignstats_relatedness_vep_multiqc.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0012_launch_003_illumina_snv_alignstats_relatedness_vep_multiqc.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_003_illumina_snv_alignstats_rela --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_sent_align produce_dmd_dedup_cram produce_sentd_snv_vcf produce_alignstats produce_snv_concordances produce_relatedness produce_vep produce_multiqc_all --config '""'""'multiqc_qc={""enable_tools"":[""vep""]}'""'""' -p -j 100 -k -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_003_illumina_snv_alignstats_rela --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/illumina_hg003_5x/20260531T161010Z_91db1e5f_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/illumina_hg003_5x/20260531T161010Z_91db1e5f_units.tsv --dry-run"
13	launch_004_illumina_hg002_kitchensink_multiqc	2026-05-31T16:13:23Z	2026-05-31T16:13:42Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0013_launch_004_illumina_hg002_kitchensink_multiqc.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0013_launch_004_illumina_hg002_kitchensink_multiqc.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_004_illumina_hg002_kitchensink_m --git-tag 2.0.29 --genome hg38 --dy-command 'bin/day_run produce_sent_align produce_dmd_dedup_cram produce_sentd_snv_vcf produce_alignstats produce_snv_concordances produce_relatedness produce_gatk_contam_estimate produce_site_mix_contam_estimate produce_global_contam_check produce_vep produce_expansionhunter produce_htd_calls produce_metagenomics produce_multiqc_all --config '""'""'aligners=[""sent""]'""'""' '""'""'dedupers=[""dmd""]'""'""' '""'""'snv_callers=[""sentd""]'""'""' '""'""'htd_callers=[""cyrius""]'""'""' '""'""'multiqc_qc={""enable_tools"":[""vep"",""metagenomics"",""contam_identity""]}'""'""' -j 200 -p -k --rerun-triggers mtime -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_004_illumina_hg002_kitchensink_m --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/illumina_hg002_kitchen/20260531T161025Z_d81fd763_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/illumina_hg002_kitchen/20260531T161025Z_d81fd763_units.tsv --dry-run"
14	launch_005_ultima_snv_alignstats	2026-05-31T16:13:42Z	2026-05-31T16:14:01Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0014_launch_005_ultima_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0014_launch_005_ultima_snv_alignstats.stderr.txt	dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_005_ultima_snv_alignstats --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_alignstats produce_na_dedup_cram produce_sentdug_snv_vcf produce_snv_concordances -p -j 20 -k -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_005_ultima_snv_alignstats --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ultima_hg003_5x/20260531T161047Z_1c90e31b_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ultima_hg003_5x/20260531T161047Z_1c90e31b_units.tsv --dry-run
15	launch_006_ultima_snv_alignstats_kitchensink	2026-05-31T16:14:01Z	2026-05-31T16:14:20Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0015_launch_006_ultima_snv_alignstats_kitchensink.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0015_launch_006_ultima_snv_alignstats_kitchensink.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_006_ultima_snv_alignstats_kitche --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_alignstats produce_na_dedup_cram produce_sentdug_snv_vcf produce_snv_concordances produce_relatedness produce_vep produce_multiqc_all --config '""'""'multiqc_qc={""enable_tools"":[""vep""]}'""'""' -p -j 100 -k -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_006_ultima_snv_alignstats_kitche --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ultima_hg003_5x/20260531T161047Z_1c90e31b_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ultima_hg003_5x/20260531T161047Z_1c90e31b_units.tsv --dry-run"
16	launch_007_ont_snv_alignstats	2026-05-31T16:14:20Z	2026-05-31T16:14:39Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0016_launch_007_ont_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0016_launch_007_ont_snv_alignstats.stderr.txt	dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_007_ont_snv_alignstats --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_alignstats produce_sentdont_snv_vcf produce_snv_concordances -p -j 5 -k -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_007_ont_snv_alignstats --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ont_hg003_5x/20260531T161101Z_086cd57e_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ont_hg003_5x/20260531T161101Z_086cd57e_units.tsv --dry-run
17	launch_008_ont_snv_alignstats_kitchensink	2026-05-31T16:14:39Z	2026-05-31T16:14:58Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0017_launch_008_ont_snv_alignstats_kitchensink.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0017_launch_008_ont_snv_alignstats_kitchensink.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_008_ont_snv_alignstats_kitchensi --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_alignstats produce_sentdont_snv_vcf produce_snv_concordances produce_relatedness produce_vep produce_multiqc_all --config '""'""'multiqc_qc={""enable_tools"":[""vep""]}'""'""' -p -j 5 -k -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_008_ont_snv_alignstats_kitchensi --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ont_hg003_5x/20260531T161101Z_086cd57e_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/ont_hg003_5x/20260531T161101Z_086cd57e_units.tsv --dry-run"
18	launch_009_pacbio_snv_alignstats	2026-05-31T16:14:58Z	2026-05-31T16:15:17Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0018_launch_009_pacbio_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0018_launch_009_pacbio_snv_alignstats.stderr.txt	dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_009_pacbio_snv_alignstats --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_sentmm2_align produce_na_dedup_cram produce_sentdpb_snv_vcf produce_alignstats produce_snv_concordances -p -j 2 -k -T 1 -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_009_pacbio_snv_alignstats --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/pacbio_hg003_5x/20260531T161115Z_c67fb17d_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/pacbio_hg003_5x/20260531T161115Z_c67fb17d_units.tsv --dry-run
19	launch_010_roche_snv_alignstats	2026-05-31T16:15:17Z	2026-05-31T16:15:35Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0019_launch_010_roche_snv_alignstats.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0019_launch_010_roche_snv_alignstats.stderr.txt	dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_010_roche_snv_alignstats --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_alignstats produce_na_dedup_cram produce_sentD_vcf -p -j 5 -k -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_010_roche_snv_alignstats --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/roche_hg003_5x/20260531T161128Z_cbd89b50_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/roche_hg003_5x/20260531T161128Z_cbd89b50_units.tsv --dry-run
20	launch_011_hybrid_ilmn_ont_snv	2026-05-31T16:15:35Z	2026-05-31T16:15:54Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0020_launch_011_hybrid_ilmn_ont_snv.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0020_launch_011_hybrid_ilmn_ont_snv.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_011_hybrid_ilmn_ont_snv --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_snv_concordances produce_sentdhiomr_sv produce_sentdhiomr_snv_vcf --config '""'""'dedupers=[""dmd""]'""'""' -p -j 100 -k -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_011_hybrid_ilmn_ont_snv --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x/20260531T161142Z_dbbcb8ec_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x/20260531T161142Z_dbbcb8ec_units.tsv --dry-run"
21	launch_012_hybrid_ilmn_ont_snv_kitchensink	2026-05-31T16:15:54Z	2026-05-31T16:16:13Z	0	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0021_launch_012_hybrid_ilmn_ont_snv_kitchensink.stdout.txt	/Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/logs/0021_launch_012_hybrid_ilmn_ont_snv_kitchensink.stderr.txt	"dyec workflow launch --repository daylily-omics-analysis --analysis-id d515_0531t1608_r3_012_hybrid_ilmn_ont_snv_kitchens --git-tag 2.0.29 --genome hg38_broad --dy-command 'bin/day_run produce_snv_concordances produce_sentdhiomr_sv produce_sentdhiomr_snv_vcf produce_relatedness produce_vep produce_multiqc_all --config '""'""'dedupers=[""dmd""]'""'""' '""'""'multiqc_qc={""enable_tools"":[""vep""]}'""'""' -p -j 100 -k -n' --profile lsmc --region us-west-2 --cluster dyec-515 --session-name d515_0531t1608_r3_012_hybrid_ilmn_ont_snv_kitchens --skip-project-check --samples-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x/20260531T161142Z_dbbcb8ec_samples.tsv --units-file /Users/jmajor/.codex/worktrees/be82/daylily-ephemeral-cluster/docs/plans/20260531T160830Z_dyec515_non_bcl_511_retest/generated_sample_configs/hybrid_ilmn_ont_hg003_5x5x/20260531T161142Z_dbbcb8ec_units.tsv --dry-run"
