chrom	length	bases	mean	min	max
chr9_KI270717v1_random_region	40062	263783	6.58	0	15
chr9_KI270718v1_random	38054	479115	12.59	0	33
chr9_KI270718v1_random_region	38054	479115	12.59	0	33
chr9_KI270719v1_random	176845	2872947	16.25	0	40
chr9_KI270719v1_random_region	176845	2872947	16.25	0	40
chr9_KI270720v1_random	39050	375953	9.63	1	18
chr9_KI270720v1_random_region	39050	375953	9.63	1	18
chr11_KI270721v1_random	100316	802843	8.00	0	21
chr11_KI270721v1_random_region	100316	802843	8.00	0	21
chr14_GL000009v2_random	201709	6105999	30.27	0	54
chr14_GL000009v2_random_region	201709	6105999	30.27	0	54
chr14_GL000225v1_random	211173	26892535	127.35	0	572
chr14_GL000225v1_random_region	211173	26892535	127.35	0	572
chr14_KI270722v1_random	194050	1800746	9.28	0	31
chr14_KI270722v1_random_region	194050	1800746	9.28	0	31
chr14_GL000194v1_random	191469	5743081	29.99	2	66
chr14_GL000194v1_random_region	191469	5743081	29.99	2	66
chr14_KI270723v1_random	38115	685095	17.97	1	37
chr14_KI270723v1_random_region	38115	685095	17.97	1	37
chr14_KI270724v1_random	39555	597234	15.10	3	34
chr14_KI270724v1_random_region	39555	597234	15.10	3	34
chr14_KI270725v1_random	172810	2265703	13.11	1	37
chr14_KI270725v1_random_region	172810	2265703	13.11	1	37
chr14_KI270726v1_random	43739	0	0.00	0	0
chr14_KI270726v1_random_region	43739	0	0.00	0	0
chr15_KI270727v1_random	448248	1043099	2.33	0	19
chr15_KI270727v1_random_region	448248	1043099	2.33	0	19
chr16_KI270728v1_random	1872759	8106610	4.33	0	56
chr16_KI270728v1_random_region	1872759	8106610	4.33	0	56
chr17_GL000205v2_random	185591	5444785	29.34	0	80
chr17_GL000205v2_random_region	185591	5444785	29.34	0	80
chr17_KI270729v1_random	280839	7034608	25.05	0	696
chr17_KI270729v1_random_region	280839	7034608	25.05	0	696
chr17_KI270730v1_random	112551	1986272	17.65	0	97
chr17_KI270730v1_random_region	112551	1986272	17.65	0	97
chr22_KI270731v1_random	150754	1609796	10.68	0	34
chr22_KI270731v1_random_region	150754	1609796	10.68	0	34
chr22_KI270732v1_random	41543	1449164	34.88	5	51
chr22_KI270732v1_random_region	41543	1449164	34.88	5	51
chr22_KI270733v1_random	179772	38980423	216.83	2	946
chr22_KI270733v1_random_region	179772	38980423	216.83	2	946
chr22_KI270734v1_random	165050	1779821	10.78	0	31
chr22_KI270734v1_random_region	165050	1779821	10.78	0	31
chr22_KI270735v1_random	42811	1249858	29.19	8	50
chr22_KI270735v1_random_region	42811	1249858	29.19	8	50
chr22_KI270736v1_random	181920	3000674	16.49	0	146
chr22_KI270736v1_random_region	181920	3000674	16.49	0	146
chr22_KI270737v1_random	103838	600717	5.79	0	14
chr22_KI270737v1_random_region	103838	600717	5.79	0	14
chr22_KI270738v1_random	99375	1303477	13.12	0	36
chr22_KI270738v1_random_region	99375	1303477	13.12	0	36
chr22_KI270739v1_random	73985	207819	2.81	0	12
chr22_KI270739v1_random_region	73985	207819	2.81	0	12
chrY_KI270740v1_random	37240	174848	4.70	0	9
chrY_KI270740v1_random_region	0	0	0.00	0	0
chrUn_KI270302v1	2274	3874	1.70	1	2
chrUn_KI270302v1_region	2274	3874	1.70	1	2
chrUn_KI270322v1	21476	1175	0.05	0	1
chrUn_KI270322v1_region	21476	1175	0.05	0	1
chrUn_KI270320v1	4416	132570	30.02	14	36
chrUn_KI270320v1_region	4416	132570	30.02	14	36
chrUn_KI270315v1	2276	6808	2.99	2	3
chrUn_KI270315v1_region	2276	6808	2.99	2	3
chrUn_KI270311v1	12399	27111	2.19	0	18
chrUn_KI270311v1_region	12399	27111	2.19	0	18
chrUn_KI270414v1	2489	0	0.00	0	0
chrUn_KI270414v1_region	2489	0	0.00	0	0
chrUn_KI270419v1	1029	0	0.00	0	0
chrUn_KI270419v1_region	1029	0	0.00	0	0
chrUn_KI270418v1	2145	3066	1.43	0	2
chrUn_KI270418v1_region	2145	3066	1.43	0	2
chrUn_KI270420v1	2321	0	0.00	0	0
chrUn_KI270420v1_region	2321	0	0.00	0	0
chrUn_KI270417v1	2043	9846	4.82	2	7
chrUn_KI270417v1_region	2043	9846	4.82	2	7
chrUn_KI270422v1	1445	10906	7.55	7	8
chrUn_KI270422v1_region	1445	10906	7.55	7	8
chrUn_KI270423v1	981	750	0.76	0	1
chrUn_KI270423v1_region	981	750	0.76	0	1
chrUn_KI270429v1	1361	2624	1.93	1	2
chrUn_KI270429v1_region	1361	2624	1.93	1	2
chrUn_KI270442v1	392061	12482350	31.84	0	92
chrUn_KI270442v1_region	392061	12482350	31.84	0	92
chrUn_KI270466v1	1233	284122	230.43	33	269
chrUn_KI270466v1_region	1233	284122	230.43	33	269
chrUn_KI270465v1	1774	13303	7.50	3	8
chrUn_KI270465v1_region	1774	13303	7.50	3	8
chrUn_KI270467v1	3920	10906282	2782.21	20	3634
chrUn_KI270467v1_region	3920	10906282	2782.21	20	3634
chrUn_KI270435v1	92983	1236635	13.30	1	64
chrUn_KI270435v1_region	92983	1236635	13.30	1	64
chrUn_KI270438v1	112505	75303120	669.33	0	7665
chrUn_KI270438v1_region	112505	75303120	669.33	0	7665
chrUn_KI270468v1	4055	44251	10.91	8	13
chrUn_KI270468v1_region	4055	44251	10.91	8	13
chrUn_KI270510v1	2415	109342	45.28	40	49
chrUn_KI270510v1_region	2415	109342	45.28	40	49
chrUn_KI270509v1	2318	12357	5.33	4	7
chrUn_KI270509v1_region	2318	12357	5.33	4	7
chrUn_KI270518v1	2186	13723	6.28	4	7
chrUn_KI270518v1_region	2186	13723	6.28	4	7
chrUn_KI270508v1	1951	107497	55.10	29	60
chrUn_KI270508v1_region	1951	107497	55.10	29	60
chrUn_KI270516v1	1300	24305	18.70	17	20
chrUn_KI270516v1_region	1300	24305	18.70	17	20
chrUn_KI270512v1	22689	368757	16.25	0	35
chrUn_KI270512v1_region	22689	368757	16.25	0	35
chrUn_KI270519v1	138126	3558127	25.76	0	111
chrUn_KI270519v1_region	138126	3558127	25.76	0	111
chrUn_KI270522v1	5674	33107	5.83	4	8
chrUn_KI270522v1_region	5674	33107	5.83	4	8
chrUn_KI270511v1	8127	150946	18.57	0	22
chrUn_KI270511v1_region	8127	150946	18.57	0	22
chrUn_KI270515v1	6361	228718	35.96	19	42
chrUn_KI270515v1_region	6361	228718	35.96	19	42
chrUn_KI270507v1	5353	70216	13.12	4	19
chrUn_KI270507v1_region	5353	70216	13.12	4	19
chrUn_KI270517v1	3253	93843	28.85	17	33
chrUn_KI270517v1_region	3253	93843	28.85	17	33
chrUn_KI270529v1	1899	0	0.00	0	0
chrUn_KI270529v1_region	1899	0	0.00	0	0
chrUn_KI270528v1	2983	5877	1.97	0	3
chrUn_KI270528v1_region	2983	5877	1.97	0	3
chrUn_KI270530v1	2168	8956	4.13	3	5
chrUn_KI270530v1_region	2168	8956	4.13	3	5
chrUn_KI270538v1	91309	2544686	27.87	0	132
chrUn_KI270538v1_region	91309	2544686	27.87	0	132
chrUn_KI270544v1	1202	3466	2.88	0	3
chrUn_KI270544v1_region	1202	3466	2.88	0	3
chrUn_KI270583v1	1400	0	0.00	0	0
chrUn_KI270583v1_region	1400	0	0.00	0	0
chrUn_KI270587v1	2969	48514	16.34	8	21
chrUn_KI270587v1_region	2969	48514	16.34	8	21
chrUn_KI270580v1	1553	0	0.00	0	0
chrUn_KI270580v1_region	1553	0	0.00	0	0
chrUn_KI270581v1	7046	10568	1.50	0	4
chrUn_KI270581v1_region	7046	10568	1.50	0	4
chrUn_KI270579v1	31033	166141	5.35	0	12
chrUn_KI270579v1_region	31033	166141	5.35	0	12
chrUn_KI270589v1	44474	449243	10.10	0	67
chrUn_KI270589v1_region	44474	449243	10.10	0	67
chrUn_KI270590v1	4685	170855	36.47	0	50
chrUn_KI270590v1_region	4685	170855	36.47	0	50
chrUn_KI270584v1	4513	59633	13.21	6	20
chrUn_KI270584v1_region	4513	59633	13.21	6	20
chrUn_KI270582v1	6504	24168	3.72	0	5
chrUn_KI270582v1_region	6504	24168	3.72	0	5
chrUn_KI270588v1	6158	73348	11.91	0	19
chrUn_KI270588v1_region	6158	73348	11.91	0	19
chrUn_KI270593v1	3041	7915	2.60	2	3
chrUn_KI270593v1_region	3041	7915	2.60	2	3
chrUn_KI270591v1	5796	202877	35.00	23	44
chrUn_KI270591v1_region	5796	202877	35.00	23	44
chrUn_KI270330v1	1652	4868	2.95	0	3
chrUn_KI270330v1_region	1652	4868	2.95	0	3
chrUn_KI270334v1	1368	3952	2.89	2	3
chrUn_KI270334v1_region	1368	3952	2.89	2	3
chrUn_KI270333v1	2699	836017	309.75	20	340
chrUn_KI270333v1_region	2699	836017	309.75	20	340
chrUn_KI270338v1	1428	0	0.00	0	0
chrUn_KI270338v1_region	1428	0	0.00	0	0
chrUn_KI270336v1	1026	1026	1.00	1	1
chrUn_KI270336v1_region	1026	1026	1.00	1	1
chrUn_KI270337v1	1121	16822	15.01	0	17
chrUn_KI270337v1_region	1121	16822	15.01	0	17
chrUn_KI270364v1	2855	1264	0.44	0	1
chrUn_KI270364v1_region	2855	1264	0.44	0	1
chrUn_KI270362v1	3530	0	0.00	0	0
chrUn_KI270362v1_region	3530	0	0.00	0	0
chrUn_KI270366v1	8320	18664	2.24	0	5
chrUn_KI270366v1_region	8320	18664	2.24	0	5
chrUn_KI270386v1	1788	0	0.00	0	0
chrUn_KI270386v1_region	1788	0	0.00	0	0
chrUn_KI270392v1	971	4818	4.96	0	5
chrUn_KI270392v1_region	971	4818	4.96	0	5
chrUn_KI270382v1	4215	2629	0.62	0	1
chrUn_KI270382v1_region	4215	2629	0.62	0	1
chrUn_KI270374v1	2656	0	0.00	0	0
chrUn_KI270374v1_region	2656	0	0.00	0	0
chrUn_KI270371v1	2805	1183	0.42	0	1
chrUn_KI270371v1_region	2805	1183	0.42	0	1
chrUn_KI270448v1	7992	102729	12.85	4	17
chrUn_KI270448v1_region	7992	102729	12.85	4	17
chrUn_KI270521v1	7642	81702	10.69	6	15
chrUn_KI270521v1_region	7642	81702	10.69	6	15
chrUn_GL000195v1	182896	4130238	22.58	0	55
chrUn_GL000195v1_region	182896	4130238	22.58	0	55
chrUn_GL000219v1	179198	2522430	14.08	2	60
chrUn_GL000219v1_region	179198	2522430	14.08	2	60
chrUn_GL000220v1	161802	37361915	230.91	0	1333
chrUn_GL000220v1_region	161802	37361915	230.91	0	1333
chrUn_GL000224v1	179693	9805826	54.57	2	657
chrUn_GL000224v1_region	179693	9805826	54.57	2	657
chrUn_KI270741v1	157432	696522	4.42	0	17
chrUn_KI270741v1_region	157432	696522	4.42	0	17
chrUn_GL000226v1	15008	4457988	297.04	84	400
chrUn_GL000226v1_region	15008	4457988	297.04	84	400
chrUn_GL000213v1	164239	488307	2.97	0	9
chrUn_GL000213v1_region	164239	488307	2.97	0	9
chrUn_KI270743v1	210658	3324480	15.78	0	52
chrUn_KI270743v1_region	210658	3324480	15.78	0	52
chrUn_KI270744v1	168472	8044558	47.75	0	672
chrUn_KI270744v1_region	168472	8044558	47.75	0	672
chrUn_KI270745v1	41891	141020	3.37	0	9
chrUn_KI270745v1_region	41891	141020	3.37	0	9
chrUn_KI270746v1	66486	2000875	30.09	6	58
chrUn_KI270746v1_region	66486	2000875	30.09	6	58
chrUn_KI270747v1	198735	1110319	5.59	0	16
chrUn_KI270747v1_region	198735	1110319	5.59	0	16
chrUn_KI270748v1	93321	352759	3.78	0	13
chrUn_KI270748v1_region	93321	352759	3.78	0	13
chrUn_KI270749v1	158759	2482734	15.64	1	40
chrUn_KI270749v1_region	158759	2482734	15.64	1	40
chrUn_KI270750v1	148850	2590970	17.41	1	37
chrUn_KI270750v1_region	148850	2590970	17.41	1	37
chrUn_KI270751v1	150742	3626712	24.06	0	75
chrUn_KI270751v1_region	150742	3626712	24.06	0	75
chrUn_KI270753v1	62944	915975	14.55	1	30
chrUn_KI270753v1_region	62944	915975	14.55	1	30
chrUn_KI270754v1	40191	2168506	53.96	3	119
chrUn_KI270754v1_region	40191	2168506	53.96	3	119
chrUn_KI270755v1	36723	285883	7.78	0	16
chrUn_KI270755v1_region	36723	285883	7.78	0	16
chrUn_KI270756v1	79590	771366	9.69	0	45
chrUn_KI270756v1_region	79590	771366	9.69	0	45
chrUn_KI270757v1	71251	2885213	40.49	0	125
chrUn_KI270757v1_region	71251	2885213	40.49	0	125
chrUn_GL000214v1	137718	6506796	47.25	1	343
chrUn_GL000214v1_region	137718	6506796	47.25	1	343
chrUn_KI270742v1	186739	4964817	26.59	4	60
chrUn_KI270742v1_region	186739	4964817	26.59	4	60
chrUn_GL000216v2	176608	9996238	56.60	0	474
chrUn_GL000216v2_region	176608	9996238	56.60	0	474
chrUn_GL000218v1	161147	3144920	19.52	4	40
chrUn_GL000218v1_region	161147	3144920	19.52	4	40
chrEBV	171823	18547607	107.95	50	207
chrEBV_region	171823	18547607	107.95	50	207
total	3099803865	29971298211	9.67	0	9541
total_region	2889582738	28933336003	10.01	0	9541
