availability_zone,partition,instance_type,offered,current_spot_usd_hour,median_72h_usd_hour,min_72h_usd_hour,max_72h_usd_hour,computed_bid_usd_hour,success_instances,insufficient_capacity_events,price_cap_failure_events,recommendation,reason
us-west-2a,i128nvme,r6idn.32xlarge,True,4.424,3.9743,3.7199,4.424,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,r6idn.metal,True,2.5332,2.3432,2.2449,2.5332,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,r8id.32xlarge,True,2.9804,2.77105,2.4969,2.9804,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,r8idb.32xlarge,True,5.8476,5.9489,5.8476,6.189,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,r8idn.32xlarge,True,6.7503,6.758,6.3992,6.8163,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,x2idn.32xlarge,True,4.4601,4.4676,4.4386,4.509,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,x2idn.metal,True,3.6793,3.6513,3.5036,3.6793,7.5822,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i128nvme,x2iedn.32xlarge,True,9.0789,8.9774,8.8781,9.0841,7.5822,0,0,0,PRICE-GATED NOW; RETAIN,"Current price exceeds today's computed resource bid, but the condition is not a persistent global-cap breach."
us-west-2a,i128nvme,x2iedn.metal,True,12.9677,13.077,12.9677,13.1722,7.5822,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2a,i192nvme,c8id.48xlarge,True,3.6964,3.9643,3.6964,4.2712,7.5024,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,c8id.metal-48xl,True,3.394,3.5044500000000003,3.394,3.6476,7.5024,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,i7i.48xlarge,True,5.0214,5.0991,5.0214,5.2176,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,i7i.metal-48xl,True,3.7604,4.068,3.7604,4.2162,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,i7ie.48xlarge,True,6.5517,7.1248000000000005,6.5517,7.1938,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,i7ie.metal-48xl,True,5.5989,5.5501,5.3832,5.7359,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,m8id.48xlarge,True,10.6373,11.3743,10.6373,12.3992,8.5007,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2a,i192nvme,m8id.metal-48xl,True,3.847,4.0805,3.847,4.2852,8.5007,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,m8idb.48xlarge,True,3.3035,3.52765,3.3035,3.7308,8.5007,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,m8idn.48xlarge,True,3.5389,3.76795,3.5389,3.9649,8.5007,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,r8id.48xlarge,True,3.3715,3.364,3.3204,3.3877,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,r8id.metal-48xl,True,4.9794,4.57055,4.1692,4.9794,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,r8idb.48xlarge,True,6.3024,6.3859,6.2568,6.4577,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192nvme,r8idn.48xlarge,True,6.9105,6.9687,6.9105,7.1233,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i384nvme,c8id.96xlarge,True,5.4902,5.7607,5.4902,5.9403,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i384nvme,c8id.metal-96xl,True,3.8226,4.0375,3.8226,4.3437,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i384nvme,m8id.96xlarge,True,3.2701,3.4334,3.2701,3.6572,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i384nvme,m8id.metal-96xl,True,7.3168,7.9491499999999995,7.3168,8.4429,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i384nvme,m8idb.96xlarge,True,10.9114,11.047350000000002,10.8907,11.0797,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2a,i384nvme,m8idn.96xlarge,True,10.7937,11.0157,10.7937,11.113,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2a,i384nvme,r8id.96xlarge,True,3.259,3.4229,3.259,3.6255,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i384nvme,r8id.metal-96xl,True,13.1418,13.4625,13.1418,13.9412,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2a,i384nvme,r8idb.96xlarge,True,14.6416,14.9032,14.6055,15.0921,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2a,i384nvme,r8idn.96xlarge,True,13.8367,14.0587,13.8367,14.2874,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2a,i192hugenvme,i7i.48xlarge,True,5.0214,5.0991,5.0214,5.2176,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192hugenvme,i7i.metal-48xl,True,3.7604,4.068,3.7604,4.2162,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192hugenvme,i7ie.48xlarge,True,6.5517,7.1248000000000005,6.5517,7.1938,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192hugenvme,i7ie.metal-48xl,True,5.5989,5.5501,5.3832,5.7359,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192hugenvme,r8id.48xlarge,True,3.3715,3.364,3.3204,3.3877,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192hugenvme,r8id.metal-48xl,True,4.9794,4.57055,4.1692,4.9794,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192hugenvme,r8idb.48xlarge,True,6.3024,6.3859,6.2568,6.4577,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2a,i192hugenvme,r8idn.48xlarge,True,6.9105,6.9687,6.9105,7.1233,9.0273,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,c5d.24xlarge,True,1.8265,1.81985,1.8172,1.827,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,c5d.metal,True,1.8114,1.7988,1.7316,1.8115,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,c6id.24xlarge,True,1.6125,1.6168,1.6125,1.681,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,c8id.24xlarge,True,1.761,1.76775,1.7564,1.7946,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,i3en.24xlarge,True,4.0096,3.7229,3.4946,4.0441,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,i3en.metal,True,3.2865,3.0844,2.7386,3.2865,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,i4i.24xlarge,True,3.2034,3.1742,3.1591,3.2034,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,i7i.24xlarge,True,2.8219,2.8814,2.8219,2.9285,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,i7i.metal-24xl,True,2.2082,2.2031,2.1059,2.2839,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,i7ie.24xlarge,True,3.0758,2.7624,2.6107,3.0758,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,i7ie.metal-24xl,True,3.0688,3.21045,3.0688,3.4023,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m5d.24xlarge,True,2.4455,2.4437,2.4172,2.5209,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m5d.metal,True,1.817,1.8221500000000002,1.8139,1.8375,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m5dn.24xlarge,True,2.5568,2.54,2.489,2.5879,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m5dn.metal,True,1.4226,1.3316,1.211,1.4226,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m6id.24xlarge,True,2.5877,2.6507,2.5877,2.74,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m6idn.24xlarge,True,2.7866,2.7986,2.7866,2.9277,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m8id.24xlarge,True,1.9363,1.8033,1.6673,1.9363,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m8idb.24xlarge,True,2.7292,2.6187,2.4209,2.7712,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,m8idn.24xlarge,True,2.6871,2.74025,2.6785,2.7531,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,r5d.24xlarge,True,3.5584,3.6255,3.5584,3.7108,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,r5d.metal,True,2.2816,2.274,2.2496,2.2844,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,r5dn.24xlarge,True,3.7965,3.8386,3.7965,3.8891,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,r5dn.metal,True,2.5082,2.4612,2.4186,2.5082,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,r6id.24xlarge,True,3.4833,3.4904,3.4688,3.5988,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,r6idn.24xlarge,True,2.8898,2.688,2.62,2.8898,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,r8id.24xlarge,True,3.5515,3.6142000000000003,3.5515,3.655,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,r8idb.24xlarge,True,5.0168,4.775,4.3247,5.0168,4.7372,0,0,0,PRICE-GATED NOW; RETAIN,"Current price exceeds today's computed resource bid, but the condition is not a persistent global-cap breach."
us-west-2b,i96nvme,r8idn.24xlarge,True,4.8089,4.56795,4.2155,4.8089,4.7372,0,0,0,PRICE-GATED NOW; RETAIN,"Current price exceeds today's computed resource bid, but the condition is not a persistent global-cap breach."
us-west-2b,i96nvme,x2idn.24xlarge,True,3.5573,3.8051,3.5573,4.0402,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i96nvme,x2iedn.24xlarge,True,3.8335,3.48975,3.2114,3.8335,4.7372,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,i4i.32xlarge,True,3.9389,3.9407,3.9226,3.9661,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,i4i.metal,True,3.3805,3.4066,3.3805,3.4221,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,r6id.32xlarge,True,5.2104,5.20875,4.8827,5.2178,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,r6id.metal,True,3.9575,3.7388,3.6256,3.9575,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,r6idn.32xlarge,True,4.4918,4.1796,3.9406,4.4918,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,r6idn.metal,True,2.1801,2.2915,2.1801,2.3878,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,r8id.32xlarge,True,4.838,4.9302,4.838,4.9881,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,r8idb.32xlarge,True,6.9408,6.5389,6.1511,6.9621,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,r8idn.32xlarge,True,7.5114,7.23625,6.4683,7.5114,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,x2idn.32xlarge,True,4.3028,4.5245,4.3028,4.6999,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,x2idn.metal,True,2.2987,2.44395,2.2987,2.6499,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,x2iedn.32xlarge,True,4.4553,4.065099999999999,3.8754,4.4553,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i128nvme,x2iedn.metal,True,4.6425,4.8498,4.6425,5.1197,7.574,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,c8id.48xlarge,True,3.2179,3.2456,3.2179,3.2676,6.7782,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,c8id.metal-48xl,True,3.0769,3.07745,3.065,3.1135,6.7782,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,i7i.48xlarge,True,5.2387,5.3063,5.2387,5.399,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,i7i.metal-48xl,True,5.0761,5.1455,5.0454,5.411,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,i7ie.48xlarge,True,5.9299,6.15095,5.9299,6.2397,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,i7ie.metal-48xl,True,5.602,5.6016,5.5036,5.8619,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,m8id.48xlarge,True,2.8583,3.062,2.8583,3.1826,7.4104,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,m8id.metal-48xl,True,3.8908,3.687,3.5065,3.8908,7.4104,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,m8idb.48xlarge,True,3.2679,3.4806,3.2679,3.6503,7.4104,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,m8idn.48xlarge,True,3.2351,3.3309,3.2351,3.5266,7.4104,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,r8id.48xlarge,True,4.7205,4.5626,4.0761,4.7294,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,r8id.metal-48xl,True,3.9767,4.1543,3.9767,4.5033,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,r8idb.48xlarge,True,3.9976,4.29455,3.9976,4.5784,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192nvme,r8idn.48xlarge,True,5.4861,5.166399999999999,4.8444,5.4861,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i384nvme,c8id.96xlarge,True,5.8924,6.2425,5.8924,6.361,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i384nvme,c8id.metal-96xl,True,6.5621,6.7019,6.5621,6.8492,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i384nvme,m8id.96xlarge,True,7.3756,7.592,7.3756,7.8832,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i384nvme,m8id.metal-96xl,True,6.9736,6.31155,5.7604,6.9736,9.99,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i384nvme,m8idb.96xlarge,True,10.4242,10.4879,10.4242,10.5929,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2b,i384nvme,m8idn.96xlarge,True,11.0232,10.96875,10.7944,11.0975,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2b,i384nvme,r8id.96xlarge,True,11.0721,11.2936,11.0721,11.4307,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2b,i384nvme,r8id.metal-96xl,True,10.4618,10.5788,10.4618,10.6862,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2b,i384nvme,r8idb.96xlarge,True,13.5391,13.5449,13.444,13.7889,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2b,i384nvme,r8idn.96xlarge,True,13.771,13.7577,13.6611,13.9083,9.99,0,0,0,EXCLUDE TODAY,72-hour minimum remained above the $9.99 global Spot ceiling.
us-west-2b,i192hugenvme,i7i.48xlarge,True,5.2387,5.3063,5.2387,5.399,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192hugenvme,i7i.metal-48xl,True,5.0761,5.1455,5.0454,5.411,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192hugenvme,i7ie.48xlarge,True,5.9299,6.15095,5.9299,6.2397,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192hugenvme,i7ie.metal-48xl,True,5.602,5.6016,5.5036,5.8619,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192hugenvme,r8id.48xlarge,True,4.7205,4.5626,4.0761,4.7294,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192hugenvme,r8id.metal-48xl,True,3.9767,4.1543,3.9767,4.5033,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192hugenvme,r8idb.48xlarge,True,3.9976,4.29455,3.9976,4.5784,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2b,i192hugenvme,r8idn.48xlarge,True,5.4861,5.166399999999999,4.8444,5.4861,8.7676,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2c,i96nvme,c5d.24xlarge,True,1.864,1.8579,1.8455,1.8993,4.7661,1,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2c,i96nvme,c5d.metal,True,1.8362,1.8401999999999998,1.8355,1.8519,4.7661,27,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2c,i96nvme,c6id.24xlarge,True,1.6012,1.60845,1.6012,1.6283,4.7661,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2c,i96nvme,c8id.24xlarge,True,1.3938,1.3022,1.2613,1.3938,4.7661,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2c,i96nvme,i3en.24xlarge,True,4.7331,4.7406,4.3798,4.7679,4.7661,0,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
us-west-2c,i96nvme,i3en.metal,True,2.6291,2.6125,2.5195,2.7515,4.7661,7,0,0,RETAIN,Offered in the AZ and not price-gated by today's computed bid.
