relative_path	size_bytes	caller	unit
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz	26569	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz.tbi	72	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.gatk.snv.vcf	314320	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.whatshap.homopolymer.vcf.gz	23078	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.whatshap.homopolymer.vcf.gz.tbi	72	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.whatshap.vcf.gz	22845	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.bed.whatshap.vcf.gz.tbi	72	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.indel.filtered.vcf.gz	28418	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.indel.filtered.vcf.gz.tbi	77	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.indel.vcf.gz	28168	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.indel.vcf.gz.tbi	77	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.snp.filtered.vcf.gz	31012	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.snp.filtered.vcf.gz.tbi	448	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.snp.vcf.gz	30332	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.snp.vcf.gz.tbi	439	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.vcf.gz	30129	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.filter.vcf.gz.tbi	443	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.gatk.raw.vcf.gz	30852	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.gatk.raw.vcf.gz.tbi	556	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.gatk.snv.vcf	324442	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.whatshap.homopolymer.vcf.gz	24802	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.whatshap.homopolymer.vcf.gz.tbi	434	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.whatshap.vcf.gz	24509	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.region.whatshap.vcf.gz.tbi	437	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/segdup/sentdhiomr/results/SMN1/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.SMN1.result.vcf.gz	22623	Sentieon HiOMR segdup SMN1	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/segdup/sentdhiomr/results/SMN1/HYB-4NA-smn12-20260612-NA00232-SMN-chip1-chip2-barcode18-PF-ILMN-NOVASEQ.SMN1.result.vcf.gz.tbi	72	Sentieon HiOMR segdup SMN1	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/segdup/sentdhiomr/results/SMN1/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ.SMN1.result.vcf.gz	22662	Sentieon HiOMR segdup SMN1	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ/align/sentmm2ont/na/segdup/sentdhiomr/results/SMN1/HYB-4NA-smn12-20260612-NA00232-SMN-chip4-only-sub-for-missing-chip3-barcode18-PF-ILMN-NOVASEQ.SMN1.result.vcf.gz.tbi	72	Sentieon HiOMR segdup SMN1	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.indel.filtered.vcf.gz	28424	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.indel.filtered.vcf.gz.tbi	77	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.indel.vcf.gz	28167	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.indel.vcf.gz.tbi	77	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.snp.filtered.vcf.gz	28483	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.snp.filtered.vcf.gz.tbi	77	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.snp.vcf.gz	28173	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.snp.vcf.gz.tbi	77	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.vcf.gz	27884	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.filter.vcf.gz.tbi	72	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz	26574	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.gatk.raw.vcf.gz.tbi	72	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.gatk.snv.vcf	314336	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.whatshap.homopolymer.vcf.gz	23083	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.whatshap.homopolymer.vcf.gz.tbi	72	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.whatshap.vcf.gz	22850	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/bed/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.bed.whatshap.vcf.gz.tbi	72	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.region.filter.indel.filtered.vcf.gz	28418	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.region.filter.indel.filtered.vcf.gz.tbi	77	HapSMA	
results/day/hg38_broad/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ/align/sentmm2ont/na/htd/hapsma/results/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.sentmm2ont.na/region/vcf/HYB-4NA-smn12-20260612-NA03986-DMPK-chip1-chip2-barcode20-PF-ILMN-NOVASEQ.region.filter.indel.vcf.gz	28174	HapSMA	
