template_group,templates,instance_type,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f,us-east-2a,us-east-2b,us-east-2c,us-west-1a,us-west-1b,us-west-2a,us-west-2b,us-west-2c,us-west-2d,ap-south-1a,ap-south-1b,ap-south-1c,eu-central-1a,eu-central-1b,eu-central-1c
intel,intel,i7i.48xlarge,9.687500,9.682500,4.541000,2.954300,,5.245400,6.441500,7.507000,9.704500,3.143300,1.998000,5.036400,5.251500,3.875100,2.369100,20.560300,3.184500,2.763500,4.538200,4.496900,5.020000
intel,intel,i7i.metal-48xl,1.812100,1.852500,1.812100,1.920300,,9.658300,2.846300,1.812100,3.516200,3.011800,4.180700,5.028600,5.326300,3.560400,3.336800,20.560300,5.012700,2.056000,2.160600,3.381500,3.385000
intel,intel,i7ie.2xlarge,0.329600,0.318500,0.374900,0.436400,,0.411900,0.341800,0.292900,0.307000,0.228500,0.388500,0.299700,0.285200,0.334000,0.192900,0.197100,0.288600,,0.399600,0.386000,0.404200
intel,intel,i7ie.48xlarge,11.607300,10.460100,11.702500,9.190600,,24.687400,10.552300,12.853100,11.735100,2.760000,2.760000,5.574200,6.186900,6.450000,7.735700,3.757500,3.768900,,20.494400,4.686800,5.051900
intel,intel,i7ie.metal-48xl,8.461000,8.883200,5.953300,6.336900,,24.693800,4.215500,2.495000,4.744900,4.097400,4.808200,5.907200,6.115000,6.455400,7.569800,2.837300,2.837300,,29.808000,2.980800,2.980800
intel,intel,m6i.32xlarge,1.843100,1.752200,1.662700,1.773400,,2.616100,1.764000,1.643800,1.644700,2.187900,1.607500,1.575300,1.906000,1.934600,1.769700,6.464000,1.224600,1.763000,2.447900,1.466100,2.546300
intel,intel,m6i.metal,1.897600,1.840900,0.819700,1.955600,,1.572800,1.330700,0.614400,1.176300,1.433500,1.601900,1.589600,1.709600,1.869700,1.118700,,1.879500,1.305500,1.185600,1.281800,1.742500
intel,intel,m6id.32xlarge,2.895500,3.313600,1.408500,2.462500,,4.315300,3.437700,2.849100,0.759400,3.699600,3.288800,3.124500,3.258400,3.447200,2.358000,2.899800,0.819800,1.693400,2.601200,2.905600,3.302800
intel,intel,m6id.metal,1.977400,2.019000,1.872000,1.917800,,1.977100,2.495600,2.340100,2.310100,3.011900,3.049300,1.972500,2.239500,2.201300,1.910400,3.929600,1.400400,2.279300,2.967100,2.969100,2.890700
intel,intel,m6idn.32xlarge,3.708600,3.574500,3.221000,5.222100,,3.593300,2.908700,3.939500,4.781200,4.744200,3.314000,1.694900,2.984600,1.890700,2.963900,1.085800,1.547200,1.085800,1.213100,2.168800,2.399500
intel,intel,m6idn.metal,2.594300,1.657600,2.996700,3.420700,,2.900100,3.502300,3.624400,9.029100,1.174000,4.253700,1.018400,1.844200,2.158200,1.690500,1.368100,1.085800,7.289500,1.213100,1.213100,1.213100
intel,intel,m6in.32xlarge,2.565600,2.495600,2.572100,3.822100,,2.703100,1.839900,2.289100,8.326400,1.399100,3.090200,2.112700,2.656300,1.918000,2.500700,1.070300,0.944000,2.645900,1.280700,1.074000,1.055800
intel,intel,m6in.metal,1.313900,1.255800,2.190700,2.682900,,2.744000,2.519500,2.064500,8.330600,1.039600,3.320600,1.529000,1.216900,1.353500,1.284700,0.928500,0.928500,9.285100,1.055800,1.055800,1.055800
intel,intel,m7i.48xlarge,4.024200,3.555500,3.613100,3.796400,,4.681600,3.752100,3.661600,3.590400,1.966900,1.975400,4.639300,4.608100,4.340700,3.784000,1.676000,1.513100,3.134700,3.580700,3.756700,3.829100
intel,intel,m7i.metal-48xl,2.508600,2.458800,2.398900,2.518000,,2.481400,1.521700,2.531300,2.785000,1.129000,2.354600,3.245500,3.140300,2.869500,2.054100,2.847600,2.036300,2.880200,2.775600,2.184300,3.307500
intel,intel,m8i.32xlarge,4.214800,3.006200,2.890000,4.724700,,4.095700,3.210900,3.251500,3.077800,1.630700,1.535400,3.286300,2.352800,2.261800,2.004200,1.221300,1.071200,2.041500,2.588500,1.768600,1.584600
intel,intel,m8i.48xlarge,3.015700,2.776800,3.752900,3.362200,,3.726400,4.275500,2.976700,4.690500,1.880600,2.052300,3.036100,2.908400,2.961700,2.455100,3.030600,3.294500,1.468500,3.178000,3.369400,2.575500
intel,intel,m8i.metal-48xl,2.976800,2.842300,3.027700,3.195200,,3.132800,3.521100,2.173100,3.632400,1.185400,2.068500,2.946000,2.977700,3.062100,2.470700,1.409700,1.778700,2.803300,2.863500,1.951400,4.248000
intel,intel,m8id.96xlarge,3.736800,6.254400,6.645400,4.509800,,6.749600,23.428500,22.607900,7.049900,,,4.439800,7.112600,25.059800,6.869700,,,,11.075700,7.735200,6.711700
intel,intel,m8id.metal-96xl,4.502100,2.506000,2.708000,5.297400,,5.372600,23.416600,2.506000,2.506000,,,10.414900,6.603700,6.324600,6.988600,,,,6.019600,5.059200,6.236300
intel,intel,m8idb.96xlarge,5.070500,9.397600,,9.895200,,,,,,,,11.039700,9.454200,11.200300,11.059600,,,,,,
intel,intel,m8idn.96xlarge,9.382300,3.666000,13.008900,7.360200,,,,,,,,10.584600,9.585500,10.642600,10.998700,,,,,,
intel,intel,r5.2xlarge,0.174400,0.166900,0.186400,0.169400,,0.166800,0.162000,0.160600,0.188100,0.182400,0.170600,0.165800,0.164300,0.150100,0.144100,0.230900,0.180300,0.173100,0.206400,0.231900,0.230800
intel,intel,r5n.2xlarge,0.351500,0.325400,0.366700,0.320700,,0.260800,0.230400,0.241400,0.228500,0.255100,0.331000,0.296300,0.283900,0.283200,,0.280400,0.335100,0.254800,0.350400,0.364000,0.338300
intel,intel,r6i.2xlarge,0.213700,0.214900,0.148200,0.224000,,0.173600,0.198000,0.198100,0.193000,0.197500,0.242400,0.192700,0.176800,0.206200,0.113300,0.155500,0.199500,0.171300,0.249500,0.247600,0.247500
intel,intel,r6i.32xlarge,2.947800,2.467200,2.397500,2.465500,,2.306900,3.857600,3.220800,2.904500,1.962800,2.974400,2.882100,3.098400,3.121200,1.718200,2.447900,2.357800,1.255000,3.586800,3.119400,3.893500
intel,intel,r6i.metal,3.426700,2.319200,2.007700,2.596100,,2.449400,0.954900,1.832300,2.353900,2.729800,3.045400,2.347300,2.396000,2.935000,1.840200,8.320000,1.168900,0.896600,3.270800,1.603400,2.531200
intel,intel,r6id.2xlarge,0.297300,0.305400,0.212300,0.281400,,0.211300,0.286900,0.204600,0.206300,,,0.268400,0.266500,0.256200,0.190800,0.323700,0.357600,0.188500,0.311700,0.289300,0.296700
intel,intel,r6id.32xlarge,5.666200,5.551300,3.000700,5.473500,,6.187700,3.474500,2.563500,2.836000,,,4.917900,4.710800,4.616000,2.750900,1.369800,5.553800,1.997900,4.177300,4.256600,4.420300
intel,intel,r6id.metal,4.771100,3.443300,3.753800,5.553900,,4.894600,3.594100,2.905300,2.696900,,,3.269000,3.304100,3.238300,2.858000,1.778200,4.269400,1.015000,3.590700,3.316600,3.076300
intel,intel,r7i.2xlarge,0.170900,0.208000,0.156700,0.194000,,0.165600,0.208400,0.212200,0.210800,0.191000,0.175400,0.197000,0.192200,0.180000,0.204900,0.181700,0.198100,0.159500,0.252900,0.249000,0.255100
intel,intel,r7i.48xlarge,4.003300,3.932700,4.097600,4.089300,,5.564300,5.519300,5.431900,5.118100,3.698200,3.622700,4.740300,4.335700,4.031200,4.069300,2.008900,1.970400,2.384000,3.835400,4.847200,4.742000
intel,intel,r7i.metal-48xl,3.657000,2.325900,2.548300,2.500500,,3.588100,1.270100,1.325800,2.919200,1.411200,1.411200,3.895600,3.418600,3.474400,2.460300,2.280400,2.479800,2.187300,2.428900,2.419600,2.930400
intel,intel,r8i.2xlarge,0.244300,0.228200,0.240200,0.298500,,0.209800,0.216600,0.223700,0.218900,0.231900,0.244900,0.218400,0.222900,0.237000,0.205700,0.213000,0.193400,0.201500,0.285400,0.289000,0.275400
intel,intel,r8i.32xlarge,3.492600,3.804900,3.568200,3.675300,,5.158900,4.152500,4.158300,3.967100,1.779300,1.754100,3.558400,3.062100,2.921300,3.059800,1.849500,1.531200,1.414000,1.918000,1.742000,2.116700
intel,intel,r8i.48xlarge,6.494100,6.093500,6.618600,6.578100,,4.872700,5.952300,6.055100,5.939600,4.906300,5.292000,4.136000,3.551600,3.389200,2.502200,1.949400,2.066800,1.889000,2.948700,2.946500,2.976900
intel,intel,r8i.metal-48xl,2.874900,3.122000,3.645300,2.959600,,3.570000,4.280400,1.854600,3.028500,3.697200,1.481800,3.941200,3.856800,3.134000,2.836100,1.694400,1.376000,13.759700,4.144500,16.087700,16.087700
intel,intel,r8id.96xlarge,11.495400,7.103400,31.596800,14.143700,,3.193300,29.854600,11.602900,10.102100,,,4.465500,11.255700,9.605600,9.737500,,,,12.655000,6.330100,6.345700
intel,intel,r8id.metal-96xl,7.665200,5.348800,8.762900,9.222100,,4.699800,10.656800,9.739500,8.500400,,,10.151100,10.105700,9.066100,10.358900,,,,6.103400,6.950000,6.160000
intel,intel,r8idb.96xlarge,18.000900,17.759400,,16.515200,,,11.123500,42.066300,8.686700,,,14.631000,12.943900,13.498200,,,,,,,
intel,intel,r8idn.96xlarge,16.029800,16.205600,,16.664500,,,25.279500,42.087600,7.490100,,,13.990100,12.914200,12.836400,,,,,,,
intel,intel,x2idn.32xlarge,4.828600,5.182000,5.169800,5.196800,,4.138100,3.289300,3.776400,3.190500,5.679900,3.447800,4.311000,4.456500,3.449000,,1.831500,1.802500,2.286800,2.950600,2.909200,2.995900
intel,intel,x2idn.metal,4.040100,4.001500,3.972900,4.380200,,5.894500,2.618400,2.827100,3.033500,1.734000,2.362500,2.503600,3.078500,2.604300,,1.817800,1.816100,1.956800,2.910600,2.929200,2.908400
intel,intel,x2iedn.32xlarge,7.474000,6.296000,4.538600,5.188900,,7.212500,6.718200,6.147600,6.303300,5.049600,5.059200,8.223900,3.571000,3.443600,,7.907000,27.524000,,3.734800,5.562600,3.734800
intel,intel,x2iedn.metal,11.698000,6.665500,4.911900,4.424900,,3.062500,3.448000,3.562100,3.362600,3.468000,3.468000,13.077900,4.053000,2.667600,,2.752400,27.524000,,18.027300,3.734800,3.734800
intel,intel,x8i.2xlarge,0.345100,0.299600,0.313800,0.505900,,0.258700,0.290800,0.189000,0.276100,,,0.234000,0.298400,0.321700,0.210800,0.146900,0.254600,,0.501800,0.513300,0.412500
intel,intel,x8i.32xlarge,2.648600,3.821200,3.440200,13.856100,,3.420700,3.657700,2.873700,3.453800,,,2.021000,4.223700,4.155700,3.834000,1.910100,1.944000,,3.203200,1.960800,3.121400
intel,intel,x8i.48xlarge,3.038900,5.786300,2.100800,20.791600,,2.277700,6.136300,5.743700,3.767500,,,4.922000,3.215000,3.978100,2.609100,2.167500,2.167500,,2.941200,8.506200,5.029800
intel,intel,x8i.metal-48xl,19.229800,8.340400,20.791600,20.495400,,20.791600,4.147300,2.100800,2.100800,,,2.100800,5.189200,2.608500,2.100800,3.254800,2.167500,,2.941200,29.411500,29.411500
