template_group,templates,instance_type,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f,us-east-2a,us-east-2b,us-east-2c,us-west-1a,us-west-1b,us-west-2a,us-west-2b,us-west-2c,us-west-2d
intel,intel,c8id.metal-96xl,8.064300,2.128900,4.312200,2.960900,,4.885000,6.126600,5.514900,2.128900,,,5.365500,6.587100,5.135800,6.157800
dragen,dragen_native_ami_rhel8;dragen_native_ami_rhel8_nofsx;dragen_pcluster_image_rhel8;dragen_pcluster_image_rhel8_nofsx,f2.6xlarge,0.673500,0.672100,0.647200,0.675500,,,,,,,,,0.680000,0.798900,
intel,intel,i4i.2xlarge,0.289000,0.298300,0.316700,0.297600,,0.266700,0.205000,0.197700,0.180500,0.176200,0.247300,0.274200,0.310300,0.296800,0.280600
intel,intel,i4i.32xlarge,3.684400,3.730700,3.390000,3.007000,,3.159300,2.520600,2.455000,2.448200,5.695000,2.580800,3.637700,3.662900,4.526400,2.473700
intel,intel,i4i.metal,4.377200,3.357600,3.069900,2.846200,,3.447200,1.403300,1.705500,1.537100,1.210900,1.210900,1.719400,3.228100,3.362300,3.301700
intel,intel,i7i.2xlarge,0.267200,0.269000,0.232600,0.311200,,0.231300,0.391900,0.391000,0.234800,0.272000,0.280200,0.269500,0.326600,0.225200,0.136500
intel,intel,i7i.48xlarge,9.687500,9.682500,4.541000,2.954300,,5.245400,6.441500,7.507000,9.704500,3.143300,1.998000,5.036400,5.251500,3.875100,2.369100
intel,intel,i7i.metal-48xl,1.812100,1.852500,1.812100,1.920300,,9.658300,2.846300,1.812100,3.516200,3.011800,4.180700,5.028600,5.326300,3.560400,3.336800
intel,intel,i7ie.2xlarge,0.329600,0.318500,0.374900,0.436400,,0.411900,0.341800,0.292900,0.307000,0.228500,0.388500,0.299700,0.285200,0.334000,0.192900
intel,intel,i7ie.48xlarge,11.607300,10.460100,11.702500,9.190600,,24.687400,10.552300,12.853100,11.735100,2.760000,2.760000,5.574200,6.186900,6.450000,7.735700
intel,intel,i7ie.metal-48xl,8.461000,8.883200,5.953300,6.336900,,24.693800,4.215500,2.495000,4.744900,4.097400,4.808200,5.907200,6.115000,6.455400,7.569800
intel,intel,m6i.32xlarge,1.843100,1.752200,1.662700,1.773400,,2.616100,1.764000,1.643800,1.644700,2.187900,1.607500,1.575300,1.906000,1.934600,1.769700
intel,intel,m6i.metal,1.897600,1.840900,0.819700,1.955600,,1.572800,1.330700,0.614400,1.176300,1.433500,1.601900,1.589600,1.709600,1.869700,1.118700
intel,intel,m6id.32xlarge,2.895500,3.313600,1.408500,2.462500,,4.315300,3.437700,2.849100,0.759400,3.699600,3.288800,3.124500,3.258400,3.447200,2.358000
intel,intel,m6id.metal,1.977400,2.019000,1.872000,1.917800,,1.977100,2.495600,2.340100,2.310100,3.011900,3.049300,1.972500,2.239500,2.201300,1.910400
intel,intel,m6idn.32xlarge,3.708600,3.574500,3.221000,5.222100,,3.593300,2.908700,3.939500,4.781200,4.744200,3.314000,1.694900,2.984600,1.890700,2.963900
intel,intel,m6idn.metal,2.594300,1.657600,2.996700,3.420700,,2.900100,3.502300,3.624400,9.029100,1.174000,4.253700,1.018400,1.844200,2.158200,1.690500
intel,intel,m6in.32xlarge,2.565600,2.495600,2.572100,3.822100,,2.703100,1.839900,2.289100,8.326400,1.399100,3.090200,2.112700,2.656300,1.918000,2.500700
intel,intel,m6in.metal,1.313900,1.255800,2.190700,2.682900,,2.744000,2.519500,2.064500,8.330600,1.039600,3.320600,1.529000,1.216900,1.353500,1.284700
intel,intel,m7i.48xlarge,4.024200,3.555500,3.613100,3.796400,,4.681600,3.752100,3.661600,3.590400,1.966900,1.975400,4.639300,4.608100,4.340700,3.784000
intel,intel,m7i.metal-48xl,2.508600,2.458800,2.398900,2.518000,,2.481400,1.521700,2.531300,2.785000,1.129000,2.354600,3.245500,3.140300,2.869500,2.054100
intel,intel,m8i.32xlarge,4.214800,3.006200,2.890000,4.724700,,4.095700,3.210900,3.251500,3.077800,1.630700,1.535400,3.286300,2.352800,2.261800,2.004200
intel,intel,m8i.48xlarge,3.015700,2.776800,3.752900,3.362200,,3.726400,4.275500,2.976700,4.690500,1.880600,2.052300,3.036100,2.908400,2.961700,2.455100
intel,intel,m8i.metal-48xl,2.976800,2.842300,3.027700,3.195200,,3.132800,3.521100,2.173100,3.632400,1.185400,2.068500,2.946000,2.977700,3.062100,2.470700
intel,intel,m8id.96xlarge,3.736800,6.254400,6.645400,4.509800,,6.749600,23.428500,22.607900,7.049900,,,4.439800,7.112600,25.059800,6.869700
intel,intel,m8id.metal-96xl,4.502100,2.506000,2.708000,5.297400,,5.372600,23.416600,2.506000,2.506000,,,10.414900,6.603700,6.324600,6.988600
intel,intel,m8idb.96xlarge,5.070500,9.397600,,9.895200,,,,,,,,11.039700,9.454200,11.200300,11.059600
intel,intel,m8idn.96xlarge,9.382300,3.666000,13.008900,7.360200,,,,,,,,10.584600,9.585500,10.642600,10.998700
intel,intel,r5.2xlarge,0.174400,0.166900,0.186400,0.169400,,0.166800,0.162000,0.160600,0.188100,0.182400,0.170600,0.165800,0.164300,0.150100,0.144100
intel,intel,r5n.2xlarge,0.351500,0.325400,0.366700,0.320700,,0.260800,0.230400,0.241400,0.228500,0.255100,0.331000,0.296300,0.283900,0.283200,
intel,intel,r6i.2xlarge,0.213700,0.214900,0.148200,0.224000,,0.173600,0.198000,0.198100,0.193000,0.197500,0.242400,0.192700,0.176800,0.206200,0.113300
intel,intel,r6i.32xlarge,2.947800,2.467200,2.397500,2.465500,,2.306900,3.857600,3.220800,2.904500,1.962800,2.974400,2.882100,3.098400,3.121200,1.718200
intel,intel,r6i.metal,3.426700,2.319200,2.007700,2.596100,,2.449400,0.954900,1.832300,2.353900,2.729800,3.045400,2.347300,2.396000,2.935000,1.840200
intel,intel,r6id.2xlarge,0.297300,0.305400,0.212300,0.281400,,0.211300,0.286900,0.204600,0.206300,,,0.268400,0.266500,0.256200,0.190800
intel,intel,r6id.32xlarge,5.666200,5.551300,3.000700,5.473500,,6.187700,3.474500,2.563500,2.836000,,,4.917900,4.710800,4.616000,2.750900
intel,intel,r6id.metal,4.771100,3.443300,3.753800,5.553900,,4.894600,3.594100,2.905300,2.696900,,,3.269000,3.304100,3.238300,2.858000
intel,intel,r7i.2xlarge,0.170900,0.208000,0.156700,0.194000,,0.165600,0.208400,0.212200,0.210800,0.191000,0.175400,0.197000,0.192200,0.180000,0.204900
intel,intel,r7i.48xlarge,4.003300,3.932700,4.097600,4.089300,,5.564300,5.519300,5.431900,5.118100,3.698200,3.622700,4.740300,4.335700,4.031200,4.069300
intel,intel,r7i.metal-48xl,3.657000,2.325900,2.548300,2.500500,,3.588100,1.270100,1.325800,2.919200,1.411200,1.411200,3.895600,3.418600,3.474400,2.460300
intel,intel,r8i.2xlarge,0.244300,0.228200,0.240200,0.298500,,0.209800,0.216600,0.223700,0.218900,0.231900,0.244900,0.218400,0.222900,0.237000,0.205700
intel,intel,r8i.32xlarge,3.492600,3.804900,3.568200,3.675300,,5.158900,4.152500,4.158300,3.967100,1.779300,1.754100,3.558400,3.062100,2.921300,3.059800
intel,intel,r8i.48xlarge,6.494100,6.093500,6.618600,6.578100,,4.872700,5.952300,6.055100,5.939600,4.906300,5.292000,4.136000,3.551600,3.389200,2.502200
intel,intel,r8i.metal-48xl,2.874900,3.122000,3.645300,2.959600,,3.570000,4.280400,1.854600,3.028500,3.697200,1.481800,3.941200,3.856800,3.134000,2.836100
intel,intel,r8id.96xlarge,11.495400,7.103400,31.596800,14.143700,,3.193300,29.854600,11.602900,10.102100,,,4.465500,11.255700,9.605600,9.737500
intel,intel,r8id.metal-96xl,7.665200,5.348800,8.762900,9.222100,,4.699800,10.656800,9.739500,8.500400,,,10.151100,10.105700,9.066100,10.358900
intel,intel,r8idb.96xlarge,18.000900,17.759400,,16.515200,,,11.123500,42.066300,8.686700,,,14.631000,12.943900,13.498200,
intel,intel,r8idn.96xlarge,16.029800,16.205600,,16.664500,,,25.279500,42.087600,7.490100,,,13.990100,12.914200,12.836400,
intel,intel,x2idn.32xlarge,4.828600,5.182000,5.169800,5.196800,,4.138100,3.289300,3.776400,3.190500,5.679900,3.447800,4.311000,4.456500,3.449000,
intel,intel,x2idn.metal,4.040100,4.001500,3.972900,4.380200,,5.894500,2.618400,2.827100,3.033500,1.734000,2.362500,2.503600,3.078500,2.604300,
intel,intel,x2iedn.32xlarge,7.474000,6.296000,4.538600,5.188900,,7.212500,6.718200,6.147600,6.303300,5.049600,5.059200,8.223900,3.571000,3.443600,
intel,intel,x2iedn.metal,11.698000,6.665500,4.911900,4.424900,,3.062500,3.448000,3.562100,3.362600,3.468000,3.468000,13.077900,4.053000,2.667600,
intel,intel,x8i.2xlarge,0.345100,0.299600,0.313800,0.505900,,0.258700,0.290800,0.189000,0.276100,,,0.234000,0.298400,0.321700,0.210800
intel,intel,x8i.32xlarge,2.648600,3.821200,3.440200,13.856100,,3.420700,3.657700,2.873700,3.453800,,,2.021000,4.223700,4.155700,3.834000
intel,intel,x8i.48xlarge,3.038900,5.786300,2.100800,20.791600,,2.277700,6.136300,5.743700,3.767500,,,4.922000,3.215000,3.978100,2.609100
intel,intel,x8i.metal-48xl,19.229800,8.340400,20.791600,20.495400,,20.791600,4.147300,2.100800,2.100800,,,2.100800,5.189200,2.608500,2.100800
