template_group,templates,template_locations,instance_type,region,availability_zone,availability_zone_id,instance_type_offered_in_az,spot_history_present,status,spot_price,spot_timestamp,product_description,error
intel,intel,intel:i128/price128,c6i.32xlarge,ap-south-1,ap-south-1b,aps1-az3,true,true,present,1.296000,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,ap-south-1,ap-south-1c,aps1-az2,true,true,present,1.353400,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,eu-central-1,eu-central-1a,euc1-az2,true,true,present,2.427200,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,eu-central-1,eu-central-1b,euc1-az3,true,true,present,2.589100,2026-07-08T03:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.32xlarge,eu-central-1,eu-central-1c,euc1-az1,true,true,present,2.542900,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-east-1,us-east-1a,use1-az4,true,true,present,1.720700,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-east-1,us-east-1b,use1-az6,true,true,present,1.383300,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-east-1,us-east-1c,use1-az1,true,true,present,1.637500,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-east-1,us-east-1d,use1-az2,true,true,present,1.812200,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-east-1,us-east-1e,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i128/price128,c6i.metal,us-east-1,us-east-1f,use1-az5,true,true,present,1.470200,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-east-2,us-east-2a,use2-az1,true,true,present,1.845800,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-east-2,us-east-2b,use2-az2,true,true,present,1.524700,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-east-2,us-east-2c,use2-az3,true,true,present,1.435300,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-west-1,us-west-1a,usw1-az3,true,true,present,1.328300,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-west-1,us-west-1b,usw1-az1,true,true,present,2.107200,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-west-2,us-west-2a,usw2-az2,true,true,present,1.559900,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-west-2,us-west-2b,usw2-az1,true,true,present,1.601900,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-west-2,us-west-2c,usw2-az3,true,true,present,1.581400,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,us-west-2,us-west-2d,usw2-az4,true,true,present,1.425000,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,ap-south-1,ap-south-1a,aps1-az1,true,true,present,0.912300,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,ap-south-1,ap-south-1b,aps1-az3,true,true,present,1.054800,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,ap-south-1,ap-south-1c,aps1-az2,true,true,present,1.281300,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,eu-central-1,eu-central-1a,euc1-az2,true,true,present,1.529400,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,eu-central-1,eu-central-1b,euc1-az3,true,true,present,1.366800,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6i.metal,eu-central-1,eu-central-1c,euc1-az1,true,true,present,1.790500,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-1,us-east-1a,use1-az4,true,true,present,1.903200,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-1,us-east-1b,use1-az6,true,true,present,2.112100,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-1,us-east-1c,use1-az1,true,true,present,1.745300,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-1,us-east-1d,use1-az2,true,true,present,1.708300,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-1,us-east-1e,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-1,us-east-1f,use1-az5,true,true,present,1.489600,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-2,us-east-2a,use2-az1,true,true,present,1.659300,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-2,us-east-2b,use2-az2,true,true,present,1.827500,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-east-2,us-east-2c,use2-az3,true,true,present,1.679900,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-west-1,us-west-1a,usw1-az3,true,true,present,1.748600,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-west-1,us-west-1b,usw1-az1,true,true,present,1.901000,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-west-2,us-west-2a,usw2-az2,true,true,present,2.402900,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-west-2,us-west-2b,usw2-az1,true,true,present,2.065500,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-west-2,us-west-2c,usw2-az3,true,true,present,2.549100,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,us-west-2,us-west-2d,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i128/price128,c6in.32xlarge,ap-south-1,ap-south-1a,aps1-az1,true,true,present,1.468700,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,ap-south-1,ap-south-1b,aps1-az3,true,true,present,1.340700,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,ap-south-1,ap-south-1c,aps1-az2,true,true,present,1.732300,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,eu-central-1,eu-central-1a,euc1-az2,true,true,present,2.881900,2026-07-08T03:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,eu-central-1,eu-central-1b,euc1-az3,true,true,present,1.951000,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.32xlarge,eu-central-1,eu-central-1c,euc1-az1,true,true,present,3.212500,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-east-1,us-east-1a,use1-az4,true,true,present,1.785800,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-east-1,us-east-1b,use1-az6,true,true,present,1.773200,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-east-1,us-east-1c,use1-az1,true,true,present,1.293200,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-east-1,us-east-1d,use1-az2,true,true,present,1.730900,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-east-1,us-east-1e,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i128/price128,c6in.metal,us-east-1,us-east-1f,use1-az5,true,true,present,1.891200,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-east-2,us-east-2a,use2-az1,true,true,present,1.804300,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-east-2,us-east-2b,use2-az2,true,true,present,1.878200,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-east-2,us-east-2c,use2-az3,true,true,present,2.332000,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-west-1,us-west-1a,usw1-az3,true,true,present,1.946700,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-west-1,us-west-1b,usw1-az1,true,true,present,1.741600,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-west-2,us-west-2a,usw2-az2,true,true,present,2.002400,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-west-2,us-west-2b,usw2-az1,true,true,present,2.074000,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-west-2,us-west-2c,usw2-az3,true,true,present,1.592600,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,us-west-2,us-west-2d,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i128/price128,c6in.metal,ap-south-1,ap-south-1a,aps1-az1,true,true,present,1.417600,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,ap-south-1,ap-south-1b,aps1-az3,true,true,present,0.765400,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,ap-south-1,ap-south-1c,aps1-az2,true,true,present,1.522500,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,eu-central-1,eu-central-1a,euc1-az2,true,true,present,0.826600,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,eu-central-1,eu-central-1b,euc1-az3,true,true,present,2.046700,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c6in.metal,eu-central-1,eu-central-1c,euc1-az1,true,true,present,0.826600,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-1,us-east-1a,use1-az4,true,true,present,2.918500,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-1,us-east-1b,use1-az6,true,true,present,2.811600,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-1,us-east-1c,use1-az1,true,true,present,2.902700,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-1,us-east-1d,use1-az2,true,true,present,3.302100,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-1,us-east-1e,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-1,us-east-1f,use1-az5,true,true,present,3.078900,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-2,us-east-2a,use2-az1,true,true,present,3.432200,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-2,us-east-2b,use2-az2,true,true,present,3.426600,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-east-2,us-east-2c,use2-az3,true,true,present,3.689100,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-west-1,us-west-1a,usw1-az3,true,true,present,1.966600,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-west-1,us-west-1b,usw1-az1,true,true,present,1.942700,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-west-2,us-west-2a,usw2-az2,true,true,present,3.819900,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-west-2,us-west-2b,usw2-az1,true,true,present,3.814700,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-west-2,us-west-2c,usw2-az3,true,true,present,4.028800,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,us-west-2,us-west-2d,usw2-az4,true,true,present,3.079300,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,ap-south-1,ap-south-1a,aps1-az1,true,true,present,2.695900,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,ap-south-1,ap-south-1b,aps1-az3,true,true,present,3.292400,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,ap-south-1,ap-south-1c,aps1-az2,true,true,present,2.982600,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,eu-central-1,eu-central-1a,euc1-az2,true,true,present,2.909500,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,eu-central-1,eu-central-1b,euc1-az3,true,true,present,3.017900,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.48xlarge,eu-central-1,eu-central-1c,euc1-az1,true,true,present,2.425000,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-1,us-east-1a,use1-az4,true,true,present,2.586200,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-1,us-east-1b,use1-az6,true,true,present,2.784100,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-1,us-east-1c,use1-az1,true,true,present,2.471800,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-1,us-east-1d,use1-az2,true,true,present,2.459200,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-1,us-east-1e,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-1,us-east-1f,use1-az5,true,true,present,2.289400,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-2,us-east-2a,use2-az1,true,true,present,1.546000,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-2,us-east-2b,use2-az2,true,true,present,2.304500,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-east-2,us-east-2c,use2-az3,true,true,present,1.930600,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-west-1,us-west-1a,usw1-az3,true,true,present,1.989200,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-west-1,us-west-1b,usw1-az1,true,true,present,1.068500,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-west-2,us-west-2a,usw2-az2,true,true,present,2.788200,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-west-2,us-west-2b,usw2-az1,true,true,present,2.751900,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-west-2,us-west-2c,usw2-az3,true,true,present,2.695000,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,us-west-2,us-west-2d,usw2-az4,true,true,present,2.341100,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,ap-south-1,ap-south-1a,aps1-az1,true,true,present,2.419500,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,ap-south-1,ap-south-1b,aps1-az3,true,true,present,2.251800,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,ap-south-1,ap-south-1c,aps1-az2,true,true,present,1.320800,2026-07-08T02:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,eu-central-1,eu-central-1a,euc1-az2,true,true,present,3.030900,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,eu-central-1,eu-central-1b,euc1-az3,true,true,present,2.699800,2026-07-08T02:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c7i.metal-48xl,eu-central-1,eu-central-1c,euc1-az1,true,true,present,3.179200,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-1,us-east-1a,use1-az4,true,true,present,2.345800,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-1,us-east-1b,use1-az6,true,true,present,2.227400,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-1,us-east-1c,use1-az1,true,true,present,2.132600,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-1,us-east-1d,use1-az2,true,true,present,2.738600,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-1,us-east-1e,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-1,us-east-1f,use1-az5,true,true,present,5.935800,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-2,us-east-2a,use2-az1,true,true,present,2.557700,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-2,us-east-2b,use2-az2,true,true,present,2.004200,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-east-2,us-east-2c,use2-az3,true,true,present,2.574600,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-west-1,us-west-1a,usw1-az3,true,true,present,1.555200,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-west-1,us-west-1b,usw1-az1,true,true,present,1.585900,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-west-2,us-west-2a,usw2-az2,true,true,present,2.724600,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-west-2,us-west-2b,usw2-az1,true,true,present,2.472000,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-west-2,us-west-2c,usw2-az3,true,true,present,1.984100,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,us-west-2,us-west-2d,usw2-az4,true,true,present,1.767600,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,ap-south-1,ap-south-1a,aps1-az1,true,true,present,1.706100,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,ap-south-1,ap-south-1b,aps1-az3,true,true,present,1.132200,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,ap-south-1,ap-south-1c,aps1-az2,true,true,present,1.144100,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,eu-central-1,eu-central-1a,euc1-az2,true,true,present,1.989200,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,eu-central-1,eu-central-1b,euc1-az3,true,true,present,1.602200,2026-07-08T03:00:00+00:00,Linux/UNIX,
intel,intel,intel:i128/price128,c8i.32xlarge,eu-central-1,eu-central-1c,euc1-az1,true,true,present,1.447900,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-1,us-east-1a,use1-az4,true,true,present,2.816000,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-1,us-east-1b,use1-az6,true,true,present,2.801800,2026-07-08T05:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-1,us-east-1c,use1-az1,true,true,present,2.483700,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-1,us-east-1d,use1-az2,true,true,present,2.577000,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-1,us-east-1e,,false,false,not_offered_no_spot_history,,,,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-1,us-east-1f,use1-az5,true,true,present,8.996200,2026-06-08T11:25:22+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-2,us-east-2a,use2-az1,true,true,present,3.091000,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-2,us-east-2b,use2-az2,true,true,present,2.489500,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-east-2,us-east-2c,use2-az3,true,true,present,3.593900,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-west-1,us-west-1a,usw1-az3,true,true,present,3.071100,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-west-1,us-west-1b,usw1-az1,true,true,present,2.020500,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-west-2,us-west-2a,usw2-az2,true,true,present,2.886100,2026-07-08T07:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-west-2,us-west-2b,usw2-az1,true,true,present,3.123400,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-west-2,us-west-2c,usw2-az3,true,true,present,3.271300,2026-07-08T04:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,us-west-2,us-west-2d,usw2-az4,true,true,present,2.849000,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,ap-south-1,ap-south-1a,aps1-az1,true,true,present,1.523100,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,ap-south-1,ap-south-1b,aps1-az3,true,true,present,1.343700,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,ap-south-1,ap-south-1c,aps1-az2,true,true,present,1.525000,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,eu-central-1,eu-central-1a,euc1-az2,true,true,present,3.177700,2026-07-08T06:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,eu-central-1,eu-central-1b,euc1-az3,true,true,present,2.069700,2026-07-08T08:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.48xlarge,eu-central-1,eu-central-1c,euc1-az1,true,true,present,2.784600,2026-07-08T09:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.metal-48xl,us-east-1,us-east-1a,use1-az4,true,true,present,1.260400,2026-07-08T02:00:00+00:00,Linux/UNIX,
intel,intel,intel:i192/price192,c8i.metal-48xl,us-east-1,us-east-1b,use1-az6,true,true,present,3.458500,2026-07-08T02:00:00+00:00,Linux/UNIX,
