LIBRARY_ID	LIBRARY_EUID	SAMPLEID	LIBPREP	AMPLIFICATION_TYPE	LIBRARY_COMMENT
LIB-ilmn-run16-r16-line100-ILMN-CASE2-P-c-ONT		CASE2-P	UNKNOWN	WGS	Corrected line 100; ONT library CASE2-P-c
LIB-ilmn-run16-r16-line102-BUCCAL1-b-ILMN		BUCCAL1	UNKNOWN	WGS	Corrected line 102; ILMN library spec_60
LIB-ilmn-run16-r16-line102-BUCCAL1-b-ONT		BUCCAL1	UNKNOWN	WGS	Corrected line 102; ONT library BUCCAL1
LIB-ilmn-run16-r16-line103-BUCCAL2-b-ILMN		BUCCAL2	UNKNOWN	WGS	Corrected line 103; ILMN library spec_68
LIB-ilmn-run16-r16-line103-BUCCAL2-b-ONT		BUCCAL2	UNKNOWN	WGS	Corrected line 103; ONT library BUCCAL2
LIB-ilmn-run16-r16-line104-BUCCAL3-b-ILMN		BUCCAL3	UNKNOWN	WGS	Corrected line 104; ILMN library spec_75
LIB-ilmn-run16-r16-line104-BUCCAL3-b-ONT		BUCCAL3	UNKNOWN	WGS	Corrected line 104; ONT library BUCCAL3
LIB-ilmn-run16-r16-line105-BUCCAL10-ILMN		BUCCAL10	UNKNOWN	WGS	Corrected line 105; ILMN library BUCCAL10
LIB-ilmn-run16-r16-line105-BUCCAL10-ONT		BUCCAL10	UNKNOWN	WGS	Corrected line 105; ONT library BUCCAL10
LIB-ilmn-run16-r16-line106-ILMN-CASE5-M-ILMN		CASE5-M	UNKNOWN	WGS	Corrected line 106; ILMN library ILMN-CASE5-M
LIB-ilmn-run16-r16-line106-ILMN-CASE5-M-ONT		CASE5-M	UNKNOWN	WGS	Corrected line 106; ONT library CASE5-M
LIB-ilmn-run16-r16-line107-ILMN-CASE5-F-ILMN		CASE5-F	UNKNOWN	WGS	Corrected line 107; ILMN library ILMN-CASE5-F
LIB-ilmn-run16-r16-line107-ILMN-CASE5-F-ONT		CASE5-F	UNKNOWN	WGS	Corrected line 107; ONT library CASE5-F
LIB-ilmn-run16-r16-line108-ILMN-CASE7-M-ILMN		CASE7-M	UNKNOWN	WGS	Corrected line 108; ILMN library ILMN-CASE7-M
LIB-ilmn-run16-r16-line108-ILMN-CASE7-M-ONT		CASE7-M	UNKNOWN	WGS	Corrected line 108; ONT library CASE7-M
LIB-ilmn-run16-r16-line109-ILMN-CASE7-F-ILMN		CASE7-F	UNKNOWN	WGS	Corrected line 109; ILMN library ILMN-CASE7-F
LIB-ilmn-run16-r16-line109-ILMN-CASE7-F-ONT		CASE7-F	UNKNOWN	WGS	Corrected line 109; ONT library CASE7-F
LIB-ilmn-run16-r16-line110-ILMN-CASE9-M-ILMN		CASE9-M	UNKNOWN	WGS	Corrected line 110; ILMN library ILMN-CASE9-M
LIB-ilmn-run16-r16-line110-ILMN-CASE9-M-ONT		CASE9-M	UNKNOWN	WGS	Corrected line 110; ONT library CASE9-M
LIB-ilmn-run16-r16-line111-ILMN-CASE10-M-ILMN		CASE10-M	UNKNOWN	WGS	Corrected line 111; ILMN library ILMN-CASE10-M
LIB-ilmn-run16-r16-line111-ILMN-CASE10-M-ONT		CASE10-M	UNKNOWN	WGS	Corrected line 111; ONT library CASE10-M
LIB-ilmn-run16-r16-line112-ILMN-CASE10-F-ILMN		CASE10-F	UNKNOWN	WGS	Corrected line 112; ILMN library ILMN-CASE10-F
LIB-ilmn-run16-r16-line112-ILMN-CASE10-F-ONT		CASE10-F	UNKNOWN	WGS	Corrected line 112; ONT library CASE10-F
LIB-ilmn-run16-r16-line113-ILMN-CASE11-P-ILMN		CASE11-P	UNKNOWN	WGS	Corrected line 113; ILMN library ILMN-CASE11-P
LIB-ilmn-run16-r16-line113-ILMN-CASE11-P-ONT		CASE11-P	UNKNOWN	WGS	Corrected line 113; ONT library CASE11-P
LIB-ilmn-run16-r16-line114-ILMN-CASE11-M-ILMN		CASE11-M	UNKNOWN	WGS	Corrected line 114; ILMN library ILMN-CASE11-M
LIB-ilmn-run16-r16-line114-ILMN-CASE11-M-ONT		CASE11-M	UNKNOWN	WGS	Corrected line 114; ONT library CASE11-M
LIB-ilmn-run16-r16-line115-ILMN-CASE12-P-ILMN		CASE12-P	UNKNOWN	WGS	Corrected line 115; ILMN library ILMN-CASE12-P
LIB-ilmn-run16-r16-line115-ILMN-CASE12-P-ONT		CASE12-P	UNKNOWN	WGS	Corrected line 115; ONT library CASE12-P
LIB-ilmn-run16-r16-line116-ILMN-CASE12-M-ILMN		CASE12-M	UNKNOWN	WGS	Corrected line 116; ILMN library ILMN-CASE12-M
LIB-ilmn-run16-r16-line116-ILMN-CASE12-M-ONT		CASE12-M	UNKNOWN	WGS	Corrected line 116; ONT library CASE12-M
LIB-ilmn-run16-r16-line117-ILMN-CASE13-P-ILMN		CASE13-P	UNKNOWN	WGS	Corrected line 117; ILMN library ILMN-CASE13-P
LIB-ilmn-run16-r16-line117-ILMN-CASE13-P-ONT		CASE13-P	UNKNOWN	WGS	Corrected line 117; ONT library CASE13-P
LIB-ilmn-run16-r16-line118-ILMN-CASE13-M-ILMN		CASE13-M	UNKNOWN	WGS	Corrected line 118; ILMN library ILMN-CASE13-M
LIB-ilmn-run16-r16-line118-ILMN-CASE13-M-ONT		CASE13-M	UNKNOWN	WGS	Corrected line 118; ONT library CASE13-M
LIB-ilmn-run16-r16-line119-ILMN-CASE13-F-ILMN		CASE13-F	UNKNOWN	WGS	Corrected line 119; ILMN library ILMN-CASE13-F
LIB-ilmn-run16-r16-line119-ILMN-CASE13-F-ONT		CASE13-F	UNKNOWN	WGS	Corrected line 119; ONT library CASE13-F
LIB-ilmn-run16-r16-line120-ILMN-CASE14-P-ILMN		CASE14-P	UNKNOWN	WGS	Corrected line 120; ILMN library ILMN-CASE14-P
LIB-ilmn-run16-r16-line120-ILMN-CASE14-P-ONT		CASE14-P	UNKNOWN	WGS	Corrected line 120; ONT library CASE14-P
LIB-ilmn-run16-r16-line121-ILMN-CASE14-M-ILMN		CASE14-M	UNKNOWN	WGS	Corrected line 121; ILMN library ILMN-CASE14-M
LIB-ilmn-run16-r16-line121-ILMN-CASE14-M-ONT		CASE14-M	UNKNOWN	WGS	Corrected line 121; ONT library CASE14-M
LIB-ilmn-run16-r16-line122-ILMN-CASE14-F-ILMN		CASE14-F	UNKNOWN	WGS	Corrected line 122; ILMN library ILMN-CASE14-F
LIB-ilmn-run16-r16-line122-ILMN-CASE14-F-ONT		CASE14-F	UNKNOWN	WGS	Corrected line 122; ONT library CASE14-F
LIB-ilmn-run16-r16-line123-ILMN-CASE15-P-ILMN		CASE15-P	UNKNOWN	WGS	Corrected line 123; ILMN library ILMN-CASE15-P
LIB-ilmn-run16-r16-line123-ILMN-CASE15-P-ONT		CASE15-P	UNKNOWN	WGS	Corrected line 123; ONT library CASE15-P
LIB-ilmn-run16-r16-line124-ILMN-CASE16-P-ILMN		CASE16-P	UNKNOWN	WGS	Corrected line 124; ILMN library ILMN-CASE16-P
LIB-ilmn-run16-r16-line124-ILMN-CASE16-P-ONT		CASE16-P	UNKNOWN	WGS	Corrected line 124; ONT library CASE16-P
LIB-ilmn-run16-r16-line125-ILMN-CASE16-M-ILMN		CASE16-M	UNKNOWN	WGS	Corrected line 125; ILMN library ILMN-CASE16-M
LIB-ilmn-run16-r16-line125-ILMN-CASE16-M-ONT		CASE16-M	UNKNOWN	WGS	Corrected line 125; ONT library CASE16-M
LIB-ilmn-run16-r16-line126-ILMN-CASE17-ILMN		CASE17	UNKNOWN	WGS	Corrected line 126; ILMN library ILMN-CASE17
LIB-ilmn-run16-r16-line126-ILMN-CASE17-ONT		CASE17	UNKNOWN	WGS	Corrected line 126; ONT library CASE17
LIB-ilmn-run16-r16-line127-ILMN-CASE18-ILMN		CASE18	UNKNOWN	WGS	Corrected line 127; ILMN library ILMN-CASE18
LIB-ilmn-run16-r16-line127-ILMN-CASE18-ONT		CASE18	UNKNOWN	WGS	Corrected line 127; ONT library CASE18
LIB-ilmn-run16-r16-line128-ILMN-CASE19-P-ILMN		CASE19-P	UNKNOWN	WGS	Corrected line 128; ILMN library ILMN-CASE19-P
LIB-ilmn-run16-r16-line128-ILMN-CASE19-P-ONT		CASE19-P	UNKNOWN	WGS	Corrected line 128; ONT library CASE19-P
LIB-ilmn-run16-r16-line129-ILMN-CASE19-M-ILMN		CASE19-M	UNKNOWN	WGS	Corrected line 129; ILMN library ILMN-CASE19-M
LIB-ilmn-run16-r16-line129-ILMN-CASE19-M-ONT		CASE19-M	UNKNOWN	WGS	Corrected line 129; ONT library CASE19-M
