ANALYSIS_UNIT_UID	SEQUENCING_INPUT_UID	ROLE	INPUT_ORDINAL
AU-ilmn-run16-r16-line124-ILMN-CASE16-P-HIOMRS	INPUT-ilmn-run16-r16-line124-ILMN-CASE16-P-ONT	lr	2
AU-ilmn-run16-r16-line125-ILMN-CASE16-M-HIOMRS	INPUT-ilmn-run16-r16-line125-ILMN-CASE16-M-ILMN	sr	1
AU-ilmn-run16-r16-line125-ILMN-CASE16-M-HIOMRS	INPUT-ilmn-run16-r16-line125-ILMN-CASE16-M-ONT	lr	2
AU-ilmn-run16-r16-line126-ILMN-CASE17-HIOMRS	INPUT-ilmn-run16-r16-line126-ILMN-CASE17-ILMN	sr	1
AU-ilmn-run16-r16-line126-ILMN-CASE17-HIOMRS	INPUT-ilmn-run16-r16-line126-ILMN-CASE17-ONT	lr	2
AU-ilmn-run16-r16-line127-ILMN-CASE18-HIOMRS	INPUT-ilmn-run16-r16-line127-ILMN-CASE18-ILMN	sr	1
AU-ilmn-run16-r16-line127-ILMN-CASE18-HIOMRS	INPUT-ilmn-run16-r16-line127-ILMN-CASE18-ONT	lr	2
AU-ilmn-run16-r16-line128-ILMN-CASE19-P-HIOMRS	INPUT-ilmn-run16-r16-line128-ILMN-CASE19-P-ILMN	sr	1
AU-ilmn-run16-r16-line128-ILMN-CASE19-P-HIOMRS	INPUT-ilmn-run16-r16-line128-ILMN-CASE19-P-ONT	lr	2
AU-ilmn-run16-r16-line129-ILMN-CASE19-M-HIOMRS	INPUT-ilmn-run16-r16-line129-ILMN-CASE19-M-ILMN	sr	1
AU-ilmn-run16-r16-line129-ILMN-CASE19-M-HIOMRS	INPUT-ilmn-run16-r16-line129-ILMN-CASE19-M-ONT	lr	2
