platform	sample	panel	partition	barcode	uri	bytes
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_18.fastq.gz	395882592
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_19.fastq.gz	367353912
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_2.fastq.gz	749592067
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_20.fastq.gz	338180611
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_21.fastq.gz	341160201
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_22.fastq.gz	322643065
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_23.fastq.gz	307585711
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_24.fastq.gz	334208913
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_25.fastq.gz	287575029
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_26.fastq.gz	295290582
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_27.fastq.gz	300472432
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_28.fastq.gz	278082063
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_29.fastq.gz	279168022
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_3.fastq.gz	645680843
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_30.fastq.gz	253297085
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_31.fastq.gz	236713554
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_32.fastq.gz	266524314
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_33.fastq.gz	223374346
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_34.fastq.gz	223743050
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_35.fastq.gz	230919308
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_36.fastq.gz	213611156
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_37.fastq.gz	229634102
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_38.fastq.gz	204548736
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_39.fastq.gz	193984662
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_4.fastq.gz	610076973
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_40.fastq.gz	214656171
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_41.fastq.gz	178189568
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_42.fastq.gz	174232402
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_43.fastq.gz	199588265
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_44.fastq.gz	167147850
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_45.fastq.gz	166893879
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_46.fastq.gz	147084805
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_47.fastq.gz	145405611
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_48.fastq.gz	163406294
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_49.fastq.gz	143047177
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_5.fastq.gz	619103773
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_50.fastq.gz	132951269
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_51.fastq.gz	131337185
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_52.fastq.gz	123856152
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_53.fastq.gz	145288979
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_54.fastq.gz	125298209
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_55.fastq.gz	112832896
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_56.fastq.gz	113919488
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_57.fastq.gz	121003664
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_58.fastq.gz	115801802
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_59.fastq.gz	101792235
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_6.fastq.gz	548432280
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_60.fastq.gz	93473552
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_61.fastq.gz	99534320
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_62.fastq.gz	79607523
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_63.fastq.gz	73725611
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_64.fastq.gz	77970244
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_65.fastq.gz	47603728
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_66.fastq.gz	42171129
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_67.fastq.gz	49063442
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_68.fastq.gz	37090965
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_69.fastq.gz	37510698
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_7.fastq.gz	546409349
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_70.fastq.gz	35471108
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_71.fastq.gz	35317387
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_72.fastq.gz	3497341
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_8.fastq.gz	536001754
ONT	NA00232	SMN	chip1	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip1/20260522_ONT_4Coriells_chip1/20260522_2252_2B_PBM13545_f3392d36/fastq_pass/barcode18/PBM13545_pass_barcode18_f3392d36_eb9b0a06_9.fastq.gz	500780048
ONT	NA00232	SMN	chip2	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip2/20260522_ONT_4Coriells_chip2/20260523_0038_1C_PBM14931_9bbdbb3f/fastq_pass/barcode18/PBM14931_pass_barcode18_9bbdbb3f_7e492b4e_0.fastq.gz	574084729
ONT	NA00232	SMN	chip2	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip2/20260522_ONT_4Coriells_chip2/20260523_0038_1C_PBM14931_9bbdbb3f/fastq_pass/barcode18/PBM14931_pass_barcode18_9bbdbb3f_7e492b4e_1.fastq.gz	575984495
ONT	NA00232	SMN	chip2	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip2/20260522_ONT_4Coriells_chip2/20260523_0038_1C_PBM14931_9bbdbb3f/fastq_pass/barcode18/PBM14931_pass_barcode18_9bbdbb3f_7e492b4e_10.fastq.gz	451486202
ONT	NA00232	SMN	chip2	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip2/20260522_ONT_4Coriells_chip2/20260523_0038_1C_PBM14931_9bbdbb3f/fastq_pass/barcode18/PBM14931_pass_barcode18_9bbdbb3f_7e492b4e_11.fastq.gz	397324735
ONT	NA00232	SMN	chip2	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip2/20260522_ONT_4Coriells_chip2/20260523_0038_1C_PBM14931_9bbdbb3f/fastq_pass/barcode18/PBM14931_pass_barcode18_9bbdbb3f_7e492b4e_12.fastq.gz	379660170
ONT	NA00232	SMN	chip2	barcode18	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/pca100/2026/20260522_ONT_4Coriells_chip2/20260522_ONT_4Coriells_chip2/20260523_0038_1C_PBM14931_9bbdbb3f/fastq_pass/barcode18/PBM14931_pass_barcode18_9bbdbb3f_7e492b4e_13.fastq.gz	408499155
