platform	sample	panel	partition	barcode	count	bytes	source
ILMN	NA03986	Coriell	NA03986-DMPK_S48_R1_001.fastq.gz		1	34494365821	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA03986-DMPK_S48_R1_001.fastq.gz
ILMN	NA03986	Coriell	NA03986-DMPK_S48_R2_001.fastq.gz		1	36200117444	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA03986-DMPK_S48_R2_001.fastq.gz
ILMN	NA05164	Coriell	NA05164-DMPK_S49_R1_001.fastq.gz		1	32339962781	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA05164-DMPK_S49_R1_001.fastq.gz
ILMN	NA05164	Coriell	NA05164-DMPK_S49_R2_001.fastq.gz		1	33672518730	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/NA05164-DMPK_S49_R2_001.fastq.gz
ILMN	HG001	Altair	ALL_MATCHED_FASTQS		6	234245245181	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/
ILMN	HG002	Altair	ALL_MATCHED_FASTQS		6	277264425198	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/
ILMN	HG003	Altair	ALL_MATCHED_FASTQS		6	259335122269	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/
ILMN	HG004	Altair	ALL_MATCHED_FASTQS		6	257051965792	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/
ILMN	HG005	Altair	ALL_MATCHED_FASTQS		6	237924417466	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/
ILMN	HG006	Altair	ALL_MATCHED_FASTQS		6	243720253027	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/
ILMN	HG007	Altair	ALL_MATCHED_FASTQS		6	224920559892	s3://lsmc-ssf-sequencing-data/basecalls/lsmc/ssf-hq/lh01121/2026/20260526_LH01121_0004_B23WW2NLT4/Analysis/1/Data/BCLConvert/fastq/
