time_start,time_end,estimated,amount_usd,tag_parallelcluster_cluster_name,tag_parallelcluster_cluster_name_value
2026-05-01,2026-06-01,False,50.2465486853,parallelcluster:cluster-name$dyec-515,dyec-515
2026-05-01,2026-06-01,False,727.2864869703,parallelcluster:cluster-name$dyec-test,dyec-test
2026-05-01,2026-06-01,False,1824.3304427752,parallelcluster:cluster-name$fk-260509-use,fk-260509-use
2026-05-01,2026-06-01,False,184.9929578226,parallelcluster:cluster-name$fork-fixer,fork-fixer
2026-05-01,2026-06-01,False,188.631302664,parallelcluster:cluster-name$goodole3,goodole3
2026-05-01,2026-06-01,False,1879.232834037,parallelcluster:cluster-name$hyb-hg003,hyb-hg003
2026-05-01,2026-06-01,False,809.338204127,parallelcluster:cluster-name$ifx-go,ifx-go
2026-05-01,2026-06-01,False,0.3245564892,parallelcluster:cluster-name$jem-bucktst1,jem-bucktst1
2026-05-01,2026-06-01,False,0.3168990601,parallelcluster:cluster-name$jem-bucktst2,jem-bucktst2
2026-05-01,2026-06-01,False,42.992503263,parallelcluster:cluster-name$jem-bucktst3,jem-bucktst3
2026-05-01,2026-06-01,False,2.023701266,parallelcluster:cluster-name$jemx2,jemx2
2026-05-01,2026-06-01,False,200.6744907908,parallelcluster:cluster-name$lsbio-fork-260509-124701,lsbio-fork-260509-124701
2026-05-01,2026-06-01,False,180.6633933265,parallelcluster:cluster-name$majors-cluster,majors-cluster
2026-05-01,2026-06-01,False,3688.6922326333,parallelcluster:cluster-name$may26-d,may26-d
2026-05-01,2026-06-01,False,0.0,parallelcluster:cluster-name$mk-gotime,mk-gotime
2026-05-01,2026-06-01,False,567.1078610703,parallelcluster:cluster-name$mk-gotime3,mk-gotime3
2026-05-01,2026-06-01,False,0.0,parallelcluster:cluster-name$mk426dec215,mk426dec215
2026-05-01,2026-06-01,False,0.0,parallelcluster:cluster-name$mkdec219,mkdec219
2026-05-01,2026-06-01,False,474.7814166674,parallelcluster:cluster-name$pilot-largecluster,pilot-largecluster
2026-05-01,2026-06-01,False,390.5892564186,parallelcluster:cluster-name$pilot-mk,pilot-mk
2026-05-01,2026-06-01,False,127.0684806665,parallelcluster:cluster-name$pilot-xfer,pilot-xfer
2026-05-01,2026-06-01,False,5.8399172406,parallelcluster:cluster-name$splitdra-ref-20260526,splitdra-ref-20260526
2026-05-01,2026-06-01,False,2.939505901,parallelcluster:cluster-name$splitdra-smoke-20260526,splitdra-smoke-20260526
2026-05-01,2026-06-01,False,0.260619677,parallelcluster:cluster-name$test-clstr,test-clstr
2026-05-01,2026-06-01,False,33.6799999968,parallelcluster:cluster-name$test-del-me,test-del-me
2026-05-01,2026-06-01,False,41.0164617317,parallelcluster:cluster-name$tstClu-4-1-1c,tstClu-4-1-1c
2026-05-01,2026-06-01,False,16.9321050598,parallelcluster:cluster-name$tstVer4-1-1,tstVer4-1-1
2026-05-01,2026-06-01,False,145.0447268988,parallelcluster:cluster-name$tstVer4-1-1b,tstVer4-1-1b
2026-05-01,2026-06-01,False,49.0874036393,parallelcluster:cluster-name$xfer-cluster,xfer-cluster
2026-05-01,2026-06-01,False,30.9957087814,parallelcluster:cluster-name$y260609-frz,y260609-frz
2026-06-01,2026-06-19,True,9534.3716545336,parallelcluster:cluster-name$,
2026-06-01,2026-06-19,True,742.6240617799,parallelcluster:cluster-name$BigB-4-mk,BigB-4-mk
2026-06-01,2026-06-19,True,2026.4911919538,parallelcluster:cluster-name$altairval,altairval
2026-06-01,2026-06-19,True,19.5531111204,parallelcluster:cluster-name$day-test-uswest2d,day-test-uswest2d
2026-06-01,2026-06-19,True,19.5531111204,parallelcluster:cluster-name$daylily-1773059211,daylily-1773059211
2026-06-01,2026-06-19,True,91.4580016469,parallelcluster:cluster-name$dhyb-NA03986,dhyb-NA03986
2026-06-01,2026-06-19,True,13.3280093173,parallelcluster:cluster-name$dyec-515,dyec-515
2026-06-01,2026-06-19,True,117.0203090298,parallelcluster:cluster-name$dyec-test,dyec-test
2026-06-01,2026-06-19,True,58.1940168488,parallelcluster:cluster-name$dyec0602bcl,dyec0602bcl
2026-06-01,2026-06-19,True,40.8456521995,parallelcluster:cluster-name$dyec5115,dyec5115
2026-06-01,2026-06-19,True,255.8519692818,parallelcluster:cluster-name$dyec5117,dyec5117
2026-06-01,2026-06-19,True,37.6167463211,parallelcluster:cluster-name$dyec5123,dyec5123
2026-06-01,2026-06-19,True,216.8811627812,parallelcluster:cluster-name$dyec5128,dyec5128
2026-06-01,2026-06-19,True,28.1918252264,parallelcluster:cluster-name$dyec800,dyec800
2026-06-01,2026-06-19,True,207.4666415698,parallelcluster:cluster-name$dyec8c,dyec8c
2026-06-01,2026-06-19,True,46.1359233572,parallelcluster:cluster-name$dyec8xxx,dyec8xxx
2026-06-01,2026-06-19,True,1188.906804393,parallelcluster:cluster-name$dyecX4,dyecX4
2026-06-01,2026-06-19,True,1.5577190565,parallelcluster:cluster-name$dyegotime,dyegotime
2026-06-01,2026-06-19,True,420.0617614052,parallelcluster:cluster-name$forked,forked
2026-06-01,2026-06-19,True,1599.3823667575,parallelcluster:cluster-name$hyb-only,hyb-only
2026-06-01,2026-06-19,True,19.5531111204,parallelcluster:cluster-name$ifx-go,ifx-go
2026-06-01,2026-06-19,True,19.5531111204,parallelcluster:cluster-name$test-del-me,test-del-me
2026-06-01,2026-06-19,True,424.387431733,parallelcluster:cluster-name$test-smn1-case1,test-smn1-case1
2026-06-01,2026-06-19,True,4655.9918014286,parallelcluster:cluster-name$ultimarerun,ultimarerun
2026-06-01,2026-06-19,True,0.0,parallelcluster:cluster-name$xfer-cluster,xfer-cluster
2026-06-01,2026-06-19,True,27.0460526217,parallelcluster:cluster-name$xfer0613,xfer0613
